callsign,parse_status,prefix_series,rsl,suffix,home_callsign,implied_class,flags
,empty,,,,,,
,empty,,,,,,
",,",unparseable,,,,,,
20-Apr,unparseable,,,,,,excel-date-shape;lowercase
20-Aug,unparseable,,,,,,excel-date-shape;lowercase
20-Dec,unparseable,,,,,,excel-date-shape;lowercase
20-Feb,unparseable,,,,,,excel-date-shape;lowercase
20-Jan,unparseable,,,,,,excel-date-shape;lowercase
20-Jul,unparseable,,,,,,excel-date-shape;lowercase
20-Mar,unparseable,,,,,,excel-date-shape;lowercase
20-May,unparseable,,,,,,excel-date-shape;lowercase
20-Nov,unparseable,,,,,,excel-date-shape;lowercase
20-Oct,unparseable,,,,,,excel-date-shape;lowercase
20-Sep,unparseable,,,,,,excel-date-shape;lowercase
20AAA,parsed,2#0,,AAA,,Intermediate,missing-rsl
20AAB,parsed,2#0,,AAB,,Intermediate,missing-rsl
20AAC,parsed,2#0,,AAC,,Intermediate,missing-rsl
20AAD,parsed,2#0,,AAD,,Intermediate,missing-rsl
20AAE,parsed,2#0,,AAE,,Intermediate,missing-rsl
20AAF,parsed,2#0,,AAF,,Intermediate,missing-rsl
20AAG,parsed,2#0,,AAG,,Intermediate,missing-rsl
20AAH,parsed,2#0,,AAH,,Intermediate,missing-rsl
20AAI,parsed,2#0,,AAI,,Intermediate,missing-rsl
20AAJ,parsed,2#0,,AAJ,,Intermediate,missing-rsl
20AAK,parsed,2#0,,AAK,,Intermediate,missing-rsl
20AAL,parsed,2#0,,AAL,,Intermediate,missing-rsl
20AAM,parsed,2#0,,AAM,,Intermediate,missing-rsl
20AAN,parsed,2#0,,AAN,,Intermediate,missing-rsl
20AAO,parsed,2#0,,AAO,,Intermediate,missing-rsl
20AAP,parsed,2#0,,AAP,,Intermediate,missing-rsl
20AAQ,parsed,2#0,,AAQ,,Intermediate,missing-rsl
20AAR,parsed,2#0,,AAR,,Intermediate,missing-rsl
20AAS,parsed,2#0,,AAS,,Intermediate,missing-rsl
20AAT,parsed,2#0,,AAT,,Intermediate,missing-rsl
20AAU,parsed,2#0,,AAU,,Intermediate,missing-rsl
20AAV,parsed,2#0,,AAV,,Intermediate,missing-rsl
