Value,Status,Product,Call Sign MMSI: Last Modified Date
M7XAJ,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6STK,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7XCB,Allocated,Amateur Foundation Radio Licence,20/01/2022
M6RAN,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7JLR,Allocated,Amateur Foundation Radio Licence,26/05/2022
M3ZMU,Allocated,Amateur Foundation Radio Licence,23/07/2016
20NWI,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6DIG,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7LFI,Allocated,Amateur Foundation Radio Licence,16/07/2022
M6CPV,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7MOZ,Allocated,Amateur Foundation Radio Licence,22/12/2020
M6GIB,Allocated,Amateur Foundation Radio Licence,10/08/2016
G4FJV,Allocated,Amateur Full Radio Licence,29/10/2021
M3ZMV,Allocated,Amateur Foundation Radio Licence,23/07/2016
20HHI,Allocated,Amateur Intermediate Radio Licence,08/06/2021
M3ZMX,Allocated,Amateur Foundation Radio Licence,23/07/2016
M0NCH,Allocated,Amateur Full Radio Licence,25/02/2021
M3ZMY,Reserved,Amateur Foundation Radio Licence,23/07/2016
M7VLT,Allocated,Amateur Foundation Radio Licence,28/10/2021
M6EJP,Allocated,Amateur Foundation Radio Licence,15/11/2021
M7MCE,Allocated,Amateur Foundation Radio Licence,17/05/2022
M6GFO,Allocated,Amateur Foundation Radio Licence,10/08/2016
20FCB,Allocated,Amateur Intermediate Radio Licence,19/11/2018
M6GWA,Reserved,Amateur Foundation Radio Licence,10/08/2016
M7BBA,Allocated,Amateur Foundation Radio Licence,30/12/2022
M3ZNC,Allocated,Amateur Foundation Radio Licence,23/07/2016
20UPN,Allocated,Amateur Intermediate Radio Licence,20/01/2022
M6DTS,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CNE,Allocated,Amateur Foundation Radio Licence,06/11/2021
M6MVL,Reserved,Amateur Foundation Radio Licence,23/07/2016
M7TMI,Allocated,Amateur Foundation Radio Licence,17/01/2023
M6GMT,Allocated,Amateur Foundation Radio Licence,10/08/2016
G1ZJL,,Amateur Full Radio Licence,28/10/2021
M3SQT,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7RFQ,Allocated,Amateur Foundation Radio Licence,31/10/2021
M3ZNF,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7ERI,Allocated,Amateur Foundation Radio Licence,05/06/2022
M6NAF,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CMV,Allocated,Amateur Foundation Radio Licence,31/05/2022
M6SJW,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CMP,Allocated,Amateur Foundation Radio Licence,28/10/2021
M6IMR,Allocated,Amateur Foundation Radio Licence,17/02/2017
21OAT,Allocated,,23/06/2022
M6LHR,Allocated,Amateur Foundation Radio Licence,11/04/2017
G1IPJ,Allocated,,22/06/2022
M3ZNI,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CMU,Allocated,Amateur Foundation Radio Licence,29/10/2021
M6WJH,Allocated,Amateur Foundation Radio Licence,15/12/2017
M7HCY,Allocated,Amateur Foundation Radio Licence,21/01/2022
M3VSW,Allocated,Amateur Foundation Radio Licence,03/10/2019
M7GAH,Allocated,Amateur Foundation Radio Licence,11/04/2021
M6ERN,Allocated,Amateur Foundation Radio Licence,25/09/2018
M7CLY,Allocated,Amateur Foundation Radio Licence,20/10/2021
M6NEA,Allocated,Amateur Foundation Radio Licence,23/07/2016
M5DB,Allocated,,20/08/2020
M6MIB,Allocated,Amateur Foundation Radio Licence,14/02/2020
20FKX,Allocated,Amateur Intermediate Radio Licence,21/05/2021
M3ZNJ,Allocated,Amateur Foundation Radio Licence,23/07/2016
20TZH,Allocated,Amateur Intermediate Radio Licence,03/03/2021
M6JKK,Allocated,Amateur Foundation Radio Licence,02/06/2017
20FGJ,Allocated,Amateur Intermediate Radio Licence,13/03/2019
M6GAG,Allocated,Amateur Foundation Radio Licence,09/08/2021
20TLZ,Allocated,Amateur Intermediate Radio Licence,09/12/2018
M6DLF,Allocated,Amateur Foundation Radio Licence,10/08/2016
G8KXL,Reserved,,22/06/2022
M6EWS,Allocated,Amateur Foundation Radio Licence,10/08/2016
20WNO,Allocated,Amateur Intermediate Radio Licence,29/10/2021
M6GKC,Allocated,Amateur Foundation Radio Licence,10/08/2016
20HZX,Allocated,Amateur Intermediate Radio Licence,08/08/2022
M6FTW,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7DXZ,Allocated,Amateur Foundation Radio Licence,07/10/2022
M6RAK,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7WZE,Allocated,Amateur Foundation Radio Licence,05/12/2022
M6DEM,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7GCF,Allocated,Amateur Foundation Radio Licence,30/10/2021
M6TEV,Allocated,Amateur Foundation Radio Licence,02/08/2016
M7HDD,Allocated,Amateur Foundation Radio Licence,06/11/2021
M6JTG,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7REC,Allocated,Amateur Foundation Radio Licence,21/01/2022
M6CBA,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7NVM,Allocated,Amateur Foundation Radio Licence,22/06/2022
M6HEL,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CMY,Allocated,Amateur Foundation Radio Licence,30/10/2021
M6SKI,Allocated,Amateur Foundation Radio Licence,23/07/2016
M0YRU,Allocated,Amateur Full Radio Licence,01/06/2022
M6CVR,Allocated,Amateur Foundation Radio Licence,20/07/2021
M0JVU,Allocated,Amateur Full Radio Licence,21/01/2022
M6DAK,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CPE,Allocated,Amateur Foundation Radio Licence,12/12/2022
M6ZSR,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7OLM,Allocated,Amateur Foundation Radio Licence,18/01/2023
M6CDA,Allocated,Amateur Foundation Radio Licence,06/04/2020
20HPZ,Allocated,Amateur Intermediate Radio Licence,25/01/2022
M6TNS,Allocated,Amateur Foundation Radio Licence,12/08/2016
M7LEK,Allocated,Amateur Foundation Radio Licence,21/01/2022
M6SMR,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CNF,Allocated,Amateur Foundation Radio Licence,06/11/2021
M6ISH,Allocated,Amateur Foundation Radio Licence,23/03/2017
M7CUX,Allocated,Amateur Foundation Radio Licence,21/01/2022
M6SCE,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7CUY,Allocated,Amateur Foundation Radio Licence,22/01/2022
M6ISO,Allocated,Amateur Foundation Radio Licence,23/03/2017
M7HOU,Allocated,Amateur Foundation Radio Licence,01/11/2021
M6ZLC,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7WPD,Allocated,Amateur Foundation Radio Licence,16/11/2022
M6DAO,Reserved,Amateur Foundation Radio Licence,10/08/2016
M7KDM,Allocated,Amateur Foundation Radio Licence,01/11/2021
M6AGH,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7FLZ,Allocated,Amateur Foundation Radio Licence,21/01/2022
M6AAO,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7TXY,Allocated,Amateur Foundation Radio Licence,21/01/2022
M6AAP,Allocated,Amateur Foundation Radio Licence,30/12/2021
M7WLE,Allocated,Amateur Foundation Radio Licence,21/01/2022
M6ADB,Allocated,Amateur Foundation Radio Licence,10/08/2016
20XII,Allocated,Amateur Intermediate Radio Licence,02/11/2021
M6GSB,Allocated,Amateur Foundation Radio Licence,20/09/2020
M7KTW,Allocated,Amateur Foundation Radio Licence,02/04/2022
M6TCD,Allocated,Amateur Foundation Radio Licence,15/05/2017
M7GTJ,Allocated,Amateur Foundation Radio Licence,01/11/2021
M6ADZ,Allocated,Amateur Foundation Radio Licence,27/02/2019
20UMM,Allocated,Amateur Intermediate Radio Licence,02/11/2021
M6SCS,Allocated,Amateur Foundation Radio Licence,23/07/2016
M0JHH,Available,Amateur Club Radio Licence,10/09/2022
M6EMF,Allocated,Amateur Foundation Radio Licence,06/04/2021
M0YHF,Allocated,Amateur Full Radio Licence,03/11/2021
M3EEY,Allocated,Amateur Foundation Radio Licence,02/01/2018
M7RHW,Allocated,Amateur Foundation Radio Licence,14/03/2022
M3YFH,Allocated,Amateur Foundation Radio Licence,23/07/2016
M0NXT,Allocated,Amateur Full Radio Licence,22/01/2022
M6AAQ,Reserved,Amateur Foundation Radio Licence,10/08/2016
M7CNB,Allocated,Amateur Foundation Radio Licence,02/11/2021
M6PAW,Allocated,Amateur Foundation Radio Licence,07/04/2020
M7CNN,Allocated,Amateur Foundation Radio Licence,10/11/2021
M6DCX,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7MZD,Allocated,Amateur Foundation Radio Licence,15/09/2022
M3TOI,Allocated,Amateur Foundation Radio Licence,23/07/2016
20PCY,Allocated,Amateur Intermediate Radio Licence,22/01/2022
M6JEP,Allocated,Amateur Foundation Radio Licence,01/09/2018
G6YPD,Allocated,,03/11/2021
M6GRS,Allocated,Amateur Foundation Radio Licence,07/11/2017
M0ODN,Allocated,Amateur Full Radio Licence,22/01/2022
M6NTH,Allocated,Amateur Foundation Radio Licence,12/01/2018
M7AGI,Allocated,Amateur Foundation Radio Licence,18/06/2019
M6NOT,Allocated,Amateur Foundation Radio Licence,27/03/2019
G6ZDY,Allocated,,28/06/2022
M6LFD,Allocated,Amateur Foundation Radio Licence,23/07/2016
G8RQW,Allocated,,22/06/2022
M6AAR,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7TPX,Allocated,Amateur Foundation Radio Licence,10/06/2022
M6AGX,Allocated,Amateur Foundation Radio Licence,09/05/2017
M0WTK,Allocated,Amateur Full Radio Licence,17/06/2019
M6PSI,Allocated,Amateur Foundation Radio Licence,31/07/2019
20HBZ,Allocated,Amateur Intermediate Radio Licence,12/04/2021
M6JZT,Reserved,Amateur Foundation Radio Licence,23/08/2017
20IZJ,Allocated,Amateur Intermediate Radio Licence,21/11/2018
M6ALT,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7DEE,Allocated,Amateur Foundation Radio Licence,29/09/2020
M6BTN,Allocated,Amateur Foundation Radio Licence,10/08/2016
M5YRG,Allocated,,21/11/2018
M6AGY,Allocated,Amateur Foundation Radio Licence,19/08/2020
M7KDF,Allocated,Amateur Foundation Radio Licence,08/12/2020
M6LRA,Allocated,Amateur Foundation Radio Licence,29/11/2017
M7JZN,Allocated,Amateur Foundation Radio Licence,29/04/2020
M6DHV,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CCC,Allocated,Amateur Foundation Radio Licence,10/06/2021
M6SNO,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7XRY,Allocated,Amateur Foundation Radio Licence,17/10/2020
M6MRN,Allocated,Amateur Foundation Radio Licence,11/05/2018
M7WOL,Allocated,Amateur Foundation Radio Licence,30/04/2022
M6BLZ,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7NDS,Allocated,Amateur Foundation Radio Licence,21/02/2022
M6REA,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7ANN,Allocated,Amateur Foundation Radio Licence,20/02/2020
M6WAH,Allocated,Amateur Foundation Radio Licence,23/07/2016
M0MLP,Allocated,Amateur Full Radio Licence,10/12/2020
M6AGZ,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7DGY,Allocated,Amateur Foundation Radio Licence,10/03/2022
M6HZL,Allocated,Amateur Foundation Radio Licence,29/11/2016
M7GXN,Allocated,Amateur Foundation Radio Licence,22/06/2022
M6AHA,Allocated,Amateur Foundation Radio Licence,22/08/2021
20TKD,Allocated,Amateur Intermediate Radio Licence,21/11/2018
M6STP,Allocated,Amateur Foundation Radio Licence,01/11/2017
M7GPH,Allocated,Amateur Foundation Radio Licence,01/07/2022
M6JFG,Reserved,Amateur Foundation Radio Licence,23/07/2016
M7JMS,Allocated,Amateur Foundation Radio Licence,20/01/2021
M6CGL,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7FLR,Allocated,Amateur Foundation Radio Licence,10/02/2022
M6AHE,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7JAX,Allocated,Amateur Foundation Radio Licence,22/03/2019
M6AHC,Allocated,Amateur Foundation Radio Licence,12/06/2020
M7WZM,Allocated,Amateur Foundation Radio Licence,09/07/2020
M6CJY,Allocated,Amateur Foundation Radio Licence,25/05/2017
20PWZ,Allocated,Amateur Intermediate Radio Licence,21/11/2018
M6VIX,Allocated,Amateur Foundation Radio Licence,23/02/2022
20TVG,Allocated,Amateur Intermediate Radio Licence,21/11/2018
M6AHF,Allocated,Amateur Foundation Radio Licence,10/08/2016
20UCE,Allocated,Amateur Intermediate Radio Licence,21/10/2021
M6YNG,Allocated,Amateur Foundation Radio Licence,23/11/2016
M7TEK,Allocated,Amateur Foundation Radio Licence,28/03/2022
M6SEM,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7LDF,Allocated,Amateur Foundation Radio Licence,22/12/2020
M6SHI,Allocated,Amateur Foundation Radio Licence,11/03/2020
M7OHM,Allocated,Amateur Foundation Radio Licence,21/11/2018
M6MCT,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7LPD,Allocated,Amateur Foundation Radio Licence,08/10/2022
M6DCB,Allocated,Amateur Foundation Radio Licence,26/02/2018
M7ABW,Allocated,Amateur Foundation Radio Licence,22/11/2018
M6RFW,Allocated,Amateur Foundation Radio Licence,23/07/2016
M0JNA,Allocated,Amateur Full Radio Licence,04/03/2021
M6AHI,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7RSM,Allocated,Amateur Foundation Radio Licence,21/09/2021
M6JSH,Allocated,Amateur Foundation Radio Licence,27/06/2017
20VWC,Allocated,Amateur Intermediate Radio Licence,21/11/2018
M6AJB,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7NCM,Allocated,Amateur Foundation Radio Licence,25/10/2022
M6AHJ,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7NFG,Allocated,Amateur Foundation Radio Licence,21/11/2018
M6AHK,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7DFM,Allocated,Amateur Foundation Radio Licence,20/04/2022
M6GOR,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CVA,Allocated,Amateur Foundation Radio Licence,22/01/2022
M6AHL,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7OLL,Allocated,Amateur Foundation Radio Licence,18/01/2023
M6SOE,Allocated,Amateur Foundation Radio Licence,22/11/2021
M7CUZ,Allocated,Amateur Foundation Radio Licence,22/01/2022
M6DFS,Allocated,Amateur Foundation Radio Licence,13/06/2022
M7CVD,Allocated,Amateur Foundation Radio Licence,24/01/2022
M6WAP,Allocated,Amateur Foundation Radio Licence,12/10/2022
M7IBM,Allocated,Amateur Foundation Radio Licence,26/01/2022
M6ATR,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7EYO,Allocated,,03/11/2021
M6GLW,Allocated,Amateur Foundation Radio Licence,10/08/2016
M0MZH,Allocated,Amateur Club Radio Licence,23/01/2022
M6KDE,Allocated,Amateur Foundation Radio Licence,28/02/2020
M7HAH,Allocated,Amateur Foundation Radio Licence,04/11/2022
M6VDN,Allocated,Amateur Foundation Radio Licence,20/01/2018
M7DKQ,Allocated,Amateur Foundation Radio Licence,03/06/2022
M6SVM,Allocated,Amateur Foundation Radio Licence,12/07/2018
20UNM,Allocated,Amateur Intermediate Radio Licence,03/11/2021
M6API,Allocated,Amateur Foundation Radio Licence,25/08/2020
M0LYR,Allocated,Amateur Club Radio Licence,19/03/2022
M6APN,Allocated,Amateur Foundation Radio Licence,10/08/2016
20YFG,Allocated,Amateur Intermediate Radio Licence,13/11/2022
M6APQ,Allocated,Amateur Foundation Radio Licence,23/03/2020
M7KWP,Allocated,Amateur Foundation Radio Licence,15/11/2021
M6JTM,Allocated,Amateur Foundation Radio Licence,18/05/2020
M7GKR,Allocated,Amateur Foundation Radio Licence,03/06/2022
M3TQQ,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7VAA,Allocated,Amateur Foundation Radio Licence,06/11/2021
M6KYO,Allocated,Amateur Foundation Radio Licence,28/10/2017
M7MHS,Allocated,Amateur Foundation Radio Licence,13/10/2022
M6APO,Allocated,Amateur Foundation Radio Licence,07/01/2022
M7KOI,Allocated,Amateur Foundation Radio Licence,29/01/2022
M6APU,Allocated,Amateur Foundation Radio Licence,10/08/2016
20PWH,Allocated,Amateur Intermediate Radio Licence,25/04/2022
M3XPL,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7OCB,Allocated,Amateur Foundation Radio Licence,06/07/2022
M6APV,Allocated,Amateur Foundation Radio Licence,10/08/2016
M0YMB,Allocated,Amateur Full Radio Licence,18/01/2023
M6APX,Allocated,Amateur Foundation Radio Licence,31/07/2020
M7XWT,Allocated,Amateur Foundation Radio Licence,07/08/2020
M6APY,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7NCB,Allocated,Amateur Foundation Radio Licence,11/12/2020
M6APZ,Allocated,Amateur Foundation Radio Licence,10/08/2016
M0NLG,Allocated,Amateur Full Radio Licence,21/01/2021
M6AQA,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7RHA,Allocated,Amateur Foundation Radio Licence,07/11/2022
M6AQB,Allocated,Amateur Foundation Radio Licence,10/08/2016
M0SVT,Allocated,Amateur Full Radio Licence,03/11/2021
M6AQC,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7MES,Allocated,Amateur Foundation Radio Licence,04/11/2021
M6AQD,Allocated,Amateur Foundation Radio Licence,10/08/2016
M0ODH,Allocated,Amateur Full Radio Licence,15/03/2022
M3XBL,Allocated,Amateur Foundation Radio Licence,02/08/2016
M0NLM,Allocated,Amateur Full Radio Licence,15/03/2022
M6RMJ,Reserved,Amateur Foundation Radio Licence,23/07/2016
M7CZM,Allocated,Amateur Foundation Radio Licence,15/03/2022
M6AQE,Allocated,Amateur Foundation Radio Licence,15/05/2019
M0SMU,Allocated,Amateur Full Radio Licence,15/03/2022
