callsign,product,status,type,created_date,last_modified_date,licence_version_last_modified_date,licence_version_original_start_date
,,Available,,,2022-05-11,,
,Amateur Club Radio Licence,Reserved,,,2016-07-23,,
",,",Amateur Foundation Radio Licence,Allocated,,,2022-08-26,,
20-Apr,Amateur Intermediate Radio Licence,Allocated,,,2022-10-23,,
20-Aug,Amateur Intermediate Radio Licence,Reserved,,,2017-08-06,,
20-Dec,Amateur Intermediate Radio Licence,Allocated,,,2016-07-23,,
20-Feb,Amateur Intermediate Radio Licence,Allocated,,,2018-12-22,,
20-Jan,Amateur Intermediate Radio Licence,Allocated,,,2016-07-23,,
20-Jul,Amateur Intermediate Radio Licence,Allocated,,,2020-11-10,,
20-Mar,Amateur Intermediate Radio Licence,Allocated,,,2016-08-02,,
20-May,Amateur Intermediate Radio Licence,Allocated,,,2016-07-23,,
20-Nov,Amateur Intermediate Radio Licence,Reserved,,,2019-02-27,,
20-Oct,Amateur Intermediate Radio Licence,Allocated,,,2021-01-10,,
20-Sep,Amateur Intermediate Radio Licence,Allocated,,,2016-07-23,,
20AAA,Amateur Intermediate Radio Licence,Reserved,,,2017-07-07,,
20AAB,Amateur Intermediate Radio Licence,Reserved,,,2017-07-07,,
20AAC,Amateur Intermediate Radio Licence,Allocated,,,2021-03-03,,
20AAD,Amateur Intermediate Radio Licence,Allocated,,,2021-04-28,,
20AAE,Amateur Intermediate Radio Licence,Allocated,,,2018-08-01,,
20AAF,Amateur Intermediate Radio Licence,Allocated,,,2016-08-01,,
20AAG,Amateur Intermediate Radio Licence,Allocated,,,2022-05-20,,
20AAH,Amateur Intermediate Radio Licence,Allocated,,,2018-11-16,,
20AAI,Amateur Intermediate Radio Licence,Allocated,,,2016-08-05,,
20AAJ,Amateur Intermediate Radio Licence,Allocated,,,2016-08-05,,
20AAK,Amateur Intermediate Radio Licence,Allocated,,,2016-08-05,,
20AAL,Amateur Intermediate Radio Licence,Allocated,,,2016-08-06,,
20AAM,Amateur Intermediate Radio Licence,Allocated,,,2017-03-21,,
20AAN,Amateur Intermediate Radio Licence,Allocated,,,2019-07-15,,
20AAO,Amateur Intermediate Radio Licence,Allocated,,,2016-08-06,,
20AAP,Amateur Intermediate Radio Licence,Allocated,,,2016-08-09,,
20AAQ,Amateur Intermediate Radio Licence,Allocated,,,2017-06-30,,
20AAR,Amateur Intermediate Radio Licence,Allocated,,,2016-08-11,,
20AAS,Amateur Intermediate Radio Licence,Allocated,,,2017-08-11,,
20AAT,,Reserved,,,2016-08-12,,
20AAU,,Reserved,,,2016-08-12,,
20AAV,,Reserved,,,2016-08-12,,
20AAW,,Reserved,,,2016-08-12,,
20AAX,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20AAY,,Reserved,,,2016-08-12,,
20AAZ,Amateur Intermediate Radio Licence,Allocated,,,2018-02-27,,
20ABA,,Reserved,,,2016-08-12,,
20ABB,,Reserved,,,2016-08-12,,
20ABC,,Reserved,,,2016-08-12,,
20ABD,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ABE,,Reserved,,,2016-08-12,,
20ABF,,Reserved,,,2016-08-12,,
20ABG,,Reserved,,,2016-08-12,,
20ABH,,Reserved,,,2016-08-12,,
20ABI,,Reserved,,,2016-08-12,,
20ABJ,,Reserved,,,2016-08-12,,
20ABK,,Reserved,,,2016-08-12,,
20ABL,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ABM,,Reserved,,,2016-08-12,,
20ABN,,Reserved,,,2016-08-12,,
20ABO,,Reserved,,,2016-08-12,,
20ABP,,Reserved,,,2016-08-12,,
20ABQ,,Reserved,,,2016-08-12,,
20ABR,,Reserved,,,2016-08-12,,
20ABS,,Reserved,,,2016-08-12,,
20ABT,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ABU,,Allocated,,,2022-10-24,,
20ABV,,Reserved,,,2016-08-12,,
20ABW,Amateur Intermediate Radio Licence,Allocated,,,2019-02-25,,
20ABX,,Reserved,,,2016-08-12,,
20ABY,,Reserved,,,2016-08-12,,
20ABZ,,Reserved,,,2016-08-12,,
20ACA,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ACB,,Reserved,,,2016-08-12,,
20ACC,,Reserved,,,2016-08-12,,
20ACD,Amateur Intermediate Radio Licence,Reserved,,,2021-03-25,,
20ACE,Amateur Intermediate Radio Licence,Allocated,,,2019-06-06,,
20ACF,,Reserved,,,2016-08-12,,
20ACG,,Reserved,,,2016-08-12,,
20ACH,,Reserved,,,2016-08-12,,
20ACI,,Reserved,,,2016-08-12,,
20ACJ,,Reserved,,,2016-08-12,,
20ACK,,Reserved,,,2016-08-12,,
20ACL,,Reserved,,,2016-08-12,,
20ACM,,Reserved,,,2016-08-12,,
20ACN,,Reserved,,,2016-08-12,,
20ACO,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ACP,,Reserved,,,2016-08-12,,
20ACQ,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ACR,Amateur Intermediate Radio Licence,Allocated,,,2016-07-23,,
20ACS,Amateur Intermediate Radio Licence,Allocated,,,2021-03-03,,
20ACT,,Reserved,,,2016-08-12,,
20ACU,,Reserved,,,2016-08-12,,
20ACV,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ACW,,Reserved,,,2016-08-12,,
20ACX,,Reserved,,,2016-08-12,,
20ACY,Amateur Intermediate Radio Licence,Reserved,,,2016-08-12,,
20ACZ,,Reserved,,,2016-08-12,,
20ADA,Amateur Intermediate Radio Licence,Allocated,,,2017-01-18,,
20ADB,,Reserved,,,2016-08-12,,
20ADC,,Reserved,,,2016-08-12,,
20ADD,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ADE,Amateur Intermediate Radio Licence,Allocated,,,2016-08-12,,
20ADF,,Reserved,,,2016-08-12,,
