Foundation Licence
""
M3 + 3 Letters
M6 + 3 Letters
""
Intermediate Licence
""
2E0 + 3 letters
2E1 + 3 letters
""
Full Licence Call signs
""
G1 + 3 letters
G2 + 2 letters
G2 + 3 letters
G3 + 2 letters
G3 + 3 letters
G4 + 2 letters
G4 + 3 letters
G5 + 2 letters
G6 + 2 letters
G6 + 3 letters
G7 + 3 letters
G8 + 2 letters
G8 + 3 letters
G0 + 3 letters
M0 + 3 letters
M1 + 3 letters
M5 + 3 letters
