callsign,status,licence_class
20AHY,Allocated,Amateur Intermediate Radio Licence
20AHZ,Allocated,
20AIA,Reserved,
20AIB,Reserved,
20AIC,Reserved,
20AID,Forbidden,Amateur Intermediate Radio Licence
20AIE,Reserved,
20AIF,Reserved,
20AIG,Reserved,
20AIH,Reserved,Amateur Intermediate Radio Licence
20AII,Allocated,
20AIJ,Reserved,
20AIK,Reserved,Amateur Intermediate Radio Licence
20AIL,Allocated,Amateur Intermediate Radio Licence
20AIM,Allocated,Amateur Intermediate Radio Licence
20AIN,Allocated,
20AIO,Reserved,
20AIP,Reserved,
20AIQ,Reserved,
20AIR,Reserved,Amateur Intermediate Radio Licence
20AIS,Reserved,Amateur Intermediate Radio Licence
20AIT,Reserved,Amateur Intermediate Radio Licence
20AIU,Allocated,
20AIV,Reserved,Amateur Intermediate Radio Licence
20AIW,Allocated,
20AIX,Reserved,
20AIY,Reserved,
20AIZ,Reserved,Amateur Intermediate Radio Licence
20AJA,Reserved,
20AJB,Reserved,
20AJC,Reserved,
20AJD,Reserved,
20AJE,Reserved,
20AJF,Reserved,
20AJG,Reserved,
20AJH,Reserved,
20AJI,Reserved,
20AJJ,Reserved,
20AJK,Reserved,Amateur Intermediate Radio Licence
20AJL,Allocated,
20AJM,Reserved,
20AJN,Reserved,
20AJO,Reserved,
20AJP,Reserved,Amateur Intermediate Radio Licence
20AJQ,Allocated,Amateur Intermediate Radio Licence
20AJR,Allocated,
20AJS,Reserved,Amateur Intermediate Radio Licence
20AJT,Allocated,Amateur Intermediate Radio Licence
20AJU,Allocated,
20AJV,Reserved,
20AJW,Reserved,
20AJX,Reserved,Amateur Intermediate Radio Licence
20AJY,Allocated,
20AJZ,Reserved,
20AKA,Reserved,
20AKB,Reserved,
20AKC,Reserved,
20AKD,Reserved,
20AKE,Reserved,
20AKF,Reserved,
20AKG,Reserved,Amateur Intermediate Radio Licence
20AKH,Allocated,
20AKI,Reserved,Amateur Intermediate Radio Licence
20AKJ,Allocated,Amateur Intermediate Radio Licence
20AKK,Allocated,Amateur Intermediate Radio Licence
20AKL,Allocated,Amateur Intermediate Radio Licence
20AKM,Allocated,Amateur Intermediate Radio Licence
20AKN,Reserved,Amateur Intermediate Radio Licence
20AKO,Allocated,Amateur Intermediate Radio Licence
20AKP,Allocated,Amateur Intermediate Radio Licence
20AKQ,Reserved,Amateur Intermediate Radio Licence
20AKR,Allocated,Amateur Intermediate Radio Licence
20AKS,Allocated,Amateur Intermediate Radio Licence
20AKT,Allocated,Amateur Intermediate Radio Licence
20AKU,Allocated,Amateur Intermediate Radio Licence
20AKV,Allocated,Amateur Intermediate Radio Licence
20AKW,Reserved,Amateur Intermediate Radio Licence
20AKX,Reserved,Amateur Intermediate Radio Licence
20AKY,Reserved,Amateur Intermediate Radio Licence
20AKZ,Allocated,
20ALA,Reserved,Amateur Intermediate Radio Licence
20ALB,Allocated,Amateur Intermediate Radio Licence
20ALC,Allocated,Amateur Intermediate Radio Licence
20ALD,Allocated,Amateur Intermediate Radio Licence
20ALE,Allocated,Amateur Intermediate Radio Licence
20ALF,Allocated,Amateur Intermediate Radio Licence
20ALG,Allocated,
20ALH,Reserved,Amateur Intermediate Radio Licence
20ALI,Allocated,Amateur Intermediate Radio Licence
20ALJ,Allocated,Amateur Intermediate Radio Licence
20ALK,Allocated,Amateur Intermediate Radio Licence
20ALL,Allocated,Amateur Intermediate Radio Licence
20ALM,Allocated,Amateur Intermediate Radio Licence
20ALN,Allocated,
20ALO,Reserved,
20ALP,Reserved,
20ALQ,Reserved,
20ALR,Reserved,
20ALS,Reserved,Amateur Intermediate Radio Licence
20ALT,Allocated,
20ALU,Reserved,
20ALV,Reserved,
20ALW,Reserved,Amateur Intermediate Radio Licence
20ALX,Allocated,
20ALY,Reserved,
20ALZ,Reserved,Amateur Intermediate Radio Licence
20AMA,Allocated,
20AMB,Reserved,Amateur Intermediate Radio Licence
20AMC,Allocated,
20AMD,Reserved,
20AME,Reserved,
20AMF,Reserved,
20AMG,Reserved,
20AMH,Reserved,
20AMI,Reserved,
20AMJ,Reserved,
20AMK,Reserved,
20AML,Reserved,
20AMM,Reserved,Amateur Intermediate Radio Licence
20AMN,Reserved,
20AMO,Reserved,
20AMP,Reserved,
20AMQ,Reserved,
20AMR,Reserved,Amateur Intermediate Radio Licence
20AMS,Reserved,Amateur Intermediate Radio Licence
20AMT,Reserved,Amateur Intermediate Radio Licence
20AMU,Reserved,
20AMV,Reserved,
20AMW,Reserved,Amateur Intermediate Radio Licence
20AMX,Allocated,
20AMY,Reserved,
20AMZ,Reserved,
20ANA,Reserved,
20ANB,Reserved,
20ANC,Reserved,
20AND,Reserved,
20ANE,Reserved,Amateur Intermediate Radio Licence
20ANF,Allocated,
20ANG,Reserved,
20ANH,Reserved,
20ANI,Reserved,
20ANJ,Reserved,
20ANK,Reserved,
20ANL,Reserved,
20ANM,Reserved,
20ANN,Reserved,
20ANO,Reserved,
20ANP,Reserved,
20ANQ,Reserved,
20ANR,Reserved,
20ANS,Reserved,Amateur Intermediate Radio Licence
20ANT,Reserved,
20ANU,Reserved,Amateur Intermediate Radio Licence
20ANV,Reserved,Amateur Intermediate Radio Licence
20ANW,Reserved,
20ANX,Reserved,
20ANY,Reserved,
20ANZ,Reserved,Amateur Intermediate Radio Licence
20AOA,Reserved,
20AOB,Reserved,
20AOC,Reserved,
20AOD,Reserved,Amateur Intermediate Radio Licence
20AOE,Reserved,
20AOF,Reserved,
20AOG,Reserved,
20AOH,Reserved,
20AOI,Reserved,
20AOJ,Reserved,
20AOK,Reserved,Amateur Intermediate Radio Licence
20AOL,Allocated,Amateur Intermediate Radio Licence
20AOM,Allocated,
20AON,Reserved,
20AOO,Reserved,Amateur Intermediate Radio Licence
20AOP,Reserved,
20AOQ,Reserved,
20AOR,Reserved,
20AOS,Reserved,Amateur Intermediate Radio Licence
20AOT,Allocated,
20AOU,Reserved,Amateur Intermediate Radio Licence
20AOV,Allocated,Amateur Intermediate Radio Licence
20AOW,Reserved,
20AOX,Reserved,
20AOY,Reserved,
20AOZ,Reserved,Amateur Intermediate Radio Licence
20APA,Allocated,
20APB,Reserved,Amateur Intermediate Radio Licence
20APC,Allocated,
20APD,Reserved,
20APE,Reserved,
20APF,Reserved,
20APG,Reserved,Amateur Intermediate Radio Licence
20APH,Allocated,
20API,Reserved,
20APJ,Reserved,Amateur Intermediate Radio Licence
20APK,Allocated,
20APL,Reserved,
20APM,Reserved,Amateur Intermediate Radio Licence
20APN,Reserved,Amateur Intermediate Radio Licence
20APO,Allocated,
20APP,Reserved,
20APQ,Reserved,
20APR,Reserved,
20APS,Reserved,
20APT,Reserved,Amateur Intermediate Radio Licence
20APU,Allocated,
20APV,Reserved,
20APW,Reserved,
20APX,Reserved,Amateur Intermediate Radio Licence
20APY,Allocated,Amateur Intermediate Radio Licence
20APZ,Allocated,Amateur Intermediate Radio Licence
20AQA,Allocated,Amateur Intermediate Radio Licence
20AQB,Reserved,
20AQC,Reserved,
20AQD,Reserved,
20AQE,Reserved,Amateur Intermediate Radio Licence
20AQF,Allocated,
20AQG,Reserved,
20AQH,Reserved,
20AQI,Reserved,Amateur Intermediate Radio Licence
20AQJ,Allocated,
20AQK,Reserved,
20AQL,Reserved,
20AQM,Reserved,
20AQN,Reserved,
20AQO,Reserved,
20AQP,Reserved,
20AQQ,Reserved,
20AQR,Reserved,Amateur Intermediate Radio Licence
20AQS,Allocated,
20AQT,Reserved,
20AQU,Reserved,Amateur Intermediate Radio Licence
20AQV,Allocated,
20AQW,Reserved,
20AQX,Reserved,
20AQY,Reserved,
20AQZ,Reserved,
20ARA,Reserved,Amateur Intermediate Radio Licence
20ARB,Allocated,Amateur Intermediate Radio Licence
20ARC,Reserved,
20ARD,Reserved,
20ARE,Reserved,Amateur Intermediate Radio Licence
20ARF,Allocated,
20ARG,Reserved,
20ARH,Reserved,
20ARI,Reserved,Amateur Intermediate Radio Licence
20ARJ,Allocated,Amateur Intermediate Radio Licence
20ARK,Allocated,
20ARL,Reserved,
20ARM,Reserved,
20ARN,Reserved,
20ARO,Reserved,Amateur Intermediate Radio Licence
20ARP,Allocated,
20ARQ,Reserved,
20ARR,Reserved,
20ARS,Reserved,
20ART,Reserved,
20ARU,Reserved,
20ARV,Reserved,Amateur Intermediate Radio Licence
20ARW,Allocated,Amateur Intermediate Radio Licence
20ARX,Allocated,
20ARY,Reserved,
20ARZ,Reserved,
20ASA,Reserved,
20ASB,Reserved,Amateur Intermediate Radio Licence
20ASC,Reserved,
20ASD,Reserved,
20ASE,Reserved,
20ASF,Reserved,
20ASG,Reserved,Amateur Intermediate Radio Licence
20ASH,Reserved,
20ASI,Reserved,
20ASJ,Reserved,Amateur Intermediate Radio Licence
20ASK,Allocated,
20ASL,Reserved,
20ASM,Reserved,
20ASN,Reserved,
20ASO,Reserved,
20ASP,Reserved,
20ASQ,Reserved,
20ASR,Reserved,
20ASS,Forbidden,
20AST,Reserved,
20ASU,Reserved,Amateur Intermediate Radio Licence
20ASV,Allocated,Amateur Intermediate Radio Licence
20ASW,Reserved,Amateur Intermediate Radio Licence
20ASX,Allocated,Amateur Intermediate Radio Licence
20ASY,Allocated,
20ASZ,Reserved,
20ATA,Reserved,
20ATB,Reserved,Amateur Intermediate Radio Licence
20ATC,Allocated,
20ATD,Reserved,
20ATE,Reserved,
20ATF,Reserved,Amateur Intermediate Radio Licence
20ATG,Allocated,
20ATH,Reserved,
20ATI,Reserved,
20ATJ,Reserved,
20ATK,Reserved,
20ATL,Reserved,
20ATM,Reserved,
20ATN,Reserved,
20ATO,Reserved,Amateur Intermediate Radio Licence
20ATP,Reserved,
20ATQ,Reserved,
20ATR,Reserved,
20ATS,Reserved,
20ATT,Reserved,
20ATU,Reserved,
20ATV,Reserved,Amateur Intermediate Radio Licence
20ATW,Reserved,
20ATX,Reserved,
20ATY,Reserved,Amateur Intermediate Radio Licence
20ATZ,Allocated,Amateur Intermediate Radio Licence
20AUA,Allocated,
20AUB,Reserved,
20AUC,Reserved,Amateur Intermediate Radio Licence
20AUD,Allocated,
20AUE,Reserved,
20AUF,Reserved,
