callsign,status,licence_class
20BEL,Allocated,
20BEN,Allocated,
20BEP,Allocated,
20BEQ,Allocated,
20BES,Allocated,
20BET,Allocated,
20BEU,Allocated,
20BEV,Allocated,
20BEW,Allocated,
20BEX,Allocated,
20BEY,Allocated,
20BEZ,Allocated,
20BFA,Allocated,
20BFB,Allocated,
20BFC,Allocated,
20BFD,Allocated,
20BFF,Allocated,
20BFG,Allocated,
20BFH,Allocated,
20BFI,Allocated,
20BFJ,Allocated,
20BFL,Allocated,
20BFM,Allocated,
20BFN,Allocated,
20BFP,Allocated,
20BFR,Allocated,
20BFS,Allocated,
20BFT,Allocated,
20BFU,Allocated,
20BFV,Allocated,
20BFX,Allocated,
20BFY,Allocated,
20BFZ,Allocated,
20BGA,Allocated,
20BGB,Allocated,
20BGC,Allocated,
20BGE,Allocated,
20BGF,Allocated,
20BGG,Allocated,
20BGI,Allocated,
20BGJ,Allocated,
20BGL,Allocated,
20BGM,Allocated,
20BGO,Allocated,
20BGP,Allocated,
20BGQ,Allocated,
20BGR,Allocated,
20BGS,Allocated,
20BGV,Allocated,
20BGX,Allocated,
20BGZ,Allocated,
20BHA,Allocated,
20BHB,Allocated,
20BHC,Allocated,
20BHD,Allocated,
20BHE,Allocated,
20BHH,Allocated,
20BHI,Allocated,
20BHJ,Allocated,
20BHK,Allocated,
20BHL,Allocated,
20BHM,Allocated,
20BHN,Allocated,
20BHO,Allocated,
20BHP,Allocated,
20BHQ,Allocated,
20BHR,Allocated,
20BHS,Allocated,
20BHT,Allocated,
20BHU,Allocated,
20BHV,Allocated,
20BHX,Allocated,
20BHY,Allocated,
20BHZ,Allocated,
20BIB,Allocated,
20BIC,Allocated,
20BID,Allocated,
20BIF,Allocated,
20BII,Allocated,
20BIJ,Allocated,
20BIL,Allocated,
20BIM,Allocated,
20BIN,Allocated,
20BIO,Allocated,
20BIQ,Allocated,
20BIR,Allocated,
20BIS,Allocated,
20BIU,Allocated,
20BIV,Allocated,
20BIX,Allocated,
20BIY,Allocated,
20BIZ,Allocated,
20BJA,Allocated,
20BJB,Allocated,
20BJC,Allocated,
20BJD,Allocated,
20BJE,Allocated,
20BJG,Allocated,
20BJJ,Allocated,
20BJK,Allocated,
20BJM,Allocated,
20BJN,Allocated,
20BJO,Allocated,
20BJP,Allocated,
20BJQ,Allocated,
20BJR,Allocated,
20BJS,Allocated,
20BJT,Allocated,
20BJU,Allocated,
20BJV,Allocated,
20BJW,Allocated,
20BJX,Allocated,
20BJY,Allocated,
20BKA,Allocated,
20BKB,Allocated,
20BKC,Allocated,
20BKD,Allocated,
20BKE,Allocated,
20BKF,Allocated,
20BKI,Allocated,
20BKJ,Allocated,
20BKL,Allocated,
20BKM,Allocated,
20BKN,Allocated,
20BKO,Allocated,
20BKP,Allocated,
20BKQ,Allocated,
20BKR,Allocated,
20BKS,Allocated,
20BKT,Allocated,
20BKU,Allocated,
20BKV,Allocated,
20BKW,Allocated,
20BKY,Allocated,
20BKZ,Allocated,
20BLA,Allocated,
20BLB,Allocated,
20BLC,Allocated,
20BLD,Allocated,
20BLE,Allocated,
20BLF,Allocated,
20BLG,Allocated,
20BLH,Allocated,
20BLI,Allocated,
20BLJ,Allocated,
20BLK,Allocated,
20BLL,Allocated,
20BLN,Allocated,
20BLO,Allocated,
20BLP,Allocated,
20BLQ,Allocated,
20BLR,Allocated,
20BLS,Allocated,
20BLT,Allocated,
20BLU,Allocated,
20BLV,Allocated,
20BLW,Allocated,
20BLX,Allocated,
20BLY,Allocated,
20BLZ,Allocated,
20BMA,Allocated,
20BMB,Allocated,
20BMC,Allocated,
20BMD,Allocated,
20BME,Allocated,
20BMF,Allocated,
20BMG,Allocated,
20BMH,Allocated,
20BMI,Allocated,
20BMJ,Allocated,
20BMK,Allocated,
20BMM,Allocated,
20BMN,Allocated,
20BMO,Allocated,
20BMP,Allocated,
20BMR,Allocated,
20BMU,Allocated,
20BMV,Allocated,
20BMW,Allocated,
20BMX,Allocated,
20BMY,Allocated,
20BMZ,Allocated,
20BNA,Allocated,
20BNB,Allocated,
20BNC,Allocated,
20BND,Allocated,
20BNE,Allocated,
20BNF,Allocated,
20BNH,Allocated,
20BNI,Allocated,
20BNJ,Allocated,
20BNK,Allocated,
20BNL,Allocated,
20BNM,Allocated,
20BNN,Allocated,
20BNO,Allocated,
20BNP,Allocated,
20BNQ,Allocated,
20BNR,Allocated,
20BNS,Allocated,
20BNT,Allocated,
20BNU,Allocated,
20BNV,Allocated,
20BNW,Allocated,
20BNZ,Allocated,
20BOA,Allocated,
20BOB,Allocated,
20BOC,Allocated,
20BOD,Allocated,
20BOE,Allocated,
20BOF,Allocated,
20BOI,Allocated,
20BOJ,Allocated,
20BOK,Allocated,
20BON,Allocated,
20BOO,Allocated,
20BOQ,Allocated,
20BOR,Allocated,
20BOS,Allocated,
20BOT,Allocated,
20BOU,Allocated,
20BOV,Allocated,
20BOW,Allocated,
20BOX,Allocated,
20BOY,Allocated,
20BOZ,Allocated,
20BPA,Allocated,
20BPB,Allocated,
20BPC,Allocated,
20BPD,Allocated,
20BPE,Allocated,
20BPF,Allocated,
20BPG,Allocated,
20BPI,Allocated,
20BPJ,Allocated,
20BPL,Allocated,
20BPM,Allocated,
20BPN,Allocated,
20BPO,Allocated,
20BPP,Allocated,
20BPQ,Allocated,
20BPS,Allocated,
20BPT,Allocated,
20BPU,Allocated,
20BPV,Allocated,
20BPW,Allocated,
20BPX,Allocated,
20BPY,Allocated,
20BPZ,Allocated,
20BQB,Allocated,
20BQC,Allocated,
20BQE,Allocated,
20BQF,Allocated,
20BQG,Allocated,
20BQH,Allocated,
20BQJ,Allocated,
20BQK,Allocated,
20BQL,Allocated,
20BQM,Allocated,
20BQN,Allocated,
20BQO,Allocated,
20BQP,Allocated,
20BQQ,Allocated,
20BQR,Allocated,
20BQS,Allocated,
20BQU,Allocated,
20BQV,Allocated,
20BQW,Allocated,
20BQX,Allocated,
20BQY,Allocated,
20BQZ,Allocated,
20BRA,Allocated,
20BRC,Allocated,
20BRD,Allocated,
20BRF,Allocated,
20BRG,Allocated,
20BRH,Allocated,
20BRI,Allocated,
20BRJ,Allocated,
20BRK,Allocated,
20BRL,Allocated,
20BRO,Allocated,
20BRP,Allocated,
