Value__c,Product__c,Status__c,Type__c
G7UNA,,Reserved,Call Sign - Amateur
G0VSI,,Reserved,Call Sign - Amateur
G7UNC,,Reserved,Call Sign - Amateur
G7UNG,,Reserved,Call Sign - Amateur
G7PUR,,Reserved,Call Sign - Amateur
G7UNI,,Reserved,Call Sign - Amateur
M1AFS,,Reserved,Call Sign - Amateur
G0THE,,Reserved,Call Sign - Amateur
M1AFT,,Reserved,Call Sign - Amateur
M1APY,,Reserved,Call Sign - Amateur
M1AGD,,Reserved,Call Sign - Amateur
M1AGG,,Reserved,Call Sign - Amateur
M1AGI,,Reserved,Call Sign - Amateur
G0WQT,,Allocated,Call Sign - Amateur
G3TRW,,Reserved,Call Sign - Amateur
M0AGD,,Reserved,Call Sign - Amateur
M1ABR,,Reserved,Call Sign - Amateur
M1ABS,,Reserved,Call Sign - Amateur
M1ABW,,Reserved,Call Sign - Amateur
G7UKY,,Reserved,Call Sign - Amateur
G7UKZ,,Reserved,Call Sign - Amateur
G7ULA,,Reserved,Call Sign - Amateur
G7ULB,,Reserved,Call Sign - Amateur
G0VSA,,Reserved,Call Sign - Amateur
G7ULD,,Reserved,Call Sign - Amateur
G7TDV,,Reserved,Call Sign - Amateur
20UMP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
G7IMN,,Reserved,Call Sign - Amateur
G7IMP,,Reserved,Call Sign - Amateur
G7PPI,,Reserved,Call Sign - Amateur
G7SHZ,,Reserved,Call Sign - Amateur
G7SIA,,Reserved,Call Sign - Amateur
G7SIB,,Reserved,Call Sign - Amateur
G0UUY,,Reserved,Call Sign - Amateur
G7SID,,Reserved,Call Sign - Amateur
G6DKO,,Reserved,Call Sign - Amateur
G7SIF,,Reserved,Call Sign - Amateur
G7UXL,,Reserved,Call Sign - Amateur
G7UXM,,Reserved,Call Sign - Amateur
G7UXN,,Reserved,Call Sign - Amateur
G7UXO,,Allocated,Call Sign - Amateur
G7UXP,,Reserved,Call Sign - Amateur
G7UXS,,Reserved,Call Sign - Amateur
G7UXZ,,Reserved,Call Sign - Amateur
G7UYA,,Reserved,Call Sign - Amateur
G7UYC,,Reserved,Call Sign - Amateur
G7UYD,,Allocated,Call Sign - Amateur
G7UYF,,Reserved,Call Sign - Amateur
G0WGX,,Reserved,Call Sign - Amateur
G7UYG,,Reserved,Call Sign - Amateur
G0WHB,,Reserved,Call Sign - Amateur
G6KRA,,Reserved,Call Sign - Amateur
G7UYL,,Reserved,Call Sign - Amateur
G7UYM,,Reserved,Call Sign - Amateur
G7UYN,,Reserved,Call Sign - Amateur
M0EST,,Reserved,Call Sign - Amateur
M0ESV,,Reserved,Call Sign - Amateur
M0ESX,,Reserved,Call Sign - Amateur
M0ESY,,Reserved,Call Sign - Amateur
M0ETB,,Reserved,Call Sign - Amateur
M0ETC,,Reserved,Call Sign - Amateur
M0ETD,,Reserved,Call Sign - Amateur
M0ETF,,Reserved,Call Sign - Amateur
M0ETG,,Reserved,Call Sign - Amateur
M0ETH,,Reserved,Call Sign - Amateur
M0ETI,,Reserved,Call Sign - Amateur
M0ETJ,,Reserved,Call Sign - Amateur
M0ETK,,Reserved,Call Sign - Amateur
M0ETL,,Reserved,Call Sign - Amateur
M0ETN,,Reserved,Call Sign - Amateur
M0ETR,,Reserved,Call Sign - Amateur
M0ETT,,Reserved,Call Sign - Amateur
M0ETU,,Reserved,Call Sign - Amateur
M0ETV,,Reserved,Call Sign - Amateur
M0ETW,,Reserved,Call Sign - Amateur
M0ETX,,Reserved,Call Sign - Amateur
M0ETZ,,Reserved,Call Sign - Amateur
M0EUA,,Reserved,Call Sign - Amateur
M0EUB,,Reserved,Call Sign - Amateur
M0EUC,,Reserved,Call Sign - Amateur
M0EUD,,Reserved,Call Sign - Amateur
M0EUE,,Reserved,Call Sign - Amateur
M0EUF,,Reserved,Call Sign - Amateur
M0EUH,,Reserved,Call Sign - Amateur
M0EUJ,,Reserved,Call Sign - Amateur
M0EUL,,Reserved,Call Sign - Amateur
M0EUM,,Reserved,Call Sign - Amateur
G6DFN,,Reserved,Call Sign - Amateur
M1CIL,,Reserved,Call Sign - Amateur
M1CIN,,Reserved,Call Sign - Amateur
M1CIP,,Reserved,Call Sign - Amateur
M1CIQ,,Reserved,Call Sign - Amateur
M1CIT,,Reserved,Call Sign - Amateur
M1CIU,,Reserved,Call Sign - Amateur
G0IGN,,Reserved,Call Sign - Amateur
M0BLW,,Reserved,Call Sign - Amateur
M0BLX,,Reserved,Call Sign - Amateur
M1CIV,,Reserved,Call Sign - Amateur
M0BMC,,Reserved,Call Sign - Amateur
M1DLK,,Reserved,Call Sign - Amateur
G7VTD,,Reserved,Call Sign - Amateur
M1DLO,,Reserved,Call Sign - Amateur
G8GEI,,Reserved,Call Sign - Amateur
M1DLP,,Reserved,Call Sign - Amateur
G7THV,,Reserved,Call Sign - Amateur
G8ITS,,Reserved,Call Sign - Amateur
G7OYL,,Reserved,Call Sign - Amateur
G7OYM,,Reserved,Call Sign - Amateur
G7OYN,,Reserved,Call Sign - Amateur
G3EVV,,Reserved,Call Sign - Amateur
G5NCW,,Reserved,Call Sign - Amateur
G7THW,,Reserved,Call Sign - Amateur
G6HYA,,Reserved,Call Sign - Amateur
G8OVV,,Reserved,Call Sign - Amateur
G6OQM,,Reserved,Call Sign - Amateur
G7OYQ,,Reserved,Call Sign - Amateur
G4DRM,,Allocated,Call Sign - Amateur
G0TXG,,Reserved,Call Sign - Amateur
G0UEF,,Reserved,Call Sign - Amateur
G7RJN,,Reserved,Call Sign - Amateur
G7THB,,Reserved,Call Sign - Amateur
G7THC,,Allocated,Call Sign - Amateur
G7RLE,,Reserved,Call Sign - Amateur
G7RLG,,Reserved,Call Sign - Amateur
G7THE,,Reserved,Call Sign - Amateur
G0LNF,,Reserved,Call Sign - Amateur
G7BSI,,Reserved,Call Sign - Amateur
G7RLJ,,Reserved,Call Sign - Amateur
G7RLL,,Reserved,Call Sign - Amateur
G1WBZ,,Reserved,Call Sign - Amateur
G0VDS,,Reserved,Call Sign - Amateur
G0UGK,,Reserved,Call Sign - Amateur
G7RND,,Reserved,Call Sign - Amateur
G0UGL,,Reserved,Call Sign - Amateur
G7RLR,,Reserved,Call Sign - Amateur
G6MGE,,Reserved,Call Sign - Amateur
G7MBO,,Reserved,Call Sign - Amateur
G0DQD,,Reserved,Call Sign - Amateur
G7THP,,Reserved,Call Sign - Amateur
G7TXV,,Allocated,Call Sign - Amateur
G7TXY,,Reserved,Call Sign - Amateur
G7VPJ,,Reserved,Call Sign - Amateur
G7PMQ,,Allocated,Call Sign - Amateur
G7EES,,Reserved,Call Sign - Amateur
G8CBH,,Reserved,Call Sign - Amateur
G0ALP,,Reserved,Call Sign - Amateur
G7GDJ,,Reserved,Call Sign - Amateur
M0ASK,,Reserved,Call Sign - Amateur
M1BDZ,,Reserved,Call Sign - Amateur
M1BPG,,Reserved,Call Sign - Amateur
M0ASQ,,Reserved,Call Sign - Amateur
M1BEB,,Reserved,Call Sign - Amateur
M1BIP,,Reserved,Call Sign - Amateur
M0ASX,,Reserved,Call Sign - Amateur
M1BEF,,Reserved,Call Sign - Amateur
M1BEH,,Reserved,Call Sign - Amateur
M1BEI,,Reserved,Call Sign - Amateur
M0BIL,,Reserved,Call Sign - Amateur
M1BEJ,,Reserved,Call Sign - Amateur
G4IUU,,Reserved,Call Sign - Amateur
M0ATF,,Reserved,Call Sign - Amateur
M1BEM,,Reserved,Call Sign - Amateur
M0ATJ,,Reserved,Call Sign - Amateur
G0WNU,,Reserved,Call Sign - Amateur
G7VVY,,Reserved,Call Sign - Amateur
G7VVZ,,Reserved,Call Sign - Amateur
G1HSD,,Reserved,Call Sign - Amateur
M0ANY,,Reserved,Call Sign - Amateur
M0JMW,,Reserved,Call Sign - Amateur
M5ALV,,Reserved,Call Sign - Amateur
M5JME,,Reserved,Call Sign - Amateur
M0DEH,,Reserved,Call Sign - Amateur
M5ERJ,,Reserved,Call Sign - Amateur
M5BIC,,Reserved,Call Sign - Amateur
M0NHF,,Reserved,Call Sign - Amateur
M5EIJ,,Reserved,Call Sign - Amateur
G1HBQ,,Reserved,Call Sign - Amateur
G0WNW,,Reserved,Call Sign - Amateur
G7VWB,,Reserved,Call Sign - Amateur
G0WNX,,Reserved,Call Sign - Amateur
M0APQ,,Reserved,Call Sign - Amateur
G7WKS,,Reserved,Call Sign - Amateur
G0WQE,,Reserved,Call Sign - Amateur
G7VWD,,Reserved,Call Sign - Amateur
M0ANR,,Reserved,Call Sign - Amateur
G0WNY,,Reserved,Call Sign - Amateur
G7VWE,,Reserved,Call Sign - Amateur
G7VWF,,Reserved,Call Sign - Amateur
G0WOB,,Reserved,Call Sign - Amateur
G7VWI,,Reserved,Call Sign - Amateur
G7VWJ,,Reserved,Call Sign - Amateur
G0WOF,,Reserved,Call Sign - Amateur
G0WOH,,Reserved,Call Sign - Amateur
G7VWK,,Reserved,Call Sign - Amateur
M1AAX,,Reserved,Call Sign - Amateur
M1AAZ,,Reserved,Call Sign - Amateur
M0ADE,,Reserved,Call Sign - Amateur
M5DAN,,Reserved,Call Sign - Amateur
M5ALW,,Reserved,Call Sign - Amateur
M1TER,,Reserved,Call Sign - Amateur
M1WAR,,Reserved,Call Sign - Amateur
M1TWT,,Reserved,Call Sign - Amateur
M1YDP,,Reserved,Call Sign - Amateur
G6YPT,,Reserved,Call Sign - Amateur
G0UUH,,Reserved,Call Sign - Amateur
G7SHT,,Reserved,Call Sign - Amateur
G7UYO,,Reserved,Call Sign - Amateur
G7UYP,,Reserved,Call Sign - Amateur
G0UNQ,,Reserved,Call Sign - Amateur
M1AVZ,,Reserved,Call Sign - Amateur
M1AWA,,Reserved,Call Sign - Amateur
M1AWB,,Reserved,Call Sign - Amateur
M1AWE,,Reserved,Call Sign - Amateur
M1AWF,,Reserved,Call Sign - Amateur
M1AWI,,Reserved,Call Sign - Amateur
M0AJP,,Reserved,Call Sign - Amateur
G7SAL,,Reserved,Call Sign - Amateur
M1AWJ,,Reserved,Call Sign - Amateur
M1AWK,,Reserved,Call Sign - Amateur
M1AWL,,Reserved,Call Sign - Amateur
M1AWQ,,Reserved,Call Sign - Amateur
G1JUY,,Allocated,Call Sign - Amateur
M1AWU,,Reserved,Call Sign - Amateur
M1AWW,,Reserved,Call Sign - Amateur
G7SAM,,Reserved,Call Sign - Amateur
M1AWY,,Reserved,Call Sign - Amateur
M0AJS,,Reserved,Call Sign - Amateur
M1AXC,,Reserved,Call Sign - Amateur
M1AXF,,Reserved,Call Sign - Amateur
M0AJU,,Reserved,Call Sign - Amateur
M1AXH,,Reserved,Call Sign - Amateur
M1AXJ,,Reserved,Call Sign - Amateur
M0AJV,,Reserved,Call Sign - Amateur
G7SAO,,Reserved,Call Sign - Amateur
M1AXK,,Reserved,Call Sign - Amateur
M1AXQ,,Reserved,Call Sign - Amateur
M1AXS,,Reserved,Call Sign - Amateur
M1AXT,,Reserved,Call Sign - Amateur
M1AXU,,Reserved,Call Sign - Amateur
G6LKM,,Reserved,Call Sign - Amateur
G8BYH,,Reserved,Call Sign - Amateur
M1AXW,,Reserved,Call Sign - Amateur
G7SAP,,Reserved,Call Sign - Amateur
M1AXZ,,Reserved,Call Sign - Amateur
M1AYB,,Reserved,Call Sign - Amateur
M1AYD,,Reserved,Call Sign - Amateur
G6WYC,,Reserved,Call Sign - Amateur
M0AKC,,Reserved,Call Sign - Amateur
M1AYH,,Reserved,Call Sign - Amateur
M0SFS,,Reserved,Call Sign - Amateur
M0SYO,,Reserved,Call Sign - Amateur
M0NGR,,Reserved,Call Sign - Amateur
M5LAS,,Reserved,Call Sign - Amateur
M0PSJ,,Reserved,Call Sign - Amateur
G8KYD,,Reserved,Call Sign - Amateur
M0DKB,,Reserved,Call Sign - Amateur
G6JPZ,,Reserved,Call Sign - Amateur
M5CTG,,Reserved,Call Sign - Amateur
M1FJW,,Reserved,Call Sign - Amateur
M0DKC,,Reserved,Call Sign - Amateur
M1ILT,,Reserved,Call Sign - Amateur
M1MRV,,Reserved,Call Sign - Amateur
G4DKJ,,Reserved,Call Sign - Amateur
G1JHE,,Reserved,Call Sign - Amateur
G1YYN,,Allocated,Call Sign - Amateur
M1KZV,,Reserved,Call Sign - Amateur
M5KIT,,Reserved,Call Sign - Amateur
M1EYC,,Reserved,Call Sign - Amateur
M1EYD,,Reserved,Call Sign - Amateur
M5SJC,,Reserved,Call Sign - Amateur
M5DUD,,Reserved,Call Sign - Amateur
M5TEM,,Reserved,Call Sign - Amateur
M1OBI,,Reserved,Call Sign - Amateur
M0EVM,,Reserved,Call Sign - Amateur
M0EVN,,Reserved,Call Sign - Amateur
M0EVP,,Reserved,Call Sign - Amateur
M0EVQ,,Reserved,Call Sign - Amateur
M0EVR,,Reserved,Call Sign - Amateur
M0EVT,,Allocated,Call Sign - Amateur
M0EVU,,Reserved,Call Sign - Amateur
M0EVV,,Reserved,Call Sign - Amateur
M0EVW,,Reserved,Call Sign - Amateur
M0EVX,,Reserved,Call Sign - Amateur
M0EVY,,Reserved,Call Sign - Amateur
M0EVZ,,Reserved,Call Sign - Amateur
M0EUN,,Reserved,Call Sign - Amateur
M0EUO,,Reserved,Call Sign - Amateur
M0EUP,,Reserved,Call Sign - Amateur
M0EUQ,,Reserved,Call Sign - Amateur
M0EUR,,Reserved,Call Sign - Amateur
M0EUT,,Reserved,Call Sign - Amateur
M0EUU,,Reserved,Call Sign - Amateur
M0EUV,,Reserved,Call Sign - Amateur
M0EUW,,Reserved,Call Sign - Amateur
M0EUX,,Reserved,Call Sign - Amateur
M0EPF,,Reserved,Call Sign - Amateur
M0EPG,,Reserved,Call Sign - Amateur
M0EPH,,Reserved,Call Sign - Amateur
M0EPI,,Reserved,Call Sign - Amateur
M0EPJ,,Reserved,Call Sign - Amateur
M0EPK,,Reserved,Call Sign - Amateur
M0EPL,,Reserved,Call Sign - Amateur
M0EPM,,Reserved,Call Sign - Amateur
M0FZK,,Reserved,Call Sign - Amateur
M0FZL,,Reserved,Call Sign - Amateur
M0FZM,,Reserved,Call Sign - Amateur
M0FZN,,Reserved,Call Sign - Amateur
M0FZO,,Reserved,Call Sign - Amateur
M0FZP,,Reserved,Call Sign - Amateur
M0EPN,,Reserved,Call Sign - Amateur
M0EPO,,Reserved,Call Sign - Amateur
M0EPP,,Reserved,Call Sign - Amateur
M0EPQ,,Reserved,Call Sign - Amateur
M0EPS,,Reserved,Call Sign - Amateur
M0EPU,,Reserved,Call Sign - Amateur
M0EPY,,Reserved,Call Sign - Amateur
M0EPZ,,Reserved,Call Sign - Amateur
M0EQA,,Reserved,Call Sign - Amateur
M0EQB,,Reserved,Call Sign - Amateur
M0EQC,,Reserved,Call Sign - Amateur
M0EQF,,Reserved,Call Sign - Amateur
M0EQG,,Reserved,Call Sign - Amateur
M0EQH,,Reserved,Call Sign - Amateur
M0EQI,,Reserved,Call Sign - Amateur
M0EQJ,,Reserved,Call Sign - Amateur
M0EQK,,Reserved,Call Sign - Amateur
M0EQN,,Reserved,Call Sign - Amateur
M0EQO,,Reserved,Call Sign - Amateur
G7UGU,,Reserved,Call Sign - Amateur
G7UGX,,Allocated,Call Sign - Amateur
G7UHB,,Reserved,Call Sign - Amateur
G7OTG,,Reserved,Call Sign - Amateur
G7UHD,,Reserved,Call Sign - Amateur
G7UHH,,Reserved,Call Sign - Amateur
G7UHJ,,Reserved,Call Sign - Amateur
G7UHK,,Reserved,Call Sign - Amateur
G7UHO,,Reserved,Call Sign - Amateur
G7UHQ,,Reserved,Call Sign - Amateur
G7UHR,,Reserved,Call Sign - Amateur
G7UHU,,Reserved,Call Sign - Amateur
G7UHA,,Reserved,Call Sign - Amateur
G7UHC,,Reserved,Call Sign - Amateur
G0WGU,,Reserved,Call Sign - Amateur
G7UWX,,Reserved,Call Sign - Amateur
G7UWY,,Reserved,Call Sign - Amateur
G7UXA,,Reserved,Call Sign - Amateur
G7UXC,,Reserved,Call Sign - Amateur
G7UXE,,Reserved,Call Sign - Amateur
G7OTH,,Reserved,Call Sign - Amateur
G7UXF,,Reserved,Call Sign - Amateur
G7UXJ,,Reserved,Call Sign - Amateur
G8XWA,,Reserved,Call Sign - Amateur
G7HRC,,Allocated,Call Sign - Amateur
G7HUM,,Reserved,Call Sign - Amateur
G4RXJ,,Reserved,Call Sign - Amateur
G7HXU,,Reserved,Call Sign - Amateur
G7IAV,,Reserved,Call Sign - Amateur
G7IDQ,,Reserved,Call Sign - Amateur
G7IFG,,Reserved,Call Sign - Amateur
G7IKD,,Reserved,Call Sign - Amateur
G7ILW,,Reserved,Call Sign - Amateur
G7INF,,Reserved,Call Sign - Amateur
G7LJM,,Reserved,Call Sign - Amateur
G4SDE,,Reserved,Call Sign - Amateur
G7IPN,,Reserved,Call Sign - Amateur
G7ISQ,,Reserved,Call Sign - Amateur
G7IVE,,Reserved,Call Sign - Amateur
G7LFK,,Reserved,Call Sign - Amateur
G7IYL,,Reserved,Call Sign - Amateur
G7JDZ,,Reserved,Call Sign - Amateur
G7JGG,,Reserved,Call Sign - Amateur
G8XJZ,,Reserved,Call Sign - Amateur
G7JHA,,Reserved,Call Sign - Amateur
G7JKR,,Reserved,Call Sign - Amateur
G4STT,,Reserved,Call Sign - Amateur
G7JLY,,Reserved,Call Sign - Amateur
G7JNA,,Reserved,Call Sign - Amateur
G8ADJ,,Reserved,Call Sign - Amateur
G7JOT,,Reserved,Call Sign - Amateur
G8BKZ,,Reserved,Call Sign - Amateur
G7JPJ,,Reserved,Call Sign - Amateur
G7JSO,,Reserved,Call Sign - Amateur
G7RTW,,Reserved,Call Sign - Amateur
G7RTY,,Reserved,Call Sign - Amateur
G7RUB,,Reserved,Call Sign - Amateur
G7LHH,,Reserved,Call Sign - Amateur
G7RUD,,Reserved,Call Sign - Amateur
G7RUI,,Reserved,Call Sign - Amateur
G0URP,,Reserved,Call Sign - Amateur
G7RUK,,Reserved,Call Sign - Amateur
G1WQA,,Reserved,Call Sign - Amateur
G7TXZ,,Reserved,Call Sign - Amateur
G7TYC,,Reserved,Call Sign - Amateur
G6YCU,,Reserved,Call Sign - Amateur
G7TYM,,Reserved,Call Sign - Amateur
G1DBW,,Reserved,Call Sign - Amateur
G7THQ,,Reserved,Call Sign - Amateur
G7TYD,,Reserved,Call Sign - Amateur
G7TYE,,Reserved,Call Sign - Amateur
G7TYG,,Reserved,Call Sign - Amateur
G7TYI,,Reserved,Call Sign - Amateur
G0VQE,,Reserved,Call Sign - Amateur
G7TYQ,,Reserved,Call Sign - Amateur
G7TYU,,Reserved,Call Sign - Amateur
G7TYW,,Reserved,Call Sign - Amateur
G1VRN,,Reserved,Call Sign - Amateur
G7OYI,,Reserved,Call Sign - Amateur
G7THR,,Reserved,Call Sign - Amateur
G7OYK,,Reserved,Call Sign - Amateur
G7OYJ,,Reserved,Call Sign - Amateur
G6UOY,,Reserved,Call Sign - Amateur
G7RVX,,Reserved,Call Sign - Amateur
G7RVZ,,Reserved,Call Sign - Amateur
G7RWB,,Reserved,Call Sign - Amateur
G7RWD,,Reserved,Call Sign - Amateur
G7RWE,,Reserved,Call Sign - Amateur
G7RWG,,Reserved,Call Sign - Amateur
G7RWK,,Reserved,Call Sign - Amateur
G7RWL,,Reserved,Call Sign - Amateur
G7RWM,,Reserved,Call Sign - Amateur
G7IIP,,Reserved,Call Sign - Amateur
G7RWP,,Reserved,Call Sign - Amateur
G7RWR,,Reserved,Call Sign - Amateur
G0UMH,,Reserved,Call Sign - Amateur
G7RWS,,Reserved,Call Sign - Amateur
G6DBI,,Reserved,Call Sign - Amateur
G7LHJ,,Reserved,Call Sign - Amateur
G7TBZ,,Reserved,Call Sign - Amateur
G7TCE,,Reserved,Call Sign - Amateur
G7TCF,,Reserved,Call Sign - Amateur
21ETG,,Reserved,Call Sign - Amateur
21ETH,,Reserved,Call Sign - Amateur
21ETI,,Reserved,Call Sign - Amateur
21FEW,,Reserved,Call Sign - Amateur
21FEX,,Allocated,Call Sign - Amateur
21FEY,,Reserved,Call Sign - Amateur
21FEZ,,Reserved,Call Sign - Amateur
21FFA,,Reserved,Call Sign - Amateur
21FFB,,Reserved,Call Sign - Amateur
21FFS,,Reserved,Call Sign - Amateur
21FFD,,Reserved,Call Sign - Amateur
21FFE,,Reserved,Call Sign - Amateur
21EJB,,Reserved,Call Sign - Amateur
21EVN,,Reserved,Call Sign - Amateur
21EVO,,Reserved,Call Sign - Amateur
G7VPM,,Reserved,Call Sign - Amateur
G7TIO,,Reserved,Call Sign - Amateur
G7VPP,,Reserved,Call Sign - Amateur
G7VPR,,Reserved,Call Sign - Amateur
G7VPW,,Reserved,Call Sign - Amateur
G7VPY,,Reserved,Call Sign - Amateur
G7BTD,,Reserved,Call Sign - Amateur
G0WVS,,Reserved,Call Sign - Amateur
G0WJL,,Reserved,Call Sign - Amateur
G7TIP,,Reserved,Call Sign - Amateur
G7VQF,,Reserved,Call Sign - Amateur
G7VQG,,Reserved,Call Sign - Amateur
G7VQH,,Reserved,Call Sign - Amateur
G6HNL,,Reserved,Call Sign - Amateur
G1UWP,,Reserved,Call Sign - Amateur
G7TIQ,,Reserved,Call Sign - Amateur
G7VQN,,Reserved,Call Sign - Amateur
G7VQS,,Reserved,Call Sign - Amateur
G7VQT,,Reserved,Call Sign - Amateur
G7VQZ,,Reserved,Call Sign - Amateur
G7VRA,,Reserved,Call Sign - Amateur
G7VRE,,Reserved,Call Sign - Amateur
G7VRF,,Reserved,Call Sign - Amateur
G7VRG,,Reserved,Call Sign - Amateur
G7VRH,,Reserved,Call Sign - Amateur
G0WJW,,Reserved,Call Sign - Amateur
G7VRL,,Reserved,Call Sign - Amateur
G7TRR,,Reserved,Call Sign - Amateur
M1BIM,,Reserved,Call Sign - Amateur
M1BLC,,Reserved,Call Sign - Amateur
M1BIQ,,Reserved,Call Sign - Amateur
M1BIU,,Reserved,Call Sign - Amateur
M1BIV,,Reserved,Call Sign - Amateur
M1BIW,,Reserved,Call Sign - Amateur
M1BJA,,Reserved,Call Sign - Amateur
M1BJD,,Reserved,Call Sign - Amateur
M1BJF,,Reserved,Call Sign - Amateur
M1BJJ,,Reserved,Call Sign - Amateur
M1BJK,,Reserved,Call Sign - Amateur
M1BJM,,Reserved,Call Sign - Amateur
M0AUL,,Reserved,Call Sign - Amateur
M1BJN,,Reserved,Call Sign - Amateur
M7XOR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M1FHN,,Reserved,Call Sign - Amateur
M1RWW,,Reserved,Call Sign - Amateur
M1KNY,,Reserved,Call Sign - Amateur
G0UUQ,,Reserved,Call Sign - Amateur
G7SKY,,Reserved,Call Sign - Amateur
G7SHY,,Reserved,Call Sign - Amateur
G7OWY,,Reserved,Call Sign - Amateur
G0UNI,,Reserved,Call Sign - Amateur
G7OXB,,Allocated,Call Sign - Amateur
G0TUF,,Reserved,Call Sign - Amateur
G0TUG,,Reserved,Call Sign - Amateur
G7OXC,,Reserved,Call Sign - Amateur
G7RJP,,Reserved,Call Sign - Amateur
G3AFX,,Reserved,Call Sign - Amateur
G0UOK,,Allocated,Call Sign - Amateur
G0TYR,,Reserved,Call Sign - Amateur
G0UEL,,Reserved,Call Sign - Amateur
G7RJQ,,Reserved,Call Sign - Amateur
G7RRR,,Reserved,Call Sign - Amateur
G7RMP,,Reserved,Call Sign - Amateur
G7RWV,,Reserved,Call Sign - Amateur
G0UOT,,Reserved,Call Sign - Amateur
G7RJR,,Allocated,Call Sign - Amateur
G7RJS,,Reserved,Call Sign - Amateur
G6VQH,,Reserved,Call Sign - Amateur
G0UEV,,Reserved,Call Sign - Amateur
G0UFA,,Reserved,Call Sign - Amateur
G7RJX,,Reserved,Call Sign - Amateur
G0GJJ,,Reserved,Call Sign - Amateur
G0UEQ,,Reserved,Call Sign - Amateur
G7RKA,,Reserved,Call Sign - Amateur
G7RKB,,Reserved,Call Sign - Amateur
G7RKG,,Reserved,Call Sign - Amateur
G7RKH,,Reserved,Call Sign - Amateur
G0UOY,,Reserved,Call Sign - Amateur
G1EDW,,Reserved,Call Sign - Amateur
G7RKL,,Reserved,Call Sign - Amateur
G0UHR,,Reserved,Call Sign - Amateur
G1OYJ,,Reserved,Call Sign - Amateur
G7TDI,,Reserved,Call Sign - Amateur
G0TKA,,Reserved,Call Sign - Amateur
G6WTY,,Reserved,Call Sign - Amateur
G7OTW,,Reserved,Call Sign - Amateur
G7OTX,,Reserved,Call Sign - Amateur
G7TEN,,Reserved,Call Sign - Amateur
G7OTZ,,Reserved,Call Sign - Amateur
G0TKI,,Reserved,Call Sign - Amateur
G7OUA,,Reserved,Call Sign - Amateur
G7OUB,,Reserved,Call Sign - Amateur
G0TKM,,Reserved,Call Sign - Amateur
G0TKN,,Reserved,Call Sign - Amateur
G0TKQ,,Reserved,Call Sign - Amateur
G1IFA,,Reserved,Call Sign - Amateur
G0TKY,,Reserved,Call Sign - Amateur
G7OUD,,Reserved,Call Sign - Amateur
G7OUE,,Reserved,Call Sign - Amateur
G1EVO,,Reserved,Call Sign - Amateur
G7OUF,,Reserved,Call Sign - Amateur
G4XAI,,Reserved,Call Sign - Amateur
G0TLH,,Reserved,Call Sign - Amateur
G7OUG,,Allocated,Call Sign - Amateur
G7PUY,,Reserved,Call Sign - Amateur
G7PVB,,Reserved,Call Sign - Amateur
G7PVC,,Reserved,Call Sign - Amateur
M0EWA,,Reserved,Call Sign - Amateur
M0EWB,,Reserved,Call Sign - Amateur
M0EWC,,Reserved,Call Sign - Amateur
M0EWD,,Reserved,Call Sign - Amateur
M0EWE,,Reserved,Call Sign - Amateur
M0EWF,,Reserved,Call Sign - Amateur
M0EWH,,Reserved,Call Sign - Amateur
M0EWJ,,Reserved,Call Sign - Amateur
M0EWK,,Reserved,Call Sign - Amateur
M0EWL,,Reserved,Call Sign - Amateur
M0EWM,,Reserved,Call Sign - Amateur
M0EWN,,Reserved,Call Sign - Amateur
M0EWO,,Reserved,Call Sign - Amateur
M0EWP,,Reserved,Call Sign - Amateur
M0EWQ,,Reserved,Call Sign - Amateur
M0EWR,,Reserved,Call Sign - Amateur
M0EWT,,Reserved,Call Sign - Amateur
M0EWU,,Reserved,Call Sign - Amateur
M0EWV,,Reserved,Call Sign - Amateur
M0EWX,,Reserved,Call Sign - Amateur
M0EWY,,Reserved,Call Sign - Amateur
M0EWZ,,Reserved,Call Sign - Amateur
M0EXA,,Reserved,Call Sign - Amateur
M0EXB,,Reserved,Call Sign - Amateur
M0EXC,,Reserved,Call Sign - Amateur
M0EXD,,Reserved,Call Sign - Amateur
M0EXF,,Reserved,Call Sign - Amateur
M0EXG,,Reserved,Call Sign - Amateur
M0EWI,,Reserved,Call Sign - Amateur
M0EXH,,Reserved,Call Sign - Amateur
M0EXI,,Reserved,Call Sign - Amateur
M0EXJ,,Reserved,Call Sign - Amateur
M0EXK,,Reserved,Call Sign - Amateur
M0EXL,,Reserved,Call Sign - Amateur
M0EXN,,Reserved,Call Sign - Amateur
M0EXO,,Reserved,Call Sign - Amateur
M0EXP,,Reserved,Call Sign - Amateur
M0EXQ,,Reserved,Call Sign - Amateur
M0EXR,,Reserved,Call Sign - Amateur
M0EXS,,Reserved,Call Sign - Amateur
M0EXT,,Reserved,Call Sign - Amateur
M0EXU,,Reserved,Call Sign - Amateur
M0KVT,,Reserved,Call Sign - Amateur
M0EQP,,Reserved,Call Sign - Amateur
M0EQQ,,Reserved,Call Sign - Amateur
M0EQR,,Reserved,Call Sign - Amateur
M0EQS,,Reserved,Call Sign - Amateur
M0EQT,,Reserved,Call Sign - Amateur
M0EQU,,Reserved,Call Sign - Amateur
M0EQV,,Reserved,Call Sign - Amateur
M0EQW,,Reserved,Call Sign - Amateur
M0EQX,,Reserved,Call Sign - Amateur
