Value__c,Product__c,Status__c,Type__c
M6JZG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20RRW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M6VNR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0KZL,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
20EIM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M6NPA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GTX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20TUB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7YAH,Amateur Foundation Radio Licence,Available,Call Sign - Amateur
M6IYC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G8YYH,,Allocated,Call Sign - Amateur
20UKK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20-Nov,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur
20AAF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M6KZY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20NMA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7DGM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0XLZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20TUS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
G1YIL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M6WYP,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6IYB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M6NUD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20LXN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20FTO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
G6IET,,Allocated,Call Sign - Amateur
M0OEI,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
M7RUD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GGC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0KHH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7WGG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0LZS,,Allocated,Call Sign - Amateur
M7NRN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7KJI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7SWA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M1STK,,Allocated,Call Sign - Amateur
M7YZX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7VAM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20LLB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
G6HJX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7EEH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0OSO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M0OBJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M0YGH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7TKI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GVM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HKR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7DHH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20HVD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7BQI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7SDJ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20KZP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7AIK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7OGB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GJJ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G6KNA,Amateur Full Radio Licence,Reserved,Call Sign - Amateur
M0ODQ,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
M7NWR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HIM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0IXV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7FEA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7JTY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GIM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FWD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20FUA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7PLB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EEF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7OZZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0JEV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
G6BAK,,Allocated,Call Sign - Amateur
G5JDG,,Allocated,Call Sign - Amateur
M7BMP,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G1HHG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7WBD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FOL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20PKD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20NFX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7RPI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20FQS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7JTZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20HIR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7PJF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7RSG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7SIB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GDI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7UTB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7XEB,Amateur Foundation Radio Licence,Available,Call Sign - Amateur
M0YIT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20IIN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7DZK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20FEQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20SGN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
