format,meaning,eligibility,notes
GB + up to 5 further characters (first digit not 3 or 7; ends in a letter),Special Event Station,"licensed amateurs, liberalised rules from October 2025","Maximum 6 characters total; GB3/GB7 excluded from SES because they identify repeaters and beacons; before October 2025 SES callsigns were issued under a stricter NoV regime"
four-character short form callsign,Special Contest Callsign (SCC),Full Licence holders (including Club) via NoV with RSGB contest achievement evidence,"Valid up to 5 years; all SCC NoVs expire and renew on a common 5-year cycle"
