scc_code,base_callsign,status,notes
G9G,,Available,
G9H,,Available,
G9I,,Available,
G9J,GW0GEI,Issued,
G9K,,Available,
G9L,,Available,
G9M,,Available,
G9N,,Available,
G9O,,Available,
G9P,M0NCG,Issued,
G9Q,,Available,
G9R,MS0EPC,Issued,
G9S,,Available,
G9T,GW4WXM,Issued,
G9U,,Available,
G9V,,Withdrawn,
G9W,M0DXR,Issued,
G9X,M1LCR,Issued,
G9Y,,Withdrawn,
G9Z,GW1YQM,Issued,
M0A,G8APB,Issued,
M0B,G4KZD,Issued,
M0C,MM0CEZ,Issued,
M0D,M0TZM,Issued,
M0E,,Available,
M0F,,Available,
M0G,,Available,
M0H,MI0KOA,Issued,
M0I,MI0RRE,Issued,
M0J,,Available,
M0K,G8FMC,Issued,
M0L,,Available,
M0M,MN0NID,Issued,
M0N,M0NVS,Issued,
M0O,,Available,
M0P,,Withdrawn,
M0Q,M0DSL,Issued,
M0R,,Available,
M0S,,Available,
M0T,GM3WUX,Issued,
M0U,,Available,
M0V,,Available,
M0W,,Available,
M0X,M0RTI,Issued,
M0Y,,Available,
M0Z,,Available,
M1A,,Withdrawn,
M1B,G1YBB,Issued,
M1C,G1XOW,Issued,
M1D,M1CKD,Issued,
M1E,MM0GOR,Issued,
M1F,M0NVK,Issued,
M1G,G0UWS,Issued,
M1H,,Available,
M1I,,Available,
M1J,,Available,
M1K,M1ABK,Issued,
M1L,G0LGS,Issued,
M1M,MI0LLG,Issued,
M1N,M1DST,Issued,
M1O,,Available,
M1P,M0PLA,Issued,
M1Q,M1AQR,Issued,
M1R,,Withdrawn,
M1S,,Available,
M1T,M0KYB,Issued,
M1U,M0UTD,Issued,
M1V,M1VPN,Issued,
M1W,,Withdrawn,
M1X,G0CKP,Issued,
M1Y,,Available,
M1Z,MS0KPV,Issued,
M2A,G3SDC,Issued,
M2B,,Available,
M2C,MD0CCE,Issued,
M2D,G4NVR,Issued,
M2E,G0RPM,Issued,
M2F,,Withdrawn,
M2G,G4RCG,Issued,
M2H,,Available,
M2I,G0FRE,Issued,
M2J,G4NBS,Issued,
M2K,GU3HFN,Issued,
M2L,M0BJL,Issued,
M2M,MM0XDG,Issued,
M2N,MM0GPZ,Issued,
M2O,G1GEY,Issued,
M2P,,Withdrawn,
M2Q,,Available,
M2R,,Withdrawn,
M2S,,Withdrawn,
M2T,GM0LIR,Issued,
M2U,M0DHP,Issued,
M2V,,Available,
M2W,G0MIN,Issued,
M2X,G4ASR,Issued,
M2Y,,Withdrawn,
M2Z,,Available,
M3A,G4TDX,Issued,
M3B,,Available,
M3C,G4GFI,Issued,
M3D,G3XTT,Issued,
M3E,G4CWH,Issued,
M3F,G3WZD,Issued,
M3G,,Available,
M3H,,Available,
M3I,GM5TDX,Issued,
M3J,,Available,
M3K,,Available,
M3L,M0LKX,Issued,
M3M,,Withdrawn,
M3N,,Withdrawn,
M3O,M0SDB,Issued,
M3P,G3PIA,Issued,
M3Q,,Available,
M3R,G3RTU,Issued,
M3S,,Withdrawn,
M3T,MM0LCG,Issued,
M3U,,Available,
M3V,G0ORY,Issued,
M3W,G3MHZ,Issued,
M3X,M0IHT,Issued,
M3Y,,Available,
M3Z,,Available,
M4A,G6UW,Issued,
M4B,,Available,
M4C,G0FCT,Issued,
M4D,GM4ATA,Issued,
M4E,M0AGP,Issued,
M4F,M0TTQ,Issued,
M4G,G4BFG,Issued,
M4H,,Available,
M4I,GI4SJQ,Issued,
M4J,G0DVJ,Issued,
M4K,GD0EMG,Issued,
M4L,,Available,
M4M,M0PNN,Issued,
M4N,G4IZZ,Issued,
M4O,,Available,
M4P,G0SKW,Issued,
M4Q,,Available,
M4R,GD4XUM,Issued,
M4S,,Available,
M4T,M0BEW,Issued,
M4U,G0RGH,Issued,
M4V,,Available,
M4W,G8SRC,Issued,
M4X,G3SZU,Issued,
M4Y,M5ESE,Issued,
M4Z,M0HDO,Issued,
M5A,G0AAA,Issued,
M5B,M0ZIP,Issued,
M5C,G3CO,Issued,
M5D,G4WQI,Issued,
M5E,GU4YOX,Issued,
M5F,,Available,
M5G,M0ROA,Issued,
M5H,,Available,
M5I,GI0RQK,Issued,
M5J,,Available,
M5K,,Withdrawn,
M5L,M5LMG,Issued,
M5M,G4BRK,Issued,
M5N,G0GJV,Issued,
M5O,,Withdrawn,
M5P,M5BIR,Issued,
M5Q,,Available,
M5R,,Withdrawn,
M5S,G4IRN,Issued,
M5T,,Withdrawn,
M5U,,Available,
M5V,,Available,
M5W,G6EMA,Issued,
M5X,G3RLE,Issued,
M5Y,G3UES,Issued,
M5Z,M0CFW,Issued,
M6A,,Withdrawn,
M6B,,Available,
M6C,M0HFC,Issued,
M6D,,Available,
M6E,,Available,
M6F,,Available,
M6G,,Available,
M6H,,Available,
M6I,,Available,
M6J,,Available,
M6K,,Available,
M6L,,Available,
M6M,GW4BVJ,Issued,
M6N,M0NPK,Issued,
M6O,G3WGN,Issued,
M6P,,Available,
M6Q,,Available,
M6R,M0KUM,Issued,
M6S,,Available,
M6T,G4MRS,Issued,
M6U,,Available,
M6V,,Available,
M6W,G3WW,Issued,
M6X,,Available,
M6Y,,Available,
M6Z,,Available,
M7A,,Withdrawn,
M7B,,Available,
M7C,M5RIC,Issued,
M7D,,Available,
M7E,,Available,
M7F,,Available,
M7G,,Available,
M7H,,Available,
M7I,,Available,
M7J,,Available,
M7K,M0SDV,Issued,
M7L,,Available,
M7M,M0SQC,Issued,
M7N,G3RWF,Issued,
M7O,,Withdrawn,
M7P,,Available,
M7Q,G4PIQ,Issued,
M7R,G0TPH,Issued,
M7S,,Available,
M7T,G3YYD,Issued,
M7U,,Available,
M7V,M0VAA,Issued,
M7W,G3TBK,Issued,
M7X,G0TSM,Issued,
M7Y,,Available,
M7Z,G4BWP,Issued,
M8A,M0HDF,Issued,
M8B,,Available,
M8C,G3RCV,Issued,
M8D,,Available,
M8E,,Available,
M8F,,Available,
M8G,,Available,
M8H,,Available,
M8I,,Available,
M8J,,Available,
M8K,M0HMO,Issued,
M8L,G8LNR,Issued,
M8M,G0JJG,Issued,
M8N,,Available,
M8O,,Available,
M8P,MW0OMB,Issued,
M8Q,,Available,
M8R,GW4SHF,Issued,
M8S,,Available,
M8T,MM0CWJ,Issued,
M8U,,Available,
M8V,,Available,
M8W,,Available,
M8X,,Available,
M8Y,,Available,
M8Z,GM7VSB,Issued,
M9A,G3ZVW,Issued,
M9B,G5LKW,Issued,
M9C,G0TKZ,Issued,
M9D,,Available,
M9E,,Available,
M9F,,Available,
M9G,,Available,
M9H,,Available,
M9I,GM0OPS,Issued,
M9J,,Available,
M9K,,Withdrawn,
M9L,,Available,
M9M,G4BEE,Issued,
M9N,G7WHI,Issued,
M9O,,Available,
M9P,,Available,
M9Q,,Available,
M9R,,Available,
M9S,,Available,
M9T,M0MCG,Issued,
M9U,,Available,
M9V,,Available,
M9W,GW0KRL,Issued,
M9X,,Withdrawn,
M9Y,,Available,
M9Z,,Available,
