Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,6,FSW,M6FSW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FSY,M6FSY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FSZ,M6FSZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTA,M6FTA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTB,M6FTB,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTC,M6FTC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTE,M6FTE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTI,M6FTI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTQ,M6FTQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTR,M6FTR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTT,M6FTT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FTU,M6FTU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUD,M6FUD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUE,M6FUE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUF,M6FUF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUG,M6FUG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUH,M6FUH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUI,M6FUI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUJ,M6FUJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUL,M6FUL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUM,M6FUM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUP,M6FUP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUQ,M6FUQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUT,M6FUT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUV,M6FUV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUW,M6FUW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FUY,M6FUY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVA,M6FVA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVB,M6FVB,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVC,M6FVC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVD,M6FVD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVE,M6FVE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVF,M6FVF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVG,M6FVG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVH,M6FVH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVI,M6FVI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVJ,M6FVJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVK,M6FVK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVL,M6FVL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVM,M6FVM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVN,M6FVN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVO,M6FVO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVP,M6FVP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVQ,M6FVQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVR,M6FVR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVT,M6FVT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVU,M6FVU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVV,M6FVV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVW,M6FVW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVX,M6FVX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FVZ,M6FVZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWB,M6FWB,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWC,M6FWC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWD,M6FWD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWG,M6FWG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWH,M6FWH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWI,M6FWI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWJ,M6FWJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWL,M6FWL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWM,M6FWM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWN,M6FWN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWO,M6FWO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWP,M6FWP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWQ,M6FWQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWT,M6FWT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWU,M6FWU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWV,M6FWV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWW,M6FWW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWX,M6FWX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FWZ,M6FWZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXA,M6FXA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXC,M6FXC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXD,M6FXD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXE,M6FXE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXG,M6FXG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXH,M6FXH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXI,M6FXI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXJ,M6FXJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXK,M6FXK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXL,M6FXL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXM,M6FXM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXN,M6FXN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXO,M6FXO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXP,M6FXP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXQ,M6FXQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXS,M6FXS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXU,M6FXU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXV,M6FXV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXW,M6FXW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXX,M6FXX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FXZ,M6FXZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYA,M6FYA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYC,M6FYC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYD,M6FYD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYE,M6FYE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYF,M6FYF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYG,M6FYG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYH,M6FYH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYJ,M6FYJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYK,M6FYK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYM,M6FYM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYN,M6FYN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYO,M6FYO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYP,M6FYP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYQ,M6FYQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYR,M6FYR,Call Sign,Amateur Foundation Radio Licence,Available,N
