callsign,product,status,type,created_date,last_modified_date,licence_version_last_modified_date,licence_version_original_start_date
20FEV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-01-23 15:51,2024-03-05 09:35,,
20FEZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-01-24 11:40,2024-05-01 18:12,,
20FFB,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2019-01-30 17:53,2024-02-25 00:00,,
20FFD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-01-31 10:18,2024-04-22 18:21,,
20FFI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-02 11:32,2024-04-22 18:24,,
20FFJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-18 21:54,2024-04-23 18:15,,
20FFK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-19 18:44,2024-04-23 18:16,,
20FFN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-21 21:20,2024-04-23 18:23,,
20FFO,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2019-02-21 21:50,2023-11-24 00:00,,
20FFU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-22 00:23,2024-04-23 18:27,,
20FFV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-27 17:21,2024-04-23 18:38,,
20FFZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-02-28 16:09,2024-04-24 18:05,,
20FHO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-14 18:14,2024-04-27 18:04,,
20FHP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-14 18:17,2024-04-27 18:06,,
20FHQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-14 22:42,2024-06-19 02:47,,
20FHV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-16 13:22,2024-06-10 03:53,,
20FHW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-18 07:56,2024-06-18 04:26,,
20FHX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-18 12:12,2024-04-27 18:14,,
20FHY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-19 11:24,2024-04-27 18:16,,
20FHZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-19 15:04,2024-08-12 14:15,,
20FID,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-28 17:54,2024-04-27 18:29,,
20FIH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-29 12:31,2024-06-26 03:56,,
20FII,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-29 16:05,2024-04-27 18:31,,
20FIK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-29 16:09,2024-06-22 04:32,,
20FIM,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2019-04-29 16:25,2019-11-26 00:00,,
20FIO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-29 17:26,2024-04-27 18:29,,
20FIP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-29 21:19,2024-06-27 03:09,,
20FIU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-04-29 23:29,2024-03-26 07:43,,
20FIV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-01 22:06,2024-06-15 03:35,,
20FIW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-02 12:30,2024-04-28 18:03,,
20FIY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-03 09:27,2024-04-28 18:06,,
20FJB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-10 09:59,2024-04-28 18:21,,
20FJC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-10 17:03,2024-04-28 18:20,,
20FJE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-11 09:42,2024-06-20 02:37,,
20FJF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-11 10:54,2024-06-28 03:03,,
20FJG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-14 15:32,2024-04-28 18:28,,
20FJH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-16 09:25,2024-06-02 02:47,,
20FJI,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2019-05-16 12:12,2025-02-21 00:00,,
20FJJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-16 14:06,2024-06-21 04:06,,
20FJK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-19 18:16,2024-04-28 18:37,,
20FJN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-20 16:50,2024-04-29 18:02,,
20FJO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-05-22 07:37,2024-04-29 18:05,,
