callsign,status,licence_class,suffix
M0IBP,Available,Amateur Full Radio Licence,IBP
M0IBQ,Available,Amateur Full Radio Licence,IBQ
M0IBR,Available,Amateur Full Radio Licence,IBR
M0IBS,Available,Amateur Full Radio Licence,IBS
M0IBT,Available,Amateur Full Radio Licence,IBT
M0IBU,Available,Amateur Full Radio Licence,IBU
M0IBV,Available,Amateur Full Radio Licence,IBV
M0IBW,Available,Amateur Full Radio Licence,IBW
M0IBX,Available,Amateur Full Radio Licence,IBX
M0IBY,Available,Amateur Full Radio Licence,IBY
M0ICF,Available,Amateur Full Radio Licence,ICF
M0ICG,Available,Amateur Full Radio Licence,ICG
M0ICH,Available,Amateur Full Radio Licence,ICH
M0ICI,Available,Amateur Full Radio Licence,ICI
M0ICL,Available,Amateur Full Radio Licence,ICL
M0ICN,Available,Amateur Full Radio Licence,ICN
M0ICV,Available,Amateur Full Radio Licence,ICV
M0ICX,Available,Amateur Full Radio Licence,ICX
M0ICZ,Available,Amateur Full Radio Licence,ICZ
M0IDA,Available,Amateur Full Radio Licence,IDA
M0IDC,Available,Amateur Full Radio Licence,IDC
M0IDE,Available,Amateur Full Radio Licence,IDE
M0IDF,Available,Amateur Full Radio Licence,IDF
M0IDH,Available,Amateur Full Radio Licence,IDH
M0IDJ,Available,Amateur Full Radio Licence,IDJ
M0IDK,Available,Amateur Full Radio Licence,IDK
M0IDN,Available,Amateur Full Radio Licence,IDN
M0IDO,Available,Amateur Full Radio Licence,IDO
M0IDP,Available,Amateur Full Radio Licence,IDP
M0IDQ,Available,Amateur Full Radio Licence,IDQ
M0IDS,Available,Amateur Full Radio Licence,IDS
M0IDV,Available,Amateur Full Radio Licence,IDV
M0IDW,Available,Amateur Full Radio Licence,IDW
M0IDY,Available,Amateur Full Radio Licence,IDY
M0IDZ,Available,Amateur Full Radio Licence,IDZ
M0IEA,Available,Amateur Full Radio Licence,IEA
M0IEB,Available,Amateur Full Radio Licence,IEB
M0IEC,Available,Amateur Full Radio Licence,IEC
M0IEF,Available,Amateur Full Radio Licence,IEF
M0IEG,Available,Amateur Full Radio Licence,IEG
M0IEH,Available,Amateur Full Radio Licence,IEH
M0IEK,Available,Amateur Full Radio Licence,IEK
M0IEL,Available,Amateur Full Radio Licence,IEL
M0IEM,Available,Amateur Full Radio Licence,IEM
M0IEP,Available,Amateur Full Radio Licence,IEP
M0IEQ,Available,Amateur Full Radio Licence,IEQ
M0IER,Available,Amateur Full Radio Licence,IER
M0IES,Available,Amateur Full Radio Licence,IES
M0IEU,Available,Amateur Full Radio Licence,IEU
M0IEV,Available,Amateur Full Radio Licence,IEV
M0IEW,Available,Amateur Full Radio Licence,IEW
M0IEX,Available,Amateur Full Radio Licence,IEX
M0IEY,Available,Amateur Full Radio Licence,IEY
M0IEZ,Available,Amateur Full Radio Licence,IEZ
M0IFA,Available,Amateur Full Radio Licence,IFA
M0IFB,Available,Amateur Full Radio Licence,IFB
M0IFC,Available,Amateur Full Radio Licence,IFC
M0IFD,Available,Amateur Full Radio Licence,IFD
M0IFE,Available,Amateur Full Radio Licence,IFE
M0IFG,Available,Amateur Full Radio Licence,IFG
M0IFI,Available,Amateur Full Radio Licence,IFI
M0IFJ,Available,Amateur Full Radio Licence,IFJ
M0IFK,Available,Amateur Full Radio Licence,IFK
M0IFM,Available,Amateur Full Radio Licence,IFM
M0IFN,Available,Amateur Full Radio Licence,IFN
M0IFO,Available,Amateur Full Radio Licence,IFO
M0IFP,Available,Amateur Full Radio Licence,IFP
M0IFQ,Available,Amateur Full Radio Licence,IFQ
M0IFS,Available,Amateur Full Radio Licence,IFS
M0IFT,Available,Amateur Full Radio Licence,IFT
M0IFU,Available,Amateur Full Radio Licence,IFU
M0IFV,Available,Amateur Full Radio Licence,IFV
M0IFW,Available,Amateur Full Radio Licence,IFW
M0IFX,Available,Amateur Full Radio Licence,IFX
M0IFY,Available,Amateur Full Radio Licence,IFY
M0IFZ,Available,Amateur Full Radio Licence,IFZ
M0IGA,Available,Amateur Full Radio Licence,IGA
M0IGC,Available,Amateur Full Radio Licence,IGC
M0IGE,Available,Amateur Full Radio Licence,IGE
M0IGF,Available,Amateur Full Radio Licence,IGF
M0IGH,Available,Amateur Full Radio Licence,IGH
M0IGI,Available,Amateur Full Radio Licence,IGI
M0IGJ,Available,Amateur Full Radio Licence,IGJ
M0IGK,Available,Amateur Full Radio Licence,IGK
M0IGL,Available,Amateur Full Radio Licence,IGL
M0IGM,Available,Amateur Full Radio Licence,IGM
M0IGN,Available,Amateur Full Radio Licence,IGN
M0IGO,Available,Amateur Full Radio Licence,IGO
M0IGP,Available,Amateur Full Radio Licence,IGP
M0IGQ,Available,Amateur Full Radio Licence,IGQ
M0IGT,Available,Amateur Full Radio Licence,IGT
M0IGU,Available,Amateur Full Radio Licence,IGU
M0IGV,Available,Amateur Full Radio Licence,IGV
M0IGW,Available,Amateur Full Radio Licence,IGW
M0IGX,Available,Amateur Full Radio Licence,IGX
M0IGZ,Available,Amateur Full Radio Licence,IGZ
M0IHA,Available,Amateur Full Radio Licence,IHA
M0IHB,Available,Amateur Full Radio Licence,IHB
M0IHC,Available,Amateur Full Radio Licence,IHC
M0IHE,Available,Amateur Full Radio Licence,IHE
M0IHF,Available,Amateur Full Radio Licence,IHF
M0IHG,Available,Amateur Full Radio Licence,IHG
M0IHH,Available,Amateur Full Radio Licence,IHH
M0IHI,Available,Amateur Full Radio Licence,IHI
M0IHJ,Available,Amateur Full Radio Licence,IHJ
M0IHK,Available,Amateur Full Radio Licence,IHK
M0IHN,Available,Amateur Full Radio Licence,IHN
M0IHP,Available,Amateur Full Radio Licence,IHP
M0IHQ,Available,Amateur Full Radio Licence,IHQ
M0IHR,Available,Amateur Full Radio Licence,IHR
M0IHS,Available,Amateur Full Radio Licence,IHS
M0IHT,Available,Amateur Full Radio Licence,IHT
M0IHU,Available,Amateur Full Radio Licence,IHU
M0IHV,Available,Amateur Full Radio Licence,IHV
M0IHW,Available,Amateur Full Radio Licence,IHW
M0IHX,Available,Amateur Full Radio Licence,IHX
M0IHY,Available,Amateur Full Radio Licence,IHY
M0IIA,Available,Amateur Full Radio Licence,IIA
M0IIB,Available,Amateur Full Radio Licence,IIB
M0IID,Available,Amateur Full Radio Licence,IID
M0IIF,Available,Amateur Full Radio Licence,IIF
M0IIH,Available,Amateur Full Radio Licence,IIH
M0IIJ,Available,Amateur Full Radio Licence,IIJ
M0IIK,Available,Amateur Full Radio Licence,IIK
M0IIL,Available,Amateur Full Radio Licence,IIL
M0IIN,Available,Amateur Full Radio Licence,IIN
M0IIO,Available,Amateur Full Radio Licence,IIO
M0IIP,Available,Amateur Full Radio Licence,IIP
M0IIQ,Available,Amateur Full Radio Licence,IIQ
M0IIS,Available,Amateur Full Radio Licence,IIS
M0IIT,Available,Amateur Full Radio Licence,IIT
M0IIU,Available,Amateur Full Radio Licence,IIU
M0IIV,Available,Amateur Full Radio Licence,IIV
M0IIW,Available,Amateur Full Radio Licence,IIW
M0IIX,Available,Amateur Full Radio Licence,IIX
M0IIY,Available,Amateur Full Radio Licence,IIY
M0IIZ,Available,Amateur Full Radio Licence,IIZ
M0IJA,Available,Amateur Full Radio Licence,IJA
M0IJB,Available,Amateur Full Radio Licence,IJB
M0IJC,Available,Amateur Full Radio Licence,IJC
M0IJD,Available,Amateur Full Radio Licence,IJD
M0IJE,Available,Amateur Full Radio Licence,IJE
M0IJF,Available,Amateur Full Radio Licence,IJF
M0IJG,Available,Amateur Full Radio Licence,IJG
M0IJH,Available,Amateur Full Radio Licence,IJH
M0IJI,Available,Amateur Full Radio Licence,IJI
M0IJJ,Available,Amateur Full Radio Licence,IJJ
M0IJK,Available,Amateur Full Radio Licence,IJK
M0IJL,Available,Amateur Full Radio Licence,IJL
M0IJN,Available,Amateur Full Radio Licence,IJN
M0IJO,Available,Amateur Full Radio Licence,IJO
M0IJP,Available,Amateur Full Radio Licence,IJP
M0IJQ,Available,Amateur Full Radio Licence,IJQ
M0IJR,Available,Amateur Full Radio Licence,IJR
M0IJT,Available,Amateur Full Radio Licence,IJT
M0IJU,Available,Amateur Full Radio Licence,IJU
M0IJV,Available,Amateur Full Radio Licence,IJV
M0IJW,Available,Amateur Full Radio Licence,IJW
M0IJX,Available,Amateur Full Radio Licence,IJX
M0IJY,Available,Amateur Full Radio Licence,IJY
M0IKA,Available,Amateur Full Radio Licence,IKA
M0IKC,Available,Amateur Full Radio Licence,IKC
M0IKG,Available,Amateur Full Radio Licence,IKG
M0IKH,Available,Amateur Full Radio Licence,IKH
M0IKI,Available,Amateur Full Radio Licence,IKI
M0IKJ,Available,Amateur Full Radio Licence,IKJ
M0IKN,Available,Amateur Full Radio Licence,IKN
M0IKO,Available,Amateur Full Radio Licence,IKO
M0IKP,Available,Amateur Full Radio Licence,IKP
M0IKR,Available,Amateur Full Radio Licence,IKR
M0IKS,Available,Amateur Full Radio Licence,IKS
M0IKT,Available,Amateur Full Radio Licence,IKT
M0IKU,Available,Amateur Full Radio Licence,IKU
M0IKV,Available,Amateur Full Radio Licence,IKV
M0IKX,Available,Amateur Full Radio Licence,IKX
M0IKY,Available,Amateur Full Radio Licence,IKY
M0IKZ,Available,Amateur Full Radio Licence,IKZ
M0ILA,Available,Amateur Full Radio Licence,ILA
M0ILC,Available,Amateur Full Radio Licence,ILC
M0ILD,Available,Amateur Full Radio Licence,ILD
M0ILE,Available,Amateur Full Radio Licence,ILE
M0ILF,Available,Amateur Full Radio Licence,ILF
M0ILG,Available,Amateur Full Radio Licence,ILG
M0ILH,Available,Amateur Full Radio Licence,ILH
M0ILI,Available,Amateur Full Radio Licence,ILI
M0ILK,Available,Amateur Full Radio Licence,ILK
M0ILL,Available,Amateur Full Radio Licence,ILL
M0ILO,Available,Amateur Full Radio Licence,ILO
M0ILP,Available,Amateur Full Radio Licence,ILP
M0ILQ,Available,Amateur Full Radio Licence,ILQ
M0ILR,Available,Amateur Full Radio Licence,ILR
M0ILU,Available,Amateur Full Radio Licence,ILU
M0ILV,Available,Amateur Full Radio Licence,ILV
M0ILW,Available,Amateur Full Radio Licence,ILW
M0ILX,Available,Amateur Full Radio Licence,ILX
M0ILY,Available,Amateur Full Radio Licence,ILY
M0ILZ,Available,Amateur Full Radio Licence,ILZ
M0IMB,Available,Amateur Full Radio Licence,IMB
M0IMF,Available,Amateur Full Radio Licence,IMF
M0IMG,Available,Amateur Full Radio Licence,IMG
M0IMH,Available,Amateur Full Radio Licence,IMH
M0IMK,Available,Amateur Full Radio Licence,IMK
M0IMN,Available,Amateur Full Radio Licence,IMN
M0IMO,Available,Amateur Full Radio Licence,IMO
M0IMQ,Available,Amateur Full Radio Licence,IMQ
M0IMS,Available,Amateur Full Radio Licence,IMS
M0IMU,Available,Amateur Full Radio Licence,IMU
M0IMV,Available,Amateur Full Radio Licence,IMV
M0IMX,Available,Amateur Full Radio Licence,IMX
M0IMY,Available,Amateur Full Radio Licence,IMY
M0IMZ,Available,Amateur Full Radio Licence,IMZ
M0INA,Available,Amateur Full Radio Licence,INA
M0INC,Available,Amateur Full Radio Licence,INC
M0INE,Available,Amateur Full Radio Licence,INE
M0ING,Available,Amateur Full Radio Licence,ING
