Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,0,IDS,M0IDS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IDV,M0IDV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IDW,M0IDW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IDY,M0IDY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IDZ,M0IDZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEA,M0IEA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEB,M0IEB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEC,M0IEC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEF,M0IEF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEG,M0IEG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEH,M0IEH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEK,M0IEK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEL,M0IEL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEM,M0IEM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEP,M0IEP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEQ,M0IEQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IER,M0IER,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IES,M0IES,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEU,M0IEU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEV,M0IEV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEW,M0IEW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEX,M0IEX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEY,M0IEY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IEZ,M0IEZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFA,M0IFA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFB,M0IFB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFC,M0IFC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFD,M0IFD,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFE,M0IFE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFG,M0IFG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFI,M0IFI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFJ,M0IFJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFK,M0IFK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFM,M0IFM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFN,M0IFN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFO,M0IFO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFP,M0IFP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFQ,M0IFQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFS,M0IFS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFT,M0IFT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFU,M0IFU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFV,M0IFV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFW,M0IFW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFX,M0IFX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFY,M0IFY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IFZ,M0IFZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGA,M0IGA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGC,M0IGC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGE,M0IGE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGF,M0IGF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGH,M0IGH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGI,M0IGI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGJ,M0IGJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGK,M0IGK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGL,M0IGL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGM,M0IGM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGN,M0IGN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGO,M0IGO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGP,M0IGP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGQ,M0IGQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGT,M0IGT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGU,M0IGU,Call Sign,Amateur Full Radio Licence,Available,N
