callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20AKR,parsed,2#0,,AKR,2#0AKR,,Intermediate,missing-rsl
20AKS,parsed,2#0,,AKS,2#0AKS,,Intermediate,missing-rsl
20AKT,parsed,2#0,,AKT,2#0AKT,,Intermediate,missing-rsl
20AKU,parsed,2#0,,AKU,2#0AKU,,Intermediate,missing-rsl
20AKV,parsed,2#0,,AKV,2#0AKV,,Intermediate,missing-rsl
20AKX,parsed,2#0,,AKX,2#0AKX,,Intermediate,missing-rsl
20AKY,parsed,2#0,,AKY,2#0AKY,,Intermediate,missing-rsl
20ALA,parsed,2#0,,ALA,2#0ALA,,Intermediate,missing-rsl
20ALB,parsed,2#0,,ALB,2#0ALB,,Intermediate,missing-rsl
20ALC,parsed,2#0,,ALC,2#0ALC,,Intermediate,missing-rsl
20ALD,parsed,2#0,,ALD,2#0ALD,,Intermediate,missing-rsl
20ALE,parsed,2#0,,ALE,2#0ALE,,Intermediate,missing-rsl
20ALF,parsed,2#0,,ALF,2#0ALF,,Intermediate,missing-rsl
20ALH,parsed,2#0,,ALH,2#0ALH,,Intermediate,missing-rsl
20ALI,parsed,2#0,,ALI,2#0ALI,,Intermediate,missing-rsl
20ALJ,parsed,2#0,,ALJ,2#0ALJ,,Intermediate,missing-rsl
20ALK,parsed,2#0,,ALK,2#0ALK,,Intermediate,missing-rsl
20ALL,parsed,2#0,,ALL,2#0ALL,,Intermediate,missing-rsl
20ALM,parsed,2#0,,ALM,2#0ALM,,Intermediate,missing-rsl
20ALS,parsed,2#0,,ALS,2#0ALS,,Intermediate,missing-rsl
20ALW,parsed,2#0,,ALW,2#0ALW,,Intermediate,missing-rsl
20ALZ,parsed,2#0,,ALZ,2#0ALZ,,Intermediate,missing-rsl
20AMB,parsed,2#0,,AMB,2#0AMB,,Intermediate,missing-rsl
20AMS,parsed,2#0,,AMS,2#0AMS,,Intermediate,missing-rsl
20AMT,parsed,2#0,,AMT,2#0AMT,,Intermediate,missing-rsl
20AMW,parsed,2#0,,AMW,2#0AMW,,Intermediate,missing-rsl
20ANE,parsed,2#0,,ANE,2#0ANE,,Intermediate,missing-rsl
20ANU,parsed,2#0,,ANU,2#0ANU,,Intermediate,missing-rsl
