Value,Status,Type,Reserved to Date,Original Start Date,Licence Type
M6ELR,Allocated,Call Sign - Amateur,,2011-07-14,Amateur Foundation Radio Licence
M7TEK,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6JBO,Allocated,Call Sign - Amateur,,2011-07-14,Amateur Foundation Radio Licence
M7LDF,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6PCD,Allocated,Call Sign - Amateur,,2011-11-27,Amateur Foundation Radio Licence
M7OHM,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6OVI,Allocated,Call Sign - Amateur,,2011-11-26,Amateur Foundation Radio Licence
M7LPD,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6KVJ,Allocated,Call Sign - Amateur,,2011-11-28,Amateur Foundation Radio Licence
M7ABW,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6MGX,Allocated,Call Sign - Amateur,,2011-11-28,Amateur Foundation Radio Licence
M7RSM,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6YWX,Allocated,Call Sign - Amateur,,2011-11-28,Amateur Foundation Radio Licence
20VWC,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Intermediate Radio Licence
M6GIN,Allocated,Call Sign - Amateur,,2011-11-28,Amateur Foundation Radio Licence
M7NCM,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6JBH,Allocated,Call Sign - Amateur,,2011-11-28,Amateur Foundation Radio Licence
M7NFG,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6CPG,Allocated,Call Sign - Amateur,,2011-11-28,Amateur Foundation Radio Licence
M7DFM,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6LSR,Allocated,Call Sign - Amateur,,2011-11-29,Amateur Foundation Radio Licence
M7OCB,Allocated,Call Sign - Amateur,,2020-08-21,Amateur Foundation Radio Licence
M6TJR,Allocated,Call Sign - Amateur,,2011-11-29,Amateur Foundation Radio Licence
M7XWT,Allocated,Call Sign - Amateur,,2020-08-07,Amateur Foundation Radio Licence
M3UBK,Allocated,Call Sign - Amateur,,2007-05-10,Amateur Foundation Radio Licence
M7NCB,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Foundation Radio Licence
M6GPR,Reserved,Call Sign - Amateur,,,
M0NLG,Allocated,Call Sign - Amateur,,2018-11-21,Amateur Full Radio Licence
M6BXU,Reserved,Call Sign - Amateur,,,
20JSX,Allocated,Call Sign - Amateur,,2021-01-12,Amateur Intermediate Radio Licence
M6SDS,Allocated,Call Sign - Amateur,,2011-11-29,Amateur Foundation Radio Licence
20HSJ,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Intermediate Radio Licence
M6BGS,Allocated,Call Sign - Amateur,,2011-11-30,Amateur Foundation Radio Licence
M7ABX,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M6FEB,Allocated,Call Sign - Amateur,,2011-11-30,Amateur Foundation Radio Licence
M7ONE,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M3UAY,Allocated,Call Sign - Amateur,,2007-05-10,Amateur Foundation Radio Licence
M7SKA,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M6CSD,Reserved,Call Sign - Amateur,,,
M7DMR,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M6BGV,Allocated,Call Sign - Amateur,,2011-11-30,Amateur Foundation Radio Licence
20WEH,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Intermediate Radio Licence
M3EAC,Allocated,Call Sign - Amateur,,2007-05-10,Amateur Foundation Radio Licence
GM8ETJ,Allocated,Call Sign - Amateur,,,Amateur Full Radio Licence
M6BGX,Allocated,Call Sign - Amateur,,2011-11-30,Amateur Foundation Radio Licence
M7SDR,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M6BGY,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
G4WWD,Allocated,Call Sign - Amateur,,2019-10-17,Amateur Full Radio Licence
M6BGU,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7DAR,Allocated,Call Sign - Amateur,,2019-10-17,Amateur Foundation Radio Licence
M6PLL,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7ABZ,Reserved,Call Sign - Amateur,,,
M6NAL,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7MDR,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M6PMT,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
G4BHR,Reserved,Call Sign - Amateur,2022-01-26,,
M6MBZ,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7ABY,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
