Value,Status,Type,Reserved to Date,Original Start Date,Licence Type
G4NIX,Allocated,Call Sign - Amateur,,1983-11-23,Amateur Full Radio Licence
G6XCE,Reserved,Call Sign - Amateur,,,
G4NIY,Allocated,Call Sign - Amateur,,1983-11-23,Amateur Full Radio Licence
G6XCS,Reserved,Call Sign - Amateur,,,
G4UNM,Allocated,Call Sign - Amateur,,1983-08-23,Amateur Full Radio Licence
G6XCX,Reserved,Call Sign - Amateur,,,
G4UNR,Allocated,Call Sign - Amateur,,1983-08-31,Amateur Full Radio Licence
G0OUY,Reserved,Call Sign - Amateur,,,
G4UNS,Allocated,Call Sign - Amateur,,1983-08-31,Amateur Full Radio Licence
G0PHJ,Reserved,Call Sign - Amateur,,,
G4UNT,Allocated,Call Sign - Amateur,,1983-09-01,Amateur Full Radio Licence
G0OVB,Reserved,Call Sign - Amateur,,,
G4UNU,Allocated,Call Sign - Amateur,,1983-09-01,Amateur Full Radio Licence
G0OZT,Reserved,Call Sign - Amateur,,,
G4UNW,Allocated,Call Sign - Amateur,,1987-11-10,Amateur Full Radio Licence
G0OVF,Reserved,Call Sign - Amateur,,,
G4UOD,Allocated,Call Sign - Amateur,,1983-09-05,Amateur Full Radio Licence
G0OVG,Reserved,Call Sign - Amateur,,,
G0JJP,Allocated,Call Sign - Amateur,,1988-04-07,Amateur Full Radio Licence
G0OVH,Reserved,Call Sign - Amateur,,,
G4UOI,Allocated,Call Sign - Amateur,,1983-09-06,Amateur Full Radio Licence
G0OVJ,Reserved,Call Sign - Amateur,,,
G4UON,Allocated,Call Sign - Amateur,,1983-09-08,Amateur Full Radio Licence
G0OVL,Reserved,Call Sign - Amateur,,,
G4UOQ,Allocated,Call Sign - Amateur,,1983-09-12,Amateur Full Radio Licence
G0OVN,Reserved,Call Sign - Amateur,,,
G4UOS,Allocated,Call Sign - Amateur,,1983-09-12,Amateur Full Radio Licence
G0OVO,Reserved,Call Sign - Amateur,,,
G4UOW,Allocated,Call Sign - Amateur,,1983-09-14,Amateur Full Radio Licence
G0OVP,Reserved,Call Sign - Amateur,,,
G4HLF,Allocated,Call Sign - Amateur,,1978-09-07,Amateur Full Radio Licence
G0PHK,Reserved,Call Sign - Amateur,,,
G4HLI,Allocated,Call Sign - Amateur,,1978-09-08,Amateur Full Radio Licence
G0OVR,Reserved,Call Sign - Amateur,,,
G4HLN,Allocated,Call Sign - Amateur,,1978-09-11,Amateur Full Radio Licence
G0OVS,Reserved,Call Sign - Amateur,,,
G4HLO,Allocated,Call Sign - Amateur,,1978-09-11,Amateur Full Radio Licence
G1EMZ,Reserved,Call Sign - Amateur,,,
G4HLT,Allocated,Call Sign - Amateur,,1978-09-12,Amateur Full Radio Licence
G1ENC,Reserved,Call Sign - Amateur,,,
G4TQS,Allocated,Call Sign - Amateur,,1983-05-23,Amateur Full Radio Licence
G1ENF,Reserved,Call Sign - Amateur,,,
G4TQT,Allocated,Call Sign - Amateur,,1983-05-23,Amateur Full Radio Licence
G1ENS,Reserved,Call Sign - Amateur,,,
G1BBH,Allocated,Call Sign - Amateur,,1983-09-15,Amateur Full Radio Licence
G1ENT,Reserved,Call Sign - Amateur,,,
G4TQV,Reserved,Call Sign - Amateur,,,
G0BVY,Reserved,Call Sign - Amateur,,,
G4TRA,Allocated,Call Sign - Amateur,,1983-05-24,Amateur Full Radio Licence
G1EOC,Reserved,Call Sign - Amateur,,,
G4TRD,Allocated,Call Sign - Amateur,,1983-05-24,Amateur Full Radio Licence
G7LRP,Reserved,Call Sign - Amateur,,,
G4TRE,Allocated,Call Sign - Amateur,,1983-05-24,Amateur Full Radio Licence
G7LRT,Reserved,Call Sign - Amateur,,,
G4TRF,Allocated,Call Sign - Amateur,,1983-05-24,Amateur Full Radio Licence
G1EOT,Reserved,Call Sign - Amateur,,,
G4TRG,Allocated,Call Sign - Amateur,,1983-05-25,Amateur Full Radio Licence
G1EOV,Reserved,Call Sign - Amateur,,,
G4TRI,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G1EOY,Reserved,Call Sign - Amateur,,,
G4TRM,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G1EPA,Reserved,Call Sign - Amateur,,,
G4TRS,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G1EPI,Reserved,Call Sign - Amateur,,,
G1BBI,Allocated,Call Sign - Amateur,,1984-09-15,Amateur Full Radio Licence
G1EPJ,Reserved,Call Sign - Amateur,,,
G4TRT,Reserved,Call Sign - Amateur,,,
G1EPT,Reserved,Call Sign - Amateur,,,
G4TRV,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G1AGQ,Reserved,Call Sign - Amateur,,,
G4TRW,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G1EPV,Reserved,Call Sign - Amateur,,,
G4TRZ,Allocated,Call Sign - Amateur,,1933-05-26,Amateur Full Radio Licence
G1EPW,Reserved,Call Sign - Amateur,,,
G4TSA,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G1EPZ,Reserved,Call Sign - Amateur,,,
G4TSB,Allocated,Call Sign - Amateur,,1983-05-26,Amateur Full Radio Licence
G7LRU,Reserved,Call Sign - Amateur,,,
G4TSD,Allocated,Call Sign - Amateur,,1983-05-31,Amateur Full Radio Licence
G1EQB,Reserved,Call Sign - Amateur,,,
G4TSF,Allocated,Call Sign - Amateur,,1983-05-31,Amateur Full Radio Licence
G1EQD,Reserved,Call Sign - Amateur,,,
G4TSK,Allocated,Call Sign - Amateur,,1983-06-01,Amateur Full Radio Licence
G1EQI,Reserved,Call Sign - Amateur,,,
G1BBT,Allocated,Call Sign - Amateur,,1983-09-15,Amateur Full Radio Licence
G1EQN,Reserved,Call Sign - Amateur,,,
G4TSQ,Allocated,Call Sign - Amateur,,1983-06-01,Amateur Full Radio Licence
G1EQR,Reserved,Call Sign - Amateur,,,
G4TSR,Allocated,Call Sign - Amateur,,1983-06-01,Amateur Full Radio Licence
G1ERB,Reserved,Call Sign - Amateur,,,
G4TST,Allocated,Call Sign - Amateur,,1983-06-01,Amateur Full Radio Licence
G0BWF,Reserved,Call Sign - Amateur,,,
G4TSV,Allocated,Call Sign - Amateur,,1983-06-03,Amateur Full Radio Licence
G7JXN,Reserved,Call Sign - Amateur,,,
G4MYS,Allocated,Call Sign - Amateur,,1981-10-23,Amateur Full Radio Licence
G0CJL,Reserved,Call Sign - Amateur,,,
G4MYT,Allocated,Call Sign - Amateur,,1981-10-23,Amateur Full Radio Licence
G0CJN,Reserved,Call Sign - Amateur,,,
G4MYU,Allocated,Call Sign - Amateur,,1983-10-23,Amateur Full Radio Licence
G0CJS,Reserved,Call Sign - Amateur,,,
G4MYW,Allocated,Call Sign - Amateur,,1981-10-23,Amateur Full Radio Licence
G0CJT,Reserved,Call Sign - Amateur,,,
G4MYY,Allocated,Call Sign - Amateur,,1981-10-22,Amateur Full Radio Licence
G0CJW,Reserved,Call Sign - Amateur,,,
G4MYZ,Allocated,Call Sign - Amateur,,1981-10-23,Amateur Full Radio Licence
G0CKC,Reserved,Call Sign - Amateur,,,
G1BBY,Allocated,Call Sign - Amateur,,1983-09-16,Amateur Full Radio Licence
G3FSJ,Reserved,Call Sign - Amateur,,,
G4MZB,Allocated,Call Sign - Amateur,,1981-10-23,Amateur Full Radio Licence
G3FSN,Reserved,Call Sign - Amateur,,,
G3ENV,Allocated,Call Sign - Amateur,,1977-01-15,Amateur Full Radio Licence
G3FSQ,Reserved,Call Sign - Amateur,,,
G0BHP,Allocated,Call Sign - Amateur,,1985-04-17,Amateur Full Radio Licence
G3FTD,Reserved,Call Sign - Amateur,,,
G3EOB,Allocated,Call Sign - Amateur,,1981-10-23,Amateur Full Radio Licence
G3FTE,Reserved,Call Sign - Amateur,,,
G3EOO,Allocated,Call Sign - Amateur,,1949-11-15,Amateur Full Radio Licence
G3FTP,Reserved,Call Sign - Amateur,,,
G3EPO,Reserved,Call Sign - Amateur,,,
G3FTQ,Reserved,Call Sign - Amateur,,,
G3EQM,Allocated,Call Sign - Amateur,,1949-12-02,Amateur Full Radio Licence
G3FTR,Reserved,Call Sign - Amateur,,,
G3ESK,Allocated,Call Sign - Amateur,,1990-10-31,Amateur Full Radio Licence
G3FTU,Reserved,Call Sign - Amateur,,,
G3ESL,Reserved,Call Sign - Amateur,,,
G3FUH,Reserved,Call Sign - Amateur,,,
G3ESW,Reserved,Call Sign - Amateur,,,
G3FUI,Reserved,Call Sign - Amateur,,,
G3ESY,Allocated,Call Sign - Amateur,,1946-12-24,Amateur Full Radio Licence
G3FUR,Reserved,Call Sign - Amateur,,,
G3ETH,Reserved,Call Sign - Amateur,,,
G3FUT,Reserved,Call Sign - Amateur,,,
G3EUE,Allocated,Call Sign - Amateur,,1980-12-31,Amateur Full Radio Licence
G3FUU,Reserved,Call Sign - Amateur,,,
G3EUI,Reserved,Call Sign - Amateur,,,
G3FVB,Reserved,Call Sign - Amateur,,,
G3EUS,Reserved,Call Sign - Amateur,,,
G3FVC,Reserved,Call Sign - Amateur,,,
G3JKE,Allocated,Call Sign - Amateur,,1953-11-25,Amateur Full Radio Licence
G3FVK,Reserved,Call Sign - Amateur,,,
G3JKF,Allocated,Call Sign - Amateur,,1952-09-26,Amateur Full Radio Licence
G3FVN,Reserved,Call Sign - Amateur,,,
G0BHU,Allocated,Call Sign - Amateur,,1985-04-23,Amateur Full Radio Licence
G3FVV,Reserved,Call Sign - Amateur,,,
G3JKK,Reserved,Call Sign - Amateur,,,
G3FVW,Reserved,Call Sign - Amateur,,,
G3JKM,Allocated,Call Sign - Amateur,,1953-11-11,Amateur Full Radio Licence
G3FWE,Reserved,Call Sign - Amateur,,,
G3JKN,Reserved,Call Sign - Amateur,,,
G3FWJ,Reserved,Call Sign - Amateur,,,
G3GBD,Allocated,Call Sign - Amateur,,1983-03-20,Amateur Full Radio Licence
G3FWL,Reserved,Call Sign - Amateur,,,
G3GBG,Allocated,Call Sign - Amateur,,1977-11-21,Amateur Full Radio Licence
G3FWN,Reserved,Call Sign - Amateur,,,
G3GBN,Allocated,Call Sign - Amateur,,1977-11-07,Amateur Full Radio Licence
G3FXA,Reserved,Call Sign - Amateur,,,
G3GBS,Allocated,Call Sign - Amateur,,1949-11-29,Amateur Full Radio Licence
G3FXB,Reserved,Call Sign - Amateur,,,
G3GCE,Reserved,Call Sign - Amateur,,,
G3FXG,Reserved,Call Sign - Amateur,,,
G3GCW,Allocated,Call Sign - Amateur,,1982-06-23,Amateur Full Radio Licence
G3FXP,Reserved,Call Sign - Amateur,,,
G0BHX,Allocated,Call Sign - Amateur,,1985-04-23,Amateur Full Radio Licence
G3FYH,Reserved,Call Sign - Amateur,,,
G3GDB,Allocated,Call Sign - Amateur,,1983-04-08,Amateur Full Radio Licence
G3FYR,Reserved,Call Sign - Amateur,,,
G3GDH,Allocated,Call Sign - Amateur,,1977-09-30,Amateur Full Radio Licence
G3FZG,Reserved,Call Sign - Amateur,,,
G3GDU,Reserved,Call Sign - Amateur,,,
G3FZI,Reserved,Call Sign - Amateur,,,
G3GEA,Reserved,Call Sign - Amateur,,,
G3FZL,Reserved,Call Sign - Amateur,,,
G3GED,Reserved,Call Sign - Amateur,,,
G3FZS,Reserved,Call Sign - Amateur,,,
G3GEF,Allocated,Call Sign - Amateur,,1949-11-30,Amateur Full Radio Licence
G3FZX,Reserved,Call Sign - Amateur,,,
G3GEG,Allocated,Call Sign - Amateur,,1977-11-29,Amateur Full Radio Licence
G3GAD,Reserved,Call Sign - Amateur,,,
G3GEJ,Allocated,Call Sign - Amateur,,1977-11-30,Amateur Full Radio Licence
G1SAL,Reserved,Call Sign - Amateur,,,
G3GEV,Reserved,Call Sign - Amateur,,,
G3ETC,Reserved,Call Sign - Amateur,,,
G7KQA,Allocated,Call Sign - Amateur,,1991-08-01,Amateur Full Radio Licence
G1SAQ,Reserved,Call Sign - Amateur,,,
G3GEX,Allocated,Call Sign - Amateur,,1981-05-07,Amateur Full Radio Licence
G1SAV,Reserved,Call Sign - Amateur,,,
G3GFC,Reserved,Call Sign - Amateur,,,
G1GBN,Reserved,Call Sign - Amateur,,,
G3GGG,Allocated,Call Sign - Amateur,,1949-12-16,Amateur Full Radio Licence
G7LUZ,Reserved,Call Sign - Amateur,,,
G3GGH,Allocated,Call Sign - Amateur,,1977-02-25,Amateur Full Radio Licence
G1GBP,Reserved,Call Sign - Amateur,,,
G3GGI,Allocated,Call Sign - Amateur,,1957-12-02,Amateur Full Radio Licence
G0AQO,Reserved,Call Sign - Amateur,,,
G3GGN,Allocated,Call Sign - Amateur,,1985-05-10,Amateur Full Radio Licence
G0BUQ,Reserved,Call Sign - Amateur,,,
G3GGO,Reserved,Call Sign - Amateur,,,
G7LUW,Reserved,Call Sign - Amateur,,,
G3GGP,Reserved,Call Sign - Amateur,,,
G7LUX,Reserved,Call Sign - Amateur,,,
G3GGR,Allocated,Call Sign - Amateur,,1964-12-16,Amateur Full Radio Licence
G1GBY,Reserved,Call Sign - Amateur,2021-11-12,,
G0PFE,Allocated,Call Sign - Amateur,,1991-05-31,Amateur Full Radio Licence
G7LUY,Reserved,Call Sign - Amateur,,,
G3GGS,Allocated,Call Sign - Amateur,,1977-04-22,Amateur Full Radio Licence
G1GCH,Reserved,Call Sign - Amateur,,,
G3GGU,Allocated,Call Sign - Amateur,,1977-12-12,Amateur Full Radio Licence
G1GCI,Reserved,Call Sign - Amateur,,,
G3GGY,Reserved,Call Sign - Amateur,,,
G1GBG,Reserved,Call Sign - Amateur,,,
G3GHI,Reserved,Call Sign - Amateur,,,
G7LVA,Allocated,Call Sign - Amateur,,2019-10-16,Amateur Full Radio Licence
G3GHS,Reserved,Call Sign - Amateur,,,
G0EYY,Reserved,Call Sign - Amateur,,,
G3GIB,Allocated,Call Sign - Amateur,,1984-03-22,Amateur Full Radio Licence
G0RKA,Reserved,Call Sign - Amateur,,,
G3KEG,Allocated,Call Sign - Amateur,,1977-01-25,Amateur Full Radio Licence
G0BUR,Reserved,Call Sign - Amateur,,,
G3KEK,Allocated,Call Sign - Amateur,,1983-04-22,Amateur Full Radio Licence
G1GDI,Reserved,Call Sign - Amateur,,,
G3KEL,Allocated,Call Sign - Amateur,,1977-01-28,Amateur Full Radio Licence
G1GDQ,Reserved,Call Sign - Amateur,,,
G0PGX,Allocated,Call Sign - Amateur,,1991-06-12,Amateur Full Radio Licence
G1GDX,Reserved,Call Sign - Amateur,,,
G3KEQ,Allocated,Call Sign - Amateur,,1955-02-02,Amateur Full Radio Licence
G1GDY,Reserved,Call Sign - Amateur,,,
G3KEV,Allocated,Call Sign - Amateur,,1971-07-30,Amateur Full Radio Licence
G1GEA,Reserved,Call Sign - Amateur,,,
G3HIA,Reserved,Call Sign - Amateur,,,
G0RJY,Reserved,Call Sign - Amateur,,,
G3HIF,Allocated,Call Sign - Amateur,,1953-02-16,Amateur Full Radio Licence
G1GEF,Reserved,Call Sign - Amateur,,,
G3HIJ,Allocated,Call Sign - Amateur,,1989-10-27,Amateur Full Radio Licence
G0RMK,Reserved,Call Sign - Amateur,,,
G3HJA,Reserved,Call Sign - Amateur,,,
G7LVB,Reserved,Call Sign - Amateur,,,
G3HJF,Reserved,Call Sign - Amateur,,,
G0PJJ,Reserved,Call Sign - Amateur,,,
G3HJK,Reserved,Call Sign - Amateur,,,
G7LVC,Reserved,Call Sign - Amateur,,,
G0ITQ,Reserved,Call Sign - Amateur,,,
G1GEK,Reserved,Call Sign - Amateur,,,
G0PKH,Allocated,Call Sign - Amateur,,1991-07-10,Amateur Full Radio Licence
G1GEL,Reserved,Call Sign - Amateur,,,
G3HJP,Allocated,Call Sign - Amateur,,1983-03-13,Amateur Full Radio Licence
G1GEN,Reserved,Call Sign - Amateur,,,
G3HJS,Allocated,Call Sign - Amateur,,1977-03-15,Amateur Full Radio Licence
G7LVI,Reserved,Call Sign - Amateur,,,
G3HJY,Reserved,Call Sign - Amateur,,,
G7LVH,Reserved,Call Sign - Amateur,,,
G1DXM,Allocated,Call Sign - Amateur,,2013-09-16,Amateur Full Radio Licence
G1GEX,Reserved,Call Sign - Amateur,,,
G1SLP,Allocated,Call Sign - Amateur,,2013-09-16,Amateur Full Radio Licence
G1GFB,Reserved,Call Sign - Amateur,,,
G8GGP,Allocated,Call Sign - Amateur,,2007-07-04,Amateur Full Radio Licence
G7LVJ,Reserved,Call Sign - Amateur,,,
G1PAV,Allocated,Call Sign - Amateur,,2013-09-17,Amateur Full Radio Licence
G7LVK,Reserved,Call Sign - Amateur,,,
G7FDW,Allocated,Call Sign - Amateur,,2013-09-18,Amateur Full Radio Licence
G0PJL,Reserved,Call Sign - Amateur,,,
G0KLD,Allocated,Call Sign - Amateur,,2013-09-19,Amateur Full Radio Licence
G7LVL,Reserved,Call Sign - Amateur,,,
G1ZTM,Allocated,Call Sign - Amateur,,2013-09-22,Amateur Full Radio Licence
G7LVP,Reserved,Call Sign - Amateur,,,
G6USZ,Allocated,Call Sign - Amateur,,2013-09-22,Amateur Full Radio Licence
G2HGT,Reserved,Call Sign - Amateur,,,
M0HMG,Allocated,Call Sign - Amateur,,2013-09-22,Amateur Full Radio Licence
G2HHV,Reserved,Call Sign - Amateur,,,
G1BAF,Allocated,Call Sign - Amateur,,2007-07-04,Amateur Full Radio Licence
G2HIF,Reserved,Call Sign - Amateur,,,
G6UVE,Allocated,Call Sign - Amateur,,2007-07-04,Amateur Full Radio Licence
G2HJD,Reserved,Call Sign - Amateur,,,
G8CQQ,Allocated,Call Sign - Amateur,,2007-07-04,Amateur Full Radio Licence
G2HJV,Reserved,Call Sign - Amateur,,,
G4AFX,Allocated,Call Sign - Amateur,,2013-09-24,Amateur Full Radio Licence
G2HKT,Reserved,Call Sign - Amateur,,,
G8VOQ,Allocated,Call Sign - Amateur,,2007-07-05,Amateur Full Radio Licence
G2HKZ,Reserved,Call Sign - Amateur,,,
G1IGN,Allocated,Call Sign - Amateur,,2013-09-25,Amateur Full Radio Licence
G2HML,Reserved,Call Sign - Amateur,,,
G6LHO,Allocated,Call Sign - Amateur,,2013-09-25,Amateur Full Radio Licence
G2HMO,Reserved,Call Sign - Amateur,,,
G1YJY,Allocated,Call Sign - Amateur,,2013-10-01,Amateur Full Radio Licence
G2HMV,Reserved,Call Sign - Amateur,,,
G4IID,Allocated,Call Sign - Amateur,,2013-10-01,Amateur Full Radio Licence
G2HNN,Reserved,Call Sign - Amateur,,,
M0JHC,Allocated,Call Sign - Amateur,,2013-10-01,Amateur Full Radio Licence
G2HNU,Reserved,Call Sign - Amateur,,,
G7WDG,Allocated,Call Sign - Amateur,,2013-10-01,Amateur Full Radio Licence
G2HOF,Reserved,Call Sign - Amateur,,,
M0PBS,Allocated,Call Sign - Amateur,,2013-10-02,Amateur Full Radio Licence
G2HOP,Reserved,Call Sign - Amateur,,,
G3VEQ,Allocated,Call Sign - Amateur,,2013-10-02,Amateur Full Radio Licence
G2HOX,Reserved,Call Sign - Amateur,,,
G3WNW,Allocated,Call Sign - Amateur,,2013-10-02,Amateur Full Radio Licence
G2HPF,Reserved,Call Sign - Amateur,,,
G4CDV,Reserved,Call Sign - Amateur,,,
G2HPH,Reserved,Call Sign - Amateur,,,
G3SJZ,Allocated,Call Sign - Amateur,,2013-10-03,Amateur Full Radio Licence
G1UHG,Reserved,Call Sign - Amateur,,,
G3JCM,Allocated,Call Sign - Amateur,,2013-10-06,Amateur Full Radio Licence
G1KCF,Reserved,Call Sign - Amateur,,,
G7TJV,Allocated,Call Sign - Amateur,,2007-07-05,Amateur Full Radio Licence
G1KCG,Reserved,Call Sign - Amateur,,,
M0RAJ,Allocated,Call Sign - Amateur,,2007-07-05,Amateur Full Radio Licence
G1UHL,Reserved,Call Sign - Amateur,,,
G1FGN,Allocated,Call Sign - Amateur,,2013-10-07,Amateur Full Radio Licence
G1KCM,Reserved,Call Sign - Amateur,,,
G1AWJ,Allocated,Call Sign - Amateur,,2007-07-05,Amateur Full Radio Licence
G1KDL,Reserved,Call Sign - Amateur,,,
G8HED,Allocated,Call Sign - Amateur,,2013-10-08,Amateur Full Radio Licence
G1KCZ,Reserved,Call Sign - Amateur,,,
G1KXX,Allocated,Call Sign - Amateur,,2013-10-08,Amateur Full Radio Licence
G1KDE,Reserved,Call Sign - Amateur,,,
G8LQP,Allocated,Call Sign - Amateur,,1996-09-27,Amateur Full Radio Licence
G1KDF,Reserved,Call Sign - Amateur,,,
G3YHB,Allocated,Call Sign - Amateur,,2013-10-09,Amateur Full Radio Licence
G1KDG,Reserved,Call Sign - Amateur,,,
G7IXU,Allocated,Call Sign - Amateur,,2013-10-09,Amateur Full Radio Licence
G1KDN,Reserved,Call Sign - Amateur,,,
M1EGF,Allocated,Call Sign - Amateur,,2013-10-09,Amateur Full Radio Licence
G1KCI,Reserved,Call Sign - Amateur,,,
G0JQG,Allocated,Call Sign - Amateur,,2013-10-10,Amateur Full Radio Licence
G1KDB,Allocated,Call Sign - Amateur,,2020-08-03,Amateur Full Radio Licence
G1PCR,Allocated,Call Sign - Amateur,,2013-10-10,Amateur Full Radio Licence
G1KDW,Reserved,Call Sign - Amateur,,,
G4IEJ,Allocated,Call Sign - Amateur,,2007-07-05,Amateur Full Radio Licence
G1UHR,Reserved,Call Sign - Amateur,,,
G0IJD,Allocated,Call Sign - Amateur,,2013-10-13,Amateur Full Radio Licence
G3GAI,Reserved,Call Sign - Amateur,,,
G7AMD,Allocated,Call Sign - Amateur,,2013-10-17,Amateur Full Radio Licence
G3GAL,Reserved,Call Sign - Amateur,,,
G8VHX,Allocated,Call Sign - Amateur,,2013-10-17,Amateur Full Radio Licence
G3GAO,Reserved,Call Sign - Amateur,,,
M0VBD,Allocated,Call Sign - Amateur,,2007-07-05,Amateur Full Radio Licence
G3GAR,Reserved,Call Sign - Amateur,,,
G4TRQ,Allocated,Call Sign - Amateur,,2014-01-07,Amateur Full Radio Licence
G3GAS,Reserved,Call Sign - Amateur,,,
G8JNO,Allocated,Call Sign - Amateur,,2014-01-07,Amateur Full Radio Licence
G1HTV,Reserved,Call Sign - Amateur,,,
G3LPY,Allocated,Call Sign - Amateur,,2014-01-08,Amateur Full Radio Licence
G3GBI,Reserved,Call Sign - Amateur,,,
G0IAC,Allocated,Call Sign - Amateur,,2014-01-08,Amateur Full Radio Licence
G3GBX,Reserved,Call Sign - Amateur,,,
G8PMQ,Allocated,Call Sign - Amateur,,2014-01-08,Amateur Full Radio Licence
G3GCB,Reserved,Call Sign - Amateur,,,
M0WJH,Allocated,Call Sign - Amateur,,2014-01-08,Amateur Full Radio Licence
G3GDA,Reserved,Call Sign - Amateur,,,
G3YPL,Allocated,Call Sign - Amateur,,2014-01-09,Amateur Full Radio Licence
G3GBW,Reserved,Call Sign - Amateur,,,
M0AGJ,Allocated,Call Sign - Amateur,,2014-01-10,Amateur Full Radio Licence
G3UMH,Reserved,Call Sign - Amateur,,,
G0OXB,Allocated,Call Sign - Amateur,,2014-01-13,Amateur Full Radio Licence
G3YNI,Reserved,Call Sign - Amateur,,,
G1XMF,Allocated,Call Sign - Amateur,,2014-01-13,Amateur Full Radio Licence
G3YNM,Reserved,Call Sign - Amateur,,,
G7IID,Allocated,Call Sign - Amateur,,2014-01-14,Amateur Full Radio Licence
G3YNP,Reserved,Call Sign - Amateur,,,
G7TCQ,Allocated,Call Sign - Amateur,,2014-01-14,Amateur Full Radio Licence
G3YNR,Reserved,Call Sign - Amateur,,,
G6BPC,Allocated,Call Sign - Amateur,,2014-01-15,Amateur Full Radio Licence
G3YNX,Reserved,Call Sign - Amateur,,,
G1RYY,Allocated,Call Sign - Amateur,,2014-01-15,Amateur Full Radio Licence
G1SKM,Reserved,Call Sign - Amateur,,,
M0PHE,Allocated,Call Sign - Amateur,,2014-01-15,Amateur Full Radio Licence
G1SKN,Reserved,Call Sign - Amateur,,,
G1XQI,Allocated,Call Sign - Amateur,,2014-01-15,Amateur Full Radio Licence
G1SKX,Reserved,Call Sign - Amateur,,,
M0HNT,Allocated,Call Sign - Amateur,,2014-01-19,Amateur Full Radio Licence
G1SLF,Reserved,Call Sign - Amateur,,,
G3LTK,Allocated,Call Sign - Amateur,,2014-01-20,Amateur Full Radio Licence
G1SLH,Reserved,Call Sign - Amateur,,,
M0TPJ,Allocated,Call Sign - Amateur,,2014-01-20,Amateur Full Radio Licence
G1SLK,Reserved,Call Sign - Amateur,,,
G3WEW,Allocated,Call Sign - Amateur,,2014-01-22,Amateur Full Radio Licence
G1SLS,Reserved,Call Sign - Amateur,,,
G7JDB,Allocated,Call Sign - Amateur,,2014-01-22,Amateur Full Radio Licence
G3EYY,Reserved,Call Sign - Amateur,,,
M0VEC,Allocated,Call Sign - Amateur,,2014-01-22,Amateur Full Radio Licence
G1SLV,Reserved,Call Sign - Amateur,,,
G3LJK,Reserved,Call Sign - Amateur,,,
G1SLZ,Reserved,Call Sign - Amateur,,,
M0HNU,Allocated,Call Sign - Amateur,,2014-01-23,Amateur Full Radio Licence
G1SMD,Reserved,Call Sign - Amateur,,,
G0FAS,Allocated,Call Sign - Amateur,,2014-01-23,Amateur Full Radio Licence
G1SMF,Reserved,Call Sign - Amateur,,,
M0ATV,Allocated,Call Sign - Amateur,,2014-01-24,Amateur Full Radio Licence
G1SMK,Reserved,Call Sign - Amateur,,,
G7KFZ,Allocated,Call Sign - Amateur,,2014-01-27,Amateur Full Radio Licence
G1XMT,Reserved,Call Sign - Amateur,,,
G1PML,Allocated,Call Sign - Amateur,,2014-01-27,Amateur Full Radio Licence
G1XMU,Reserved,Call Sign - Amateur,,,
G7JMQ,Allocated,Call Sign - Amateur,,2014-01-27,Amateur Full Radio Licence
G1XMW,Reserved,Call Sign - Amateur,,,
G7WKE,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G1XMY,Reserved,Call Sign - Amateur,,,
M0HNV,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G1XND,Reserved,Call Sign - Amateur,,,
G1VIE,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G3EZE,Reserved,Call Sign - Amateur,,,
M0HNX,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G1XNJ,Reserved,Call Sign - Amateur,,,
G8SBQ,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G1XNO,Reserved,Call Sign - Amateur,,,
G4SSK,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G1XNR,Reserved,Call Sign - Amateur,,,
G6TSE,Allocated,Call Sign - Amateur,,2014-01-28,Amateur Full Radio Licence
G1XNY,Reserved,Call Sign - Amateur,,,
G0TAI,Allocated,Call Sign - Amateur,,2014-01-29,Amateur Full Radio Licence
G1XOA,Reserved,Call Sign - Amateur,,,
G4KVT,Allocated,Call Sign - Amateur,,2014-04-29,Amateur Full Radio Licence
G1XOB,Reserved,Call Sign - Amateur,,,
G7EFV,Allocated,Call Sign - Amateur,,2014-04-29,Amateur Full Radio Licence
G1XOC,Reserved,Call Sign - Amateur,,,
G7HIU,Allocated,Call Sign - Amateur,,2007-07-18,Amateur Full Radio Licence
G1XON,Reserved,Call Sign - Amateur,,,
M1DJS,Allocated,Call Sign - Amateur,,2014-04-30,Amateur Full Radio Licence
G1XOP,Reserved,Call Sign - Amateur,,,
G0CTC,Allocated,Call Sign - Amateur,,2014-04-30,Amateur Full Radio Licence
G3EZI,Reserved,Call Sign - Amateur,,,
G0XZT,Allocated,Call Sign - Amateur,,2014-05-01,Amateur Full Radio Licence
G1XOS,Reserved,Call Sign - Amateur,,,
G4JMV,Allocated,Call Sign - Amateur,,2014-05-01,Amateur Full Radio Licence
