callsign,status,licence_class,created_date,last_modified_date,reserved_to_date,licence_cancel_date
20AGD,Reserved,,2016-08-12,2016-08-12,,
20AGE,Reserved,,2016-08-12,2016-08-12,,
20AGF,Reserved,,2016-08-12,2016-08-12,,
20AGG,Reserved,,2016-08-12,2016-08-12,,
20AGH,Reserved,,2016-08-12,2016-08-12,,
20AGJ,Reserved,,2016-08-12,2016-08-12,,
20AGK,Reserved,,2016-08-12,2016-08-12,,
20AGL,Reserved,,2016-08-12,2016-08-12,,
20AGM,Reserved,,2016-08-12,2016-08-12,,
20AGN,Reserved,,2016-08-12,2016-08-12,,
20AGO,Reserved,,2016-08-12,2016-08-12,,
20AGP,Reserved,,2016-08-12,2016-08-12,,
20AGR,Reserved,,2016-08-12,2016-08-12,,
20AGU,Reserved,,2016-08-12,2016-08-12,,
20AGV,Reserved,,2016-08-12,2016-08-12,,
20AGW,Reserved,,2016-08-12,2016-08-12,,
20AGX,Reserved,,2016-08-02,2016-08-12,,
20AGY,Reserved,,2016-08-12,2016-08-12,,
20AGZ,Reserved,,2016-08-02,2016-08-12,,
20AHA,Reserved,,2016-08-12,2016-08-12,,
20AHB,Reserved,,2016-08-12,2016-08-12,,
20AHC,Reserved,,2016-08-12,2016-08-12,,
20AHD,Reserved,,2016-08-12,2016-08-12,,
20AHE,Reserved,,2016-08-12,2016-08-12,,
20AHF,Reserved,,2016-08-12,2016-08-12,,
20AHG,Reserved,,2016-08-12,2016-08-12,,
20AHH,Reserved,,2016-08-12,2016-08-12,,
20AHI,Reserved,,2016-08-12,2016-08-12,,
20AHJ,Reserved,,2016-08-12,2016-08-12,,
20AHK,Reserved,,2016-08-12,2016-08-12,,
20AHL,Reserved,,2016-08-12,2016-08-12,,
20AHM,Reserved,,2016-08-12,2016-08-12,,
20AHN,Reserved,,2016-08-12,2016-08-12,,
20AHP,Reserved,,2016-08-12,2016-08-12,,
20AHQ,Reserved,,2016-08-12,2016-08-12,,
20AHR,Reserved,,2016-08-12,2016-08-12,,
20AHS,Reserved,,2016-08-12,2016-08-12,,
20AHT,Reserved,,2016-08-12,2016-08-12,,
20AHU,Reserved,,2016-08-12,2016-08-12,,
20AHV,Reserved,,2016-08-12,2016-08-12,,
20AHW,Reserved,,2016-08-12,2016-08-12,,
20AHY,Reserved,,2016-07-23,2018-08-02,,1994-05-01
20AHZ,Reserved,,2016-08-12,2016-08-12,,
20AIA,Reserved,,2016-08-12,2016-08-12,,
20AIB,Reserved,,2016-08-12,2016-08-12,,
20AIC,Reserved,,2016-08-12,2016-08-12,,
20AIF,Reserved,,2016-08-12,2016-08-12,,
20AIG,Reserved,,2016-08-12,2016-08-12,,
20AII,Reserved,,2016-08-12,2016-08-12,,
20AIJ,Reserved,,2016-08-12,2016-08-12,,
20AIN,Reserved,,2016-08-12,2016-08-12,,
20AIO,Reserved,,2016-08-12,2016-08-12,,
20AIP,Reserved,,2016-08-12,2016-08-12,,
20AIQ,Reserved,,2016-08-12,2016-08-12,,
20AIR,Reserved,,2016-08-02,2016-08-12,,
20AIS,Reserved,,2016-07-23,2016-08-02,,1994-08-23
20AIU,Reserved,,2016-08-12,2016-08-12,,
20AIW,Reserved,,2016-08-12,2016-08-12,,
20AIX,Reserved,,2016-08-12,2016-08-12,,
20AIY,Reserved,,2016-08-12,2016-08-12,,
20AIZ,Reserved,,2016-07-23,2016-08-12,,1994-10-11
20AJA,Reserved,,2016-08-12,2016-08-12,,
20AJB,Reserved,,2016-08-12,2016-08-12,,
20AJC,Reserved,,2016-08-12,2016-08-12,,
20AJD,Reserved,,2016-08-12,2016-08-12,,
20AJE,Reserved,,2016-08-12,2016-08-12,,
20AJF,Reserved,,2016-08-12,2016-08-12,,
20AJG,Reserved,,2016-08-12,2016-08-12,,
20AJH,Reserved,,2016-08-12,2016-08-12,,
20AJI,Reserved,,2016-08-12,2016-08-12,,
20AJJ,Reserved,,2016-08-12,2016-08-12,,
20AJL,Reserved,,2016-08-12,2016-08-12,,
20AJM,Reserved,,2016-08-12,2016-08-12,,
20AJN,Reserved,,2016-08-12,2016-08-12,,
20AJO,Reserved,,2016-08-12,2016-08-12,,
20AJR,Reserved,,2016-08-12,2016-08-12,,
20AJU,Reserved,,2016-08-12,2016-08-12,,
20AJV,Reserved,,2016-08-12,2016-08-12,,
20AJW,Reserved,,2016-08-12,2016-08-12,,
20AJY,Reserved,,2016-08-12,2016-08-12,,
20AJZ,Reserved,,2016-08-12,2016-08-12,,
20AKB,Reserved,,2016-08-12,2016-08-12,,
20AKC,Reserved,,2016-08-12,2016-08-12,,
20AKD,Reserved,,2016-08-12,2016-08-12,,
20AKE,Reserved,,2016-08-12,2016-08-12,,
20AKF,Reserved,,2016-08-12,2016-08-12,,
20AKH,Reserved,,2016-08-12,2016-08-12,,
20AKM,Reserved,,2016-08-02,2016-08-02,,
20AKP,Reserved,,2016-08-02,2016-08-02,,
20AKR,Reserved,,2016-07-23,2017-08-22,,2007-01-25
20AKV,Reserved,,2016-07-23,2016-08-10,,2006-12-14
20AKW,Reserved,,2016-08-02,2016-08-02,,
20AKX,Reserved,,2016-07-23,2016-08-02,,2007-01-31
20AKZ,Reserved,,2016-08-12,2016-08-12,,
20ALG,Reserved,,2016-08-12,2016-08-12,,
20ALM,Reserved,,2016-07-23,2018-04-18,,2007-02-08
20ALN,Reserved,,2016-08-12,2016-08-12,,
20ALO,Reserved,,2016-08-12,2016-08-12,,
20ALP,Reserved,,2016-08-12,2016-08-12,,
20ALQ,Reserved,,2016-08-12,2016-08-12,,
20ALR,Reserved,,2016-08-12,2016-08-12,,
20ALT,Reserved,,2016-08-12,2016-08-12,,
20ALU,Reserved,,2016-08-12,2016-08-12,,
20ALV,Reserved,,2016-08-12,2016-08-12,,
20ALX,Reserved,,2016-08-12,2016-08-12,,
20ALY,Reserved,,2016-08-12,2016-08-12,,
20AMA,Reserved,,2016-08-12,2016-08-12,,
20AMC,Reserved,,2016-08-12,2016-08-12,,
20AMD,Reserved,,2016-08-12,2016-08-12,,
20AME,Reserved,,2016-08-12,2016-08-12,,
20AMF,Reserved,,2016-08-12,2016-08-12,,
20AMG,Reserved,,2016-08-12,2016-08-12,,
20AMH,Reserved,,2016-08-12,2016-08-12,,
20AMI,Reserved,,2016-08-12,2016-08-12,,
20AMJ,Reserved,,2016-08-12,2016-08-12,,
20AMK,Reserved,,2016-08-12,2016-08-12,,
20AML,Reserved,,2016-08-12,2016-08-12,,
20AMM,Reserved,,2016-08-02,2016-08-12,,
20AMN,Available,,2016-08-12,2020-09-19,,
20AMO,Reserved,,2016-08-12,2016-08-12,,
20AMP,Reserved,,2016-08-12,2016-08-12,,
20AMQ,Reserved,,2016-08-12,2016-08-12,,
20AMR,Reserved,,2016-08-02,2016-08-12,,
20AMS,Reserved,,2016-07-23,2016-08-02,,2008-01-09
20AMT,Reserved,,2016-07-23,2016-08-12,,1995-09-22
20AMU,Reserved,,2016-08-12,2016-08-12,,
20AMV,Reserved,,2016-08-12,2016-08-12,,
20AMX,Reserved,,2016-08-12,2016-08-12,,
20AMY,Reserved,,2016-08-12,2016-08-12,,
20AMZ,Reserved,,2016-08-12,2016-08-12,,
20ANA,Reserved,,2016-08-12,2016-08-12,,
20ANB,Reserved,,2016-08-12,2016-08-12,,
20ANC,Reserved,,2016-08-12,2016-08-12,,
20AND,Reserved,,2016-08-12,2016-08-12,,
20ANF,Reserved,,2016-08-12,2016-08-12,,
20ANG,Reserved,,2016-08-12,2016-08-12,,
20ANH,Reserved,,2016-08-12,2016-08-12,,
20ANI,Reserved,,2016-08-12,2016-08-12,,
20ANJ,Reserved,,2016-08-12,2016-08-12,,
20ANK,Reserved,,2016-08-12,2016-08-12,,
20ANL,Reserved,,2016-08-12,2016-08-12,,
20ANM,Reserved,,2016-08-12,2016-08-12,,
20ANN,Reserved,,2016-08-12,2016-08-12,,
20ANO,Reserved,,2016-08-12,2016-08-12,,
20ANP,Reserved,,2016-08-12,2016-08-12,,
20ANQ,Reserved,,2016-08-12,2016-08-12,,
20ANR,Reserved,,2016-08-12,2016-08-12,,
20ANS,Reserved,,2016-08-02,2016-08-12,,
20ANT,Reserved,,2016-08-12,2016-08-12,,
20ANU,Reserved,,2016-07-23,2016-08-12,,1996-01-30
20ANV,Reserved,,2016-07-23,2016-08-12,,1996-02-01
20ANW,Reserved,,2016-08-12,2016-08-12,,
20ANX,Reserved,,2016-08-12,2016-08-12,,
20ANY,Reserved,,2016-08-12,2016-08-12,,
20ANZ,Reserved,,2016-08-02,2016-08-12,,
20AOA,Reserved,,2016-08-12,2016-08-12,,
20AOB,Reserved,,2016-08-12,2016-08-12,,
20AOC,Reserved,,2016-08-12,2016-08-12,,
20AOD,Reserved,,2016-08-02,2016-08-12,,
20AOE,Reserved,,2016-08-12,2016-08-12,,
20AOF,Reserved,,2016-08-12,2016-08-12,,
