Value,Status,Type,Call Sign MMSI: Created Date,Call Sign MMSI: Last Modified Date,Reserved to Date,Licence Cancel Date
21CET,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CEV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CEW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CEX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CEY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFH,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CFI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CFZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CGZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CHZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CID,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CII,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CIZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJI,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CJM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJR,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CJS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CJY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKK,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CKL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CKZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLV,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CLW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CLZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CME,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CMY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CND,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CNZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CON,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COX,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21COY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21COZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CPZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CQZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRC,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CRD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CRZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CST,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CSZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CTY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUE,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUG,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUW,Reserved,Call Sign - Amateur,2016-08-02,2016-08-12,,
21CUX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CUY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVH,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVI,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVJ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVK,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVL,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVM,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVN,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVO,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVP,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVQ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVR,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVS,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVT,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVU,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVV,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVW,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVX,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVY,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CVZ,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CWA,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CWB,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CWC,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CWD,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
21CWF,Reserved,Call Sign - Amateur,2016-08-12,2016-08-12,,
