callsign,status,licence_class,suffix
M6DIQ,Available,Foundation,DIQ
M6DIR,Available,Foundation,DIR
M6DIU,Available,Foundation,DIU
M6DIW,Available,Foundation,DIW
M6DJJ,Available,Foundation,DJJ
M6DJL,Available,Foundation,DJL
M6DJQ,Available,Foundation,DJQ
M6DJU,Available,Foundation,DJU
M6DJV,Available,Foundation,DJV
M6DKE,Available,Foundation,DKE
M6DKF,Available,Foundation,DKF
M6DKI,Available,Foundation,DKI
M6DKK,Available,Foundation,DKK
M6DKN,Available,Foundation,DKN
M6DKO,Available,Foundation,DKO
M6DKP,Available,Foundation,DKP
M6DKT,Available,Foundation,DKT
M6DKU,Available,Foundation,DKU
M6DKV,Available,Foundation,DKV
M6DKY,Available,Foundation,DKY
M6DLD,Available,Foundation,DLD
M6DLI,Available,Foundation,DLI
M6DLK,Available,Foundation,DLK
M6DLN,Available,Foundation,DLN
M6DLQ,Available,Foundation,DLQ
M6DLU,Available,Foundation,DLU
M6DLV,Available,Foundation,DLV
M6DLW,Available,Foundation,DLW
M6DLZ,Available,Foundation,DLZ
M6DMN,Available,Foundation,DMN
M6DMO,Available,Foundation,DMO
M6DMP,Available,Foundation,DMP
M6DMU,Available,Foundation,DMU
M6DNE,Available,Foundation,DNE
M6DNI,Available,Foundation,DNI
M6DNJ,Available,Foundation,DNJ
M6DNL,Available,Foundation,DNL
M6DNP,Available,Foundation,DNP
M6DNQ,Available,Foundation,DNQ
M6DNR,Available,Foundation,DNR
M6DNV,Available,Foundation,DNV
M6DNX,Available,Foundation,DNX
M6DNZ,Available,Foundation,DNZ
M6DOF,Available,Foundation,DOF
M6DOJ,Available,Foundation,DOJ
M6DOL,Available,Foundation,DOL
M6DOQ,Available,Foundation,DOQ
M6DOU,Available,Foundation,DOU
M6DOV,Available,Foundation,DOV
M6DOW,Available,Foundation,DOW
M6DPE,Available,Foundation,DPE
M6DPN,Available,Foundation,DPN
M6DPO,Available,Foundation,DPO
M6DPQ,Available,Foundation,DPQ
M6DPU,Available,Foundation,DPU
M6DPV,Available,Foundation,DPV
M6DPX,Available,Foundation,DPX
M6DPY,Available,Foundation,DPY
M6DQA,Available,Foundation,DQA
M6DQB,Available,Foundation,DQB
M6DQC,Available,Foundation,DQC
