callsign,status,licence_class,suffix
M0CWC,Available,Full,CWC
M0HME,Available,Full,HME
M0HMF,Available,Full,HMF
M0HMG,Available,Full,HMG
M0HMI,Available,Full,HMI
M0HMJ,Available,Full,HMJ
M0HMK,Available,Full,HMK
M0HML,Available,Full,HML
M0HMN,Available,Full,HMN
M0HMO,Available,Full,HMO
M0HMQ,Available,Full,HMQ
M0HMT,Available,Full,HMT
M0HMU,Available,Full,HMU
M0HMW,Available,Full,HMW
M0HMX,Available,Full,HMX
M0HMZ,Available,Full,HMZ
M0HNA,Available,Full,HNA
M0HNB,Available,Full,HNB
M0HND,Available,Full,HND
M0HNE,Available,Full,HNE
M0HNF,Available,Full,HNF
M0HNG,Available,Full,HNG
M0HNH,Available,Full,HNH
M0HNI,Available,Full,HNI
M0HNJ,Available,Full,HNJ
M0HNK,Available,Full,HNK
M0HNL,Available,Full,HNL
M0HNM,Available,Full,HNM
M0HNN,Available,Full,HNN
M0HNO,Available,Full,HNO
M0HNP,Available,Full,HNP
M0HNQ,Available,Full,HNQ
M0HNR,Available,Full,HNR
M0HNS,Available,Full,HNS
M0HNT,Available,Full,HNT
M0HNU,Available,Full,HNU
M0HNV,Available,Full,HNV
M0HNX,Available,Full,HNX
M0HNY,Available,Full,HNY
M0HNZ,Available,Full,HNZ
M0HOB,Available,Full,HOB
M0HOE,Available,Full,HOE
M0HOF,Available,Full,HOF
M0HOH,Available,Full,HOH
M0HOI,Available,Full,HOI
M0HOJ,Available,Full,HOJ
M0HOM,Available,Full,HOM
M0HOO,Available,Full,HOO
M0HOQ,Available,Full,HOQ
M0HOS,Available,Full,HOS
M0HOV,Available,Full,HOV
M0HOX,Available,Full,HOX
M0HOY,Available,Full,HOY
M0HOZ,Available,Full,HOZ
M0HPA,Available,Full,HPA
M0HPE,Available,Full,HPE
M0HPG,Available,Full,HPG
M0HPH,Available,Full,HPH
M0HPI,Available,Full,HPI
M0HPM,Available,Full,HPM
M0HPN,Available,Full,HPN
M0HPO,Available,Full,HPO
M0HPP,Available,Full,HPP
M0HPQ,Available,Full,HPQ
M0HPU,Available,Full,HPU
M0HPW,Available,Full,HPW
M0HPX,Available,Full,HPX
M0HPY,Available,Full,HPY
M0HPZ,Available,Full,HPZ
M0HQA,Available,Full,HQA
M0HQB,Available,Full,HQB
M0HQC,Available,Full,HQC
M0HQD,Available,Full,HQD
M0HQE,Available,Full,HQE
M0HQF,Available,Full,HQF
M0HQG,Available,Full,HQG
M0HQH,Available,Full,HQH
M0HQI,Available,Full,HQI
M0HQL,Available,Full,HQL
M0HQM,Available,Full,HQM
M0HQN,Available,Full,HQN
M0HQO,Available,Full,HQO
M0HQP,Available,Full,HQP
M0HQQ,Available,Full,HQQ
M0HQR,Available,Full,HQR
M0HQS,Available,Full,HQS
M0HQT,Available,Full,HQT
M0HQU,Available,Full,HQU
M0HQV,Available,Full,HQV
M0HQW,Available,Full,HQW
M0HQX,Available,Full,HQX
M0HQY,Available,Full,HQY
M0HQZ,Available,Full,HQZ
M0HRF,Available,Full,HRF
M0HRI,Available,Full,HRI
M0HRJ,Available,Full,HRJ
M0HRK,Available,Full,HRK
M0HRL,Available,Full,HRL
M0HRM,Available,Full,HRM
M0HRN,Available,Full,HRN
M0HRQ,Available,Full,HRQ
M0HRT,Available,Full,HRT
M0HRU,Available,Full,HRU
M0HRW,Available,Full,HRW
M0HRX,Available,Full,HRX
M0HRY,Available,Full,HRY
M0HRZ,Available,Full,HRZ
M0HSB,Available,Full,HSB
M0HSC,Available,Full,HSC
M0HSD,Available,Full,HSD
M0HSE,Available,Full,HSE
M0HSF,Available,Full,HSF
M0HSG,Available,Full,HSG
M0HSH,Available,Full,HSH
M0HSI,Available,Full,HSI
M0HSK,Available,Full,HSK
M0HSL,Available,Full,HSL
M0HSN,Available,Full,HSN
M0HSO,Available,Full,HSO
M0HSP,Available,Full,HSP
M0HSQ,Available,Full,HSQ
M0HSS,Available,Full,HSS
M0HSU,Available,Full,HSU
M0HSY,Available,Full,HSY
M0HSZ,Available,Full,HSZ
M0HTA,Available,Full,HTA
M0HTD,Available,Full,HTD
M0HTE,Available,Full,HTE
M0HTF,Available,Full,HTF
M0HTG,Available,Full,HTG
M0HTI,Available,Full,HTI
M0HTK,Available,Full,HTK
M0HTL,Available,Full,HTL
M0HTM,Available,Full,HTM
M0HTN,Available,Full,HTN
M0HTO,Available,Full,HTO
M0HTP,Available,Full,HTP
M0HTQ,Available,Full,HTQ
M0HTS,Available,Full,HTS
M0HTT,Available,Full,HTT
M0HTU,Available,Full,HTU
M0HTV,Available,Full,HTV
M0HTW,Available,Full,HTW
M0HTX,Available,Full,HTX
M0HTY,Available,Full,HTY
M0HTZ,Available,Full,HTZ
M0HUA,Available,Full,HUA
M0HUC,Available,Full,HUC
M0HUF,Available,Full,HUF
M0HUH,Available,Full,HUH
M0HUI,Available,Full,HUI
M0HUJ,Available,Full,HUJ
M0HUK,Available,Full,HUK
M0HUL,Available,Full,HUL
M0HUO,Available,Full,HUO
M0HUQ,Available,Full,HUQ
M0HUR,Available,Full,HUR
M0HUU,Available,Full,HUU
M0HUV,Available,Full,HUV
M0HUW,Available,Full,HUW
M0HUX,Available,Full,HUX
M0HUY,Available,Full,HUY
M0HUZ,Available,Full,HUZ
M0HVA,Available,Full,HVA
M0HVC,Available,Full,HVC
M0HVE,Available,Full,HVE
M0HVF,Available,Full,HVF
M0HVG,Available,Full,HVG
M0HVH,Available,Full,HVH
M0HVI,Available,Full,HVI
M0HVJ,Available,Full,HVJ
M0HVK,Available,Full,HVK
M0HVL,Available,Full,HVL
M0HVM,Available,Full,HVM
M0HVN,Available,Full,HVN
M0HVP,Available,Full,HVP
M0HVQ,Available,Full,HVQ
M0HVR,Available,Full,HVR
M0HVS,Available,Full,HVS
M0HVT,Available,Full,HVT
M0HVU,Available,Full,HVU
M0HVV,Available,Full,HVV
M0HVW,Available,Full,HVW
M0HVX,Available,Full,HVX
M0HVY,Available,Full,HVY
M0HVZ,Available,Full,HVZ
M0HWB,Available,Full,HWB
M0HWD,Available,Full,HWD
M0HWE,Available,Full,HWE
M0HWF,Available,Full,HWF
M0HWG,Available,Full,HWG
M0HWH,Available,Full,HWH
M0HWI,Available,Full,HWI
M0HWJ,Available,Full,HWJ
M0HWL,Available,Full,HWL
M0HWO,Available,Full,HWO
M0HWP,Available,Full,HWP
M0HWQ,Available,Full,HWQ
M0HWT,Available,Full,HWT
M0HWU,Available,Full,HWU
M0HWV,Available,Full,HWV
M0HWW,Available,Full,HWW
M0HWX,Available,Full,HWX
