Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag,Call Sign Application #,MMSI Application #
M,0,IIO,M0IIO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIP,M0IIP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIQ,M0IIQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIS,M0IIS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIT,M0IIT,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIU,M0IIU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIV,M0IIV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIW,M0IIW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIX,M0IIX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIY,M0IIY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IIZ,M0IIZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJA,M0IJA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJB,M0IJB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJC,M0IJC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJE,M0IJE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJF,M0IJF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJG,M0IJG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJH,M0IJH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJI,M0IJI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJJ,M0IJJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJK,M0IJK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJL,M0IJL,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJN,M0IJN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJO,M0IJO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJP,M0IJP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJQ,M0IJQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJR,M0IJR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJT,M0IJT,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJU,M0IJU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJV,M0IJV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJW,M0IJW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJX,M0IJX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IJY,M0IJY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKA,M0IKA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKC,M0IKC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKG,M0IKG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKH,M0IKH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKI,M0IKI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKJ,M0IKJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKN,M0IKN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKO,M0IKO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKP,M0IKP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKR,M0IKR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKS,M0IKS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKU,M0IKU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKV,M0IKV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKX,M0IKX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IKZ,M0IKZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILA,M0ILA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILC,M0ILC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILD,M0ILD,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILE,M0ILE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILF,M0ILF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILG,M0ILG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILH,M0ILH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILI,M0ILI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILK,M0ILK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILL,M0ILL,Call Sign,Amateur Full Radio Licence,Available,N,,
