callsign,event,event_date
G8NZH,reciprocal-licence-issued,2012-05-21 23:00:00
M0MBY,reciprocal-licence-issued,2012-05-23 23:00:00
M0NIE,reciprocal-licence-issued,2012-05-27 23:00:00
M0HDQ,reciprocal-licence-issued,2012-06-05 23:00:00
M0ISL,reciprocal-licence-issued,2012-06-10 23:00:00
M0TMM,reciprocal-licence-issued,2012-06-10 23:00:00
M0TWI,reciprocal-licence-issued,2012-06-11 23:00:00
M0JCS,reciprocal-licence-issued,2012-06-13 23:00:00
M0KFT,reciprocal-licence-issued,2012-06-18 23:00:00
M0VVF,reciprocal-licence-issued,2012-06-19 23:00:00
M0RZW,reciprocal-licence-issued,2012-06-19 23:00:00
M0POA,reciprocal-licence-issued,2012-06-19 23:00:00
M0HMD,reciprocal-licence-issued,2012-06-19 23:00:00
G0VJH,reciprocal-licence-issued,2012-06-27 23:00:00
M0SYJ,reciprocal-licence-issued,2012-06-28 23:00:00
M0HES,reciprocal-licence-issued,2012-07-15 23:00:00
M0HEV,reciprocal-licence-issued,2012-07-19 23:00:00
M0HEZ,reciprocal-licence-issued,2012-07-25 23:00:00
M0KGN,reciprocal-licence-issued,2012-08-01 23:00:00
M0MKX,reciprocal-licence-issued,2012-08-05 23:00:00
M0HFB,reciprocal-licence-issued,2012-08-19 23:00:00
M0ZZV,reciprocal-licence-issued,2012-08-19 23:00:00
M0HFD,reciprocal-licence-issued,2012-08-21 23:00:00
G5BDW,reciprocal-licence-issued,2012-09-03 23:00:00
M0HFJ,reciprocal-licence-issued,2012-09-06 23:00:00
M0LDW,reciprocal-licence-issued,2012-09-06 23:00:00
M0HFM,reciprocal-licence-issued,2012-09-11 23:00:00
M0VQP,reciprocal-licence-issued,2012-09-20 23:00:00
M0OLF,reciprocal-licence-issued,2012-09-25 23:00:00
M0HFO,reciprocal-licence-issued,2012-10-02 23:00:00
M0JWM,reciprocal-licence-issued,2012-10-07 23:00:00
M0KOX,reciprocal-licence-issued,2012-10-21 23:00:00
M0HGF,reciprocal-licence-issued,2012-10-25 23:00:00
M0NGC,reciprocal-licence-issued,2012-11-01
M0LTP,reciprocal-licence-issued,2012-11-02
M0MIR,reciprocal-licence-issued,2012-11-08
M0VSR,reciprocal-licence-issued,2012-11-16
M0LBD,reciprocal-licence-issued,2012-11-16
M0HGK,reciprocal-licence-issued,2012-11-22
M0HXB,reciprocal-licence-issued,2012-11-22
M0SEB,reciprocal-licence-issued,2012-11-28
M0LWO,reciprocal-licence-issued,2012-12-07
M0HHE,reciprocal-licence-issued,2012-12-17
M0NML,reciprocal-licence-issued,2012-12-20
M0HHI,reciprocal-licence-issued,2013-01-02
M0NSP,reciprocal-licence-issued,2013-01-11
G5BCO,reciprocal-licence-issued,2013-01-16
M0HHP,reciprocal-licence-issued,2013-01-22
M0DSW,reciprocal-licence-issued,2013-01-24
M0HHS,reciprocal-licence-issued,2013-02-04
M0HHZ,reciprocal-licence-issued,2013-02-06
M0KKB,reciprocal-licence-issued,2013-02-08
M0VWW,reciprocal-licence-issued,2013-02-13
M0NZH,reciprocal-licence-issued,2013-02-14
M0HIH,reciprocal-licence-issued,2013-02-26
M0LYC,reciprocal-licence-issued,2013-02-28
M0HJH,reciprocal-licence-issued,2013-03-19
M0HJJ,reciprocal-licence-issued,2013-03-27
M0HIK,reciprocal-licence-issued,2013-04-02 23:00:00
M0TNL,reciprocal-licence-issued,2013-04-02 23:00:00
M0HJN,reciprocal-licence-issued,2013-04-08 23:00:00
M0HJR,reciprocal-licence-issued,2013-04-11 23:00:00
M0HRB,reciprocal-licence-issued,2013-04-18 23:00:00
M0HKD,reciprocal-licence-issued,2013-05-14 23:00:00
M0HKH,reciprocal-licence-issued,2013-06-03 23:00:00
M0HKL,reciprocal-licence-issued,2013-06-12 23:00:00
M0HKO,reciprocal-licence-issued,2013-06-18 23:00:00
M0HKQ,reciprocal-licence-issued,2013-06-20 23:00:00
M0XTX,reciprocal-licence-issued,2013-07-23 23:00:00
M0KNX,reciprocal-licence-issued,2013-07-30 23:00:00
M0HLU,reciprocal-licence-issued,2013-08-11 23:00:00
M0WHP,reciprocal-licence-issued,2013-08-20 23:00:00
M0WRO,reciprocal-licence-issued,2013-08-20 23:00:00
M0HMB,reciprocal-licence-issued,2013-09-01 23:00:00
M0HME,reciprocal-licence-issued,2013-09-08 23:00:00
M0HMF,reciprocal-licence-issued,2013-09-09 23:00:00
M0YUX,reciprocal-licence-issued,2013-09-11 23:00:00
M0KZA,reciprocal-licence-issued,2013-09-11 23:00:00
M0HMI,reciprocal-licence-issued,2013-09-26 23:00:00
