callsign,original_start_date
G5FZ,1996-04-26 01:00:00
G5GC,1977-02-07
G5GX,2003-09-29 01:00:00
G5HD,1977-06-08 01:00:00
G5HF,1987-04-29 01:00:00
G5HI,2002-12-18
G5HY,1992-11-24
G5JJ,2008-05-30
G5JJ,1946-03-20
G5JP,1977-05-23 01:00:00
G5KC,2006-08-24 01:00:00
G5KM,1977-03-02
G5KN,2010-01-22
G5KN,2011-07-14
G5KN,1993-03-12
G5KW,2004-08-12 01:00:00
G5LK,2014-01-22
G5LK,1977-11-15
G5LO,1996-02-19
G5LP,1984-08-14 01:00:00
G5LW,1986-10-08 01:00:00
G5MS,1996-04-11 01:00:00
G5MW,1977-02-03
G5NB,1996-10-24 01:00:00
G5NF,1984-03-22
G5NU,1976-12-10
G5OD,1977-02-09
G5OW,1977-11-29
G5PH,1990-06-01 01:00:00
G5PI,1977-04-28 01:00:00
G5PQ,1984-03-01
G5QK,1948-12-08
G5RL,1977-02-08
G5RP,1989-09-22 01:00:00
G5RQ,1983-04-28 01:00:00
G5RQ,2006-04-28 01:00:00
G5RR,1996-04-03 01:00:00
G5RS,1987-02-04
G5RV,2003-10-14 01:00:00
G5SG,1952-10-09 01:00:00
G5TA,1967-02-17
G5TO,2013-11-13
G5UI,1989-01-12
G5UM,1996-01-19
G5VG,1994-12-20
G5VH,1974-02-15
G5VO,2007-01-16
G5VQ,2002-09-10 01:00:00
G5VU,1992-11-26
G5VZ,2007-07-26
G5WQ,2006-06-07 01:00:00
G5XV,2014-04-23
G5XV,1970-10-08 01:00:00
G5XW,2003-07-31 01:00:00
G5XX,2007-05-30
G5XX,1977-03-16
G5YC,1977-03-03
G5ZG,1982-12-13
G5ZK,1984-01-24
G5ZL,2005-04-05 01:00:00
G6AJ,1985-01-23
G6AK,2001-10-11 01:00:00
G6AX,2011-07-09
G6AY,2005-06-24 01:00:00
G6BD,2013-01-18
G6BD,2007-01-30
G6BK,2011-03-28
G6CP,2007-08-13
G6CW,1996-05-31 01:00:00
G6FS,2008-09-16
G6FS,2004-03-04
G6GA,1993-05-31 01:00:00
G6GS,1977-08-14 01:00:00
G6GW,1961-10-17 01:00:00
G6HH,1996-01-24
G6HL,2008-03-27
G6HL,2008-03-28
G6HQ,2002-10-08 01:00:00
G6HV,1983-01-31
G6HY,1980-07-22 01:00:00
G6IA,1997-12-30
G6JJ,1977-02-04
G6JR,1983-01-27
G6KQ,1979-03-23
G6KV,2003-01-16
G6LD,2010-07-26
G6LD,1997-02-24
G6LI,2002-10-08 01:00:00
G6MC,2007-02-09
G6MD,1996-03-11
G6MR,1993-04-05 01:00:00
G6NX,1999-08-13 01:00:00
G6NZ,1978-12-05
G6OI,2012-08-23
G6OI,1996-02-06
G6PZ,1982-07-08 01:00:00
G6QA,1994-04-19 01:00:00
G6QM,2010-02-17
G6QM,1982-11-30
G6QN,1991-11-15
G6RC,1996-03-27
G6RO,1977-12-18
G6SC,1977-02-01
G6SL,1983-06-19 01:00:00
G6SW,1983-09-29 01:00:00
G6TM,1973-03-26 01:00:00
G6TW,2001-10-31
G6UQ,1977-03-26
G6UT,1966-02-23
G6UW,1986-01-31
G6UX,1998-10-15 01:00:00
G6VF,1977-06-07 01:00:00
G6VS,2002-07-19 01:00:00
G6VX,1984-04-17 01:00:00
G6XD,1989-06-21 01:00:00
G6XM,1984-01-25
G6XN,2011-07-06
G6XN,1977-07-13 01:00:00
G6XO,1977-09-18 01:00:00
G6XW,2005-05-17 01:00:00
G6YB,1969-09-04 01:00:00
G6YM,2014-01-16
G6YM,1977-05-29 01:00:00
G6ZB,1986-09-25 01:00:00
G6ZG,2008-05-02
G6ZG,2005-12-07
G6ZY,1992-10-15 01:00:00
G8AT,1983-11-05
G8CA,1983-12-14
G8CJ,1977-01-21
G8CK,1953-02-07
G8DD,2000-07-05 01:00:00
G8DX,2008-09-19
G8FC,1992-11-14
G8FF,1977-05-20 01:00:00
G8FW,1977-01-29
G8GD,1984-01-18
G8GD,2006-06-27 01:00:00
G8GF,1977-02-07
G8GP,2005-02-19
G8GS,1977-05-27 01:00:00
G8GT,1980-10-15 01:00:00
G8HF,1998-07-16 01:00:00
G8HI,2001-03-02
G8IB,2004-08-12 01:00:00
G8IC,1983-12-14
G8IK,1946-02-01
G8JM,1984-01-17
G8KB,1991-04-24 01:00:00
G8KW,2010-02-16
G8KW,1984-01-23
G8LF,1992-01-22
G8LM,1977-08-31 01:00:00
G8LU,1987-06-03 01:00:00
G8MM,2003-01-31
G8NP,2008-03-04
G8NT,2008-10-13
G8NT,1987-03-12
G8NV,1988-02-26
G8OO,2000-05-13 01:00:00
G8PG,1977-04-12 01:00:00
G8PK,1995-03-25
G8PL,2002-02-07
G8PO,1983-12-22
G8PQ,1987-02-25
G8PW,1953-02-26
G8PX,2005-05-24 01:00:00
G8PY,2008-07-04
G8QR,2009-01-30
G8QZ,2003-07-28 01:00:00
G8RF,1998-12-23
G8RW,2010-11-09
G8RW,1984-01-25
G8RY,1977-01-22
G8RZ,2012-05-09
G8RZ,2004-07-15 01:00:00
G8SH,2002-04-18 01:00:00
G8TA,2012-02-29
G8TA,2000-08-12 01:00:00
G8TA,2005-09-22 01:00:00
G8TB,1953-03-14
G8TT,2000-02-24
G8TV,2005-07-12 01:00:00
G8UA,1977-01-28
G8VF,1977-05-11 01:00:00
G8VG,1966-05-19 01:00:00
G8VJ,1987-09-30 01:00:00
G8VL,2014-05-08
G8VL,1977-02-01
G8VR,2009-08-25
G8VR,1977-02-20
G8VU,1985-03-07
G8WQ,2012-07-30
G8WT,1981-04-19 01:00:00
G8WW,1992-02-03
G8WY,2012-10-29
G8ZK,1996-03-27
