callsign,cleaned,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20ADK,20ADK,parsed,20,,ADK,2#0ADK,,Intermediate,
20ADL,20ADL,parsed,20,,ADL,2#0ADL,,Intermediate,
20ADM,20ADM,parsed,20,,ADM,2#0ADM,,Intermediate,
20ADN,20ADN,parsed,20,,ADN,2#0ADN,,Intermediate,
20ADO,20ADO,parsed,20,,ADO,2#0ADO,,Intermediate,
20ADP,20ADP,parsed,20,,ADP,2#0ADP,,Intermediate,
20ADQ,20ADQ,parsed,20,,ADQ,2#0ADQ,,Intermediate,
20ADR,20ADR,parsed,20,,ADR,2#0ADR,,Intermediate,
20ADT,20ADT,parsed,20,,ADT,2#0ADT,,Intermediate,
20ADU,20ADU,parsed,20,,ADU,2#0ADU,,Intermediate,
20ADV,20ADV,parsed,20,,ADV,2#0ADV,,Intermediate,
20ADW,20ADW,parsed,20,,ADW,2#0ADW,,Intermediate,
20ADX,20ADX,parsed,20,,ADX,2#0ADX,,Intermediate,
20ADY,20ADY,parsed,20,,ADY,2#0ADY,,Intermediate,
20AEA,20AEA,parsed,20,,AEA,2#0AEA,,Intermediate,
20AEB,20AEB,parsed,20,,AEB,2#0AEB,,Intermediate,
20AEC,20AEC,parsed,20,,AEC,2#0AEC,,Intermediate,
20AED,20AED,parsed,20,,AED,2#0AED,,Intermediate,
20AEE,20AEE,parsed,20,,AEE,2#0AEE,,Intermediate,
20AEF,20AEF,parsed,20,,AEF,2#0AEF,,Intermediate,
20AEG,20AEG,parsed,20,,AEG,2#0AEG,,Intermediate,
20AEH,20AEH,parsed,20,,AEH,2#0AEH,,Intermediate,
20AEI,20AEI,parsed,20,,AEI,2#0AEI,,Intermediate,
20AEJ,20AEJ,parsed,20,,AEJ,2#0AEJ,,Intermediate,
20AEK,20AEK,parsed,20,,AEK,2#0AEK,,Intermediate,
20AEL,20AEL,parsed,20,,AEL,2#0AEL,,Intermediate,
20AEM,20AEM,parsed,20,,AEM,2#0AEM,,Intermediate,
20AEN,20AEN,parsed,20,,AEN,2#0AEN,,Intermediate,
20AEO,20AEO,parsed,20,,AEO,2#0AEO,,Intermediate,
20AEP,20AEP,parsed,20,,AEP,2#0AEP,,Intermediate,
20AEQ,20AEQ,parsed,20,,AEQ,2#0AEQ,,Intermediate,
20AER,20AER,parsed,20,,AER,2#0AER,,Intermediate,
20AES,20AES,parsed,20,,AES,2#0AES,,Intermediate,
20AET,20AET,parsed,20,,AET,2#0AET,,Intermediate,
20AEU,20AEU,parsed,20,,AEU,2#0AEU,,Intermediate,
20AEV,20AEV,parsed,20,,AEV,2#0AEV,,Intermediate,
20AEW,20AEW,parsed,20,,AEW,2#0AEW,,Intermediate,
20AEX,20AEX,parsed,20,,AEX,2#0AEX,,Intermediate,
20AEY,20AEY,parsed,20,,AEY,2#0AEY,,Intermediate,
20AFA,20AFA,parsed,20,,AFA,2#0AFA,,Intermediate,
20AFB,20AFB,parsed,20,,AFB,2#0AFB,,Intermediate,
20AFC,20AFC,parsed,20,,AFC,2#0AFC,,Intermediate,
20AFD,20AFD,parsed,20,,AFD,2#0AFD,,Intermediate,
20AFE,20AFE,parsed,20,,AFE,2#0AFE,,Intermediate,
20AFF,20AFF,parsed,20,,AFF,2#0AFF,,Intermediate,
20AFG,20AFG,parsed,20,,AFG,2#0AFG,,Intermediate,
20AFH,20AFH,parsed,20,,AFH,2#0AFH,,Intermediate,
20AFI,20AFI,parsed,20,,AFI,2#0AFI,,Intermediate,
20AFJ,20AFJ,parsed,20,,AFJ,2#0AFJ,,Intermediate,
20AFK,20AFK,parsed,20,,AFK,2#0AFK,,Intermediate,
20AFL,20AFL,parsed,20,,AFL,2#0AFL,,Intermediate,
20AFM,20AFM,parsed,20,,AFM,2#0AFM,,Intermediate,
20AFN,20AFN,parsed,20,,AFN,2#0AFN,,Intermediate,
20AFO,20AFO,parsed,20,,AFO,2#0AFO,,Intermediate,
20AFP,20AFP,parsed,20,,AFP,2#0AFP,,Intermediate,
20AFQ,20AFQ,parsed,20,,AFQ,2#0AFQ,,Intermediate,
20AFR,20AFR,parsed,20,,AFR,2#0AFR,,Intermediate,
20AFS,20AFS,parsed,20,,AFS,2#0AFS,,Intermediate,
20AFT,20AFT,parsed,20,,AFT,2#0AFT,,Intermediate,
20AFU,20AFU,parsed,20,,AFU,2#0AFU,,Intermediate,
20AFV,20AFV,parsed,20,,AFV,2#0AFV,,Intermediate,
20AFW,20AFW,parsed,20,,AFW,2#0AFW,,Intermediate,
20AFX,20AFX,parsed,20,,AFX,2#0AFX,,Intermediate,
20AFY,20AFY,parsed,20,,AFY,2#0AFY,,Intermediate,
20AGA,20AGA,parsed,20,,AGA,2#0AGA,,Intermediate,
20AGB,20AGB,parsed,20,,AGB,2#0AGB,,Intermediate,
20AGC,20AGC,parsed,20,,AGC,2#0AGC,,Intermediate,
20AGD,20AGD,parsed,20,,AGD,2#0AGD,,Intermediate,
20AGE,20AGE,parsed,20,,AGE,2#0AGE,,Intermediate,
20AGF,20AGF,parsed,20,,AGF,2#0AGF,,Intermediate,
20AGG,20AGG,parsed,20,,AGG,2#0AGG,,Intermediate,
20AGH,20AGH,parsed,20,,AGH,2#0AGH,,Intermediate,
20AGI,20AGI,parsed,20,,AGI,2#0AGI,,Intermediate,
20AGJ,20AGJ,parsed,20,,AGJ,2#0AGJ,,Intermediate,
20AGK,20AGK,parsed,20,,AGK,2#0AGK,,Intermediate,
20AGL,20AGL,parsed,20,,AGL,2#0AGL,,Intermediate,
20AGM,20AGM,parsed,20,,AGM,2#0AGM,,Intermediate,
20AGN,20AGN,parsed,20,,AGN,2#0AGN,,Intermediate,
20AGO,20AGO,parsed,20,,AGO,2#0AGO,,Intermediate,
20AGP,20AGP,parsed,20,,AGP,2#0AGP,,Intermediate,
20AGQ,20AGQ,parsed,20,,AGQ,2#0AGQ,,Intermediate,
20AGR,20AGR,parsed,20,,AGR,2#0AGR,,Intermediate,
20AGS,20AGS,parsed,20,,AGS,2#0AGS,,Intermediate,
20AGT,20AGT,parsed,20,,AGT,2#0AGT,,Intermediate,
20AGU,20AGU,parsed,20,,AGU,2#0AGU,,Intermediate,
20AGV,20AGV,parsed,20,,AGV,2#0AGV,,Intermediate,
20AGW,20AGW,parsed,20,,AGW,2#0AGW,,Intermediate,
20AGX,20AGX,parsed,20,,AGX,2#0AGX,,Intermediate,
20AGY,20AGY,parsed,20,,AGY,2#0AGY,,Intermediate,
20AHA,20AHA,parsed,20,,AHA,2#0AHA,,Intermediate,
20AHB,20AHB,parsed,20,,AHB,2#0AHB,,Intermediate,
20AHC,20AHC,parsed,20,,AHC,2#0AHC,,Intermediate,
20AHD,20AHD,parsed,20,,AHD,2#0AHD,,Intermediate,
20AHE,20AHE,parsed,20,,AHE,2#0AHE,,Intermediate,
20AHF,20AHF,parsed,20,,AHF,2#0AHF,,Intermediate,
20AHG,20AHG,parsed,20,,AHG,2#0AHG,,Intermediate,
20AHH,20AHH,parsed,20,,AHH,2#0AHH,,Intermediate,
20AHI,20AHI,parsed,20,,AHI,2#0AHI,,Intermediate,
20AHJ,20AHJ,parsed,20,,AHJ,2#0AHJ,,Intermediate,
20AHK,20AHK,parsed,20,,AHK,2#0AHK,,Intermediate,
20AHL,20AHL,parsed,20,,AHL,2#0AHL,,Intermediate,
20AHM,20AHM,parsed,20,,AHM,2#0AHM,,Intermediate,
20AHN,20AHN,parsed,20,,AHN,2#0AHN,,Intermediate,
20AHO,20AHO,parsed,20,,AHO,2#0AHO,,Intermediate,
20AHP,20AHP,parsed,20,,AHP,2#0AHP,,Intermediate,
20AHQ,20AHQ,parsed,20,,AHQ,2#0AHQ,,Intermediate,
20AHR,20AHR,parsed,20,,AHR,2#0AHR,,Intermediate,
20AHS,20AHS,parsed,20,,AHS,2#0AHS,,Intermediate,
20AHT,20AHT,parsed,20,,AHT,2#0AHT,,Intermediate,
20AHU,20AHU,parsed,20,,AHU,2#0AHU,,Intermediate,
20AHV,20AHV,parsed,20,,AHV,2#0AHV,,Intermediate,
20AHW,20AHW,parsed,20,,AHW,2#0AHW,,Intermediate,
20AHX,20AHX,parsed,20,,AHX,2#0AHX,,Intermediate,
20AHY,20AHY,parsed,20,,AHY,2#0AHY,,Intermediate,
20AIA,20AIA,parsed,20,,AIA,2#0AIA,,Intermediate,
20AIB,20AIB,parsed,20,,AIB,2#0AIB,,Intermediate,
20AIC,20AIC,parsed,20,,AIC,2#0AIC,,Intermediate,
20AIE,20AIE,parsed,20,,AIE,2#0AIE,,Intermediate,
20AIF,20AIF,parsed,20,,AIF,2#0AIF,,Intermediate,
20AIG,20AIG,parsed,20,,AIG,2#0AIG,,Intermediate,
20AIH,20AIH,parsed,20,,AIH,2#0AIH,,Intermediate,
20AII,20AII,parsed,20,,AII,2#0AII,,Intermediate,
20AIJ,20AIJ,parsed,20,,AIJ,2#0AIJ,,Intermediate,
20AIK,20AIK,parsed,20,,AIK,2#0AIK,,Intermediate,
20AIL,20AIL,parsed,20,,AIL,2#0AIL,,Intermediate,
20AIM,20AIM,parsed,20,,AIM,2#0AIM,,Intermediate,
20AIN,20AIN,parsed,20,,AIN,2#0AIN,,Intermediate,
20AIO,20AIO,parsed,20,,AIO,2#0AIO,,Intermediate,
20AIP,20AIP,parsed,20,,AIP,2#0AIP,,Intermediate,
20AIQ,20AIQ,parsed,20,,AIQ,2#0AIQ,,Intermediate,
20AIR,20AIR,parsed,20,,AIR,2#0AIR,,Intermediate,
20AIS,20AIS,parsed,20,,AIS,2#0AIS,,Intermediate,
20AIT,20AIT,parsed,20,,AIT,2#0AIT,,Intermediate,
20AIU,20AIU,parsed,20,,AIU,2#0AIU,,Intermediate,
20AIV,20AIV,parsed,20,,AIV,2#0AIV,,Intermediate,
20AIW,20AIW,parsed,20,,AIW,2#0AIW,,Intermediate,
20AIX,20AIX,parsed,20,,AIX,2#0AIX,,Intermediate,
20AIY,20AIY,parsed,20,,AIY,2#0AIY,,Intermediate,
20AJA,20AJA,parsed,20,,AJA,2#0AJA,,Intermediate,
20AJB,20AJB,parsed,20,,AJB,2#0AJB,,Intermediate,
20AJC,20AJC,parsed,20,,AJC,2#0AJC,,Intermediate,
20AJD,20AJD,parsed,20,,AJD,2#0AJD,,Intermediate,
20AJE,20AJE,parsed,20,,AJE,2#0AJE,,Intermediate,
20AJF,20AJF,parsed,20,,AJF,2#0AJF,,Intermediate,
20AJG,20AJG,parsed,20,,AJG,2#0AJG,,Intermediate,
20AJH,20AJH,parsed,20,,AJH,2#0AJH,,Intermediate,
20AJI,20AJI,parsed,20,,AJI,2#0AJI,,Intermediate,
20AJJ,20AJJ,parsed,20,,AJJ,2#0AJJ,,Intermediate,
20AJK,20AJK,parsed,20,,AJK,2#0AJK,,Intermediate,
20AJL,20AJL,parsed,20,,AJL,2#0AJL,,Intermediate,
20AJM,20AJM,parsed,20,,AJM,2#0AJM,,Intermediate,
20AJN,20AJN,parsed,20,,AJN,2#0AJN,,Intermediate,
20AJO,20AJO,parsed,20,,AJO,2#0AJO,,Intermediate,
20AJP,20AJP,parsed,20,,AJP,2#0AJP,,Intermediate,
20AJQ,20AJQ,parsed,20,,AJQ,2#0AJQ,,Intermediate,
20AJR,20AJR,parsed,20,,AJR,2#0AJR,,Intermediate,
20AJS,20AJS,parsed,20,,AJS,2#0AJS,,Intermediate,
20AJT,20AJT,parsed,20,,AJT,2#0AJT,,Intermediate,
20AJU,20AJU,parsed,20,,AJU,2#0AJU,,Intermediate,
20AJV,20AJV,parsed,20,,AJV,2#0AJV,,Intermediate,
20AJW,20AJW,parsed,20,,AJW,2#0AJW,,Intermediate,
20AJX,20AJX,parsed,20,,AJX,2#0AJX,,Intermediate,
20AJY,20AJY,parsed,20,,AJY,2#0AJY,,Intermediate,
20AJZ,20AJZ,parsed,20,,AJZ,2#0AJZ,,Intermediate,
20AKA,20AKA,parsed,20,,AKA,2#0AKA,,Intermediate,
20AKB,20AKB,parsed,20,,AKB,2#0AKB,,Intermediate,
20AKC,20AKC,parsed,20,,AKC,2#0AKC,,Intermediate,
20AKD,20AKD,parsed,20,,AKD,2#0AKD,,Intermediate,
20AKE,20AKE,parsed,20,,AKE,2#0AKE,,Intermediate,
20AKF,20AKF,parsed,20,,AKF,2#0AKF,,Intermediate,
