callsign,cleaned,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20MCN,20MCN,parsed,20,,MCN,2#0MCN,,Intermediate,
20MCO,20MCO,parsed,20,,MCO,2#0MCO,,Intermediate,
20MCP,20MCP,parsed,20,,MCP,2#0MCP,,Intermediate,
20MCQ,20MCQ,parsed,20,,MCQ,2#0MCQ,,Intermediate,
20MCR,20MCR,parsed,20,,MCR,2#0MCR,,Intermediate,
20MCS,20MCS,parsed,20,,MCS,2#0MCS,,Intermediate,
20MCT,20MCT,parsed,20,,MCT,2#0MCT,,Intermediate,
20MCU,20MCU,parsed,20,,MCU,2#0MCU,,Intermediate,
20MCV,20MCV,parsed,20,,MCV,2#0MCV,,Intermediate,
20MCW,20MCW,parsed,20,,MCW,2#0MCW,,Intermediate,
20MCX,20MCX,parsed,20,,MCX,2#0MCX,,Intermediate,
20MCY,20MCY,parsed,20,,MCY,2#0MCY,,Intermediate,
20MCZ,20MCZ,parsed,20,,MCZ,2#0MCZ,,Intermediate,
20MD,20MD,parsed,20,,MD,2#0MD,,Intermediate,
20MDA,20MDA,parsed,20,,MDA,2#0MDA,,Intermediate,
20MDB,20MDB,parsed,20,,MDB,2#0MDB,,Intermediate,
20MDC,20MDC,parsed,20,,MDC,2#0MDC,,Intermediate,
20MDD,20MDD,parsed,20,,MDD,2#0MDD,,Intermediate,
20MDE,20MDE,parsed,20,,MDE,2#0MDE,,Intermediate,
20MDF,20MDF,parsed,20,,MDF,2#0MDF,,Intermediate,
20MDG,20MDG,parsed,20,,MDG,2#0MDG,,Intermediate,
20MDH,20MDH,parsed,20,,MDH,2#0MDH,,Intermediate,
20MDI,20MDI,parsed,20,,MDI,2#0MDI,,Intermediate,
20MDJ,20MDJ,parsed,20,,MDJ,2#0MDJ,,Intermediate,
20MDK,20MDK,parsed,20,,MDK,2#0MDK,,Intermediate,
20MDL,20MDL,parsed,20,,MDL,2#0MDL,,Intermediate,
20MDM,20MDM,parsed,20,,MDM,2#0MDM,,Intermediate,
20MDN,20MDN,parsed,20,,MDN,2#0MDN,,Intermediate,
20MDO,20MDO,parsed,20,,MDO,2#0MDO,,Intermediate,
20MDP,20MDP,parsed,20,,MDP,2#0MDP,,Intermediate,
20MDQ,20MDQ,parsed,20,,MDQ,2#0MDQ,,Intermediate,
20MDR,20MDR,parsed,20,,MDR,2#0MDR,,Intermediate,
20MDS,20MDS,parsed,20,,MDS,2#0MDS,,Intermediate,
20MDT,20MDT,parsed,20,,MDT,2#0MDT,,Intermediate,
20MDU,20MDU,parsed,20,,MDU,2#0MDU,,Intermediate,
20MDV,20MDV,parsed,20,,MDV,2#0MDV,,Intermediate,
20MDW,20MDW,parsed,20,,MDW,2#0MDW,,Intermediate,
20MDX,20MDX,parsed,20,,MDX,2#0MDX,,Intermediate,
20MDY,20MDY,parsed,20,,MDY,2#0MDY,,Intermediate,
20MDZ,20MDZ,parsed,20,,MDZ,2#0MDZ,,Intermediate,
20MEA,20MEA,parsed,20,,MEA,2#0MEA,,Intermediate,
20MEB,20MEB,parsed,20,,MEB,2#0MEB,,Intermediate,
20MEC,20MEC,parsed,20,,MEC,2#0MEC,,Intermediate,
20MED,20MED,parsed,20,,MED,2#0MED,,Intermediate,
20MEE,20MEE,parsed,20,,MEE,2#0MEE,,Intermediate,
20MEF,20MEF,parsed,20,,MEF,2#0MEF,,Intermediate,
20MEG,20MEG,parsed,20,,MEG,2#0MEG,,Intermediate,
20MEH,20MEH,parsed,20,,MEH,2#0MEH,,Intermediate,
20MEI,20MEI,parsed,20,,MEI,2#0MEI,,Intermediate,
20MEJ,20MEJ,parsed,20,,MEJ,2#0MEJ,,Intermediate,
20MEK,20MEK,parsed,20,,MEK,2#0MEK,,Intermediate,
20MEL,20MEL,parsed,20,,MEL,2#0MEL,,Intermediate,
20MEM,20MEM,parsed,20,,MEM,2#0MEM,,Intermediate,
20MEN,20MEN,parsed,20,,MEN,2#0MEN,,Intermediate,
20MEO,20MEO,parsed,20,,MEO,2#0MEO,,Intermediate,
20MEP,20MEP,parsed,20,,MEP,2#0MEP,,Intermediate,
20MEQ,20MEQ,parsed,20,,MEQ,2#0MEQ,,Intermediate,
20MER,20MER,parsed,20,,MER,2#0MER,,Intermediate,
20MES,20MES,parsed,20,,MES,2#0MES,,Intermediate,
20MET,20MET,parsed,20,,MET,2#0MET,,Intermediate,
20MEU,20MEU,parsed,20,,MEU,2#0MEU,,Intermediate,
20MEV,20MEV,parsed,20,,MEV,2#0MEV,,Intermediate,
20MEW,20MEW,parsed,20,,MEW,2#0MEW,,Intermediate,
20MEX,20MEX,parsed,20,,MEX,2#0MEX,,Intermediate,
20MEY,20MEY,parsed,20,,MEY,2#0MEY,,Intermediate,
20MEZ,20MEZ,parsed,20,,MEZ,2#0MEZ,,Intermediate,
20MFA,20MFA,parsed,20,,MFA,2#0MFA,,Intermediate,
20MFB,20MFB,parsed,20,,MFB,2#0MFB,,Intermediate,
20MFC,20MFC,parsed,20,,MFC,2#0MFC,,Intermediate,
20MFD,20MFD,parsed,20,,MFD,2#0MFD,,Intermediate,
20MFE,20MFE,parsed,20,,MFE,2#0MFE,,Intermediate,
20MFF,20MFF,parsed,20,,MFF,2#0MFF,,Intermediate,
20MFG,20MFG,parsed,20,,MFG,2#0MFG,,Intermediate,
20MFH,20MFH,parsed,20,,MFH,2#0MFH,,Intermediate,
20MFI,20MFI,parsed,20,,MFI,2#0MFI,,Intermediate,
20MFJ,20MFJ,parsed,20,,MFJ,2#0MFJ,,Intermediate,
20MFK,20MFK,parsed,20,,MFK,2#0MFK,,Intermediate,
20MFL,20MFL,parsed,20,,MFL,2#0MFL,,Intermediate,
20MFM,20MFM,parsed,20,,MFM,2#0MFM,,Intermediate,
20MFN,20MFN,parsed,20,,MFN,2#0MFN,,Intermediate,
20MFO,20MFO,parsed,20,,MFO,2#0MFO,,Intermediate,
20MFP,20MFP,parsed,20,,MFP,2#0MFP,,Intermediate,
20MFQ,20MFQ,parsed,20,,MFQ,2#0MFQ,,Intermediate,
20MFR,20MFR,parsed,20,,MFR,2#0MFR,,Intermediate,
20MFS,20MFS,parsed,20,,MFS,2#0MFS,,Intermediate,
20MFT,20MFT,parsed,20,,MFT,2#0MFT,,Intermediate,
20MFV,20MFV,parsed,20,,MFV,2#0MFV,,Intermediate,
20MFW,20MFW,parsed,20,,MFW,2#0MFW,,Intermediate,
20MFX,20MFX,parsed,20,,MFX,2#0MFX,,Intermediate,
20MGA,20MGA,parsed,20,,MGA,2#0MGA,,Intermediate,
20MGB,20MGB,parsed,20,,MGB,2#0MGB,,Intermediate,
20MGC,20MGC,parsed,20,,MGC,2#0MGC,,Intermediate,
20MGD,20MGD,parsed,20,,MGD,2#0MGD,,Intermediate,
20MGE,20MGE,parsed,20,,MGE,2#0MGE,,Intermediate,
20MGF,20MGF,parsed,20,,MGF,2#0MGF,,Intermediate,
20MGG,20MGG,parsed,20,,MGG,2#0MGG,,Intermediate,
20MGH,20MGH,parsed,20,,MGH,2#0MGH,,Intermediate,
20MGI,20MGI,parsed,20,,MGI,2#0MGI,,Intermediate,
20MGK,20MGK,parsed,20,,MGK,2#0MGK,,Intermediate,
20MGL,20MGL,parsed,20,,MGL,2#0MGL,,Intermediate,
20MGM,20MGM,parsed,20,,MGM,2#0MGM,,Intermediate,
20MGN,20MGN,parsed,20,,MGN,2#0MGN,,Intermediate,
20MGO,20MGO,parsed,20,,MGO,2#0MGO,,Intermediate,
20MGP,20MGP,parsed,20,,MGP,2#0MGP,,Intermediate,
20MGR,20MGR,parsed,20,,MGR,2#0MGR,,Intermediate,
20MGS,20MGS,parsed,20,,MGS,2#0MGS,,Intermediate,
20MGT,20MGT,parsed,20,,MGT,2#0MGT,,Intermediate,
20MGU,20MGU,parsed,20,,MGU,2#0MGU,,Intermediate,
20MGV,20MGV,parsed,20,,MGV,2#0MGV,,Intermediate,
20MGW,20MGW,parsed,20,,MGW,2#0MGW,,Intermediate,
20MGX,20MGX,parsed,20,,MGX,2#0MGX,,Intermediate,
20MGY,20MGY,parsed,20,,MGY,2#0MGY,,Intermediate,
20MHA,20MHA,parsed,20,,MHA,2#0MHA,,Intermediate,
20MHB,20MHB,parsed,20,,MHB,2#0MHB,,Intermediate,
20MHC,20MHC,parsed,20,,MHC,2#0MHC,,Intermediate,
20MHD,20MHD,parsed,20,,MHD,2#0MHD,,Intermediate,
20MHE,20MHE,parsed,20,,MHE,2#0MHE,,Intermediate,
20MHF,20MHF,parsed,20,,MHF,2#0MHF,,Intermediate,
20MHG,20MHG,parsed,20,,MHG,2#0MHG,,Intermediate,
20MHH,20MHH,parsed,20,,MHH,2#0MHH,,Intermediate,
20MHI,20MHI,parsed,20,,MHI,2#0MHI,,Intermediate,
20MHJ,20MHJ,parsed,20,,MHJ,2#0MHJ,,Intermediate,
20MHK,20MHK,parsed,20,,MHK,2#0MHK,,Intermediate,
20MHL,20MHL,parsed,20,,MHL,2#0MHL,,Intermediate,
20MHM,20MHM,parsed,20,,MHM,2#0MHM,,Intermediate,
20MHN,20MHN,parsed,20,,MHN,2#0MHN,,Intermediate,
20MHO,20MHO,parsed,20,,MHO,2#0MHO,,Intermediate,
20MHQ,20MHQ,parsed,20,,MHQ,2#0MHQ,,Intermediate,
20MHR,20MHR,parsed,20,,MHR,2#0MHR,,Intermediate,
20MHS,20MHS,parsed,20,,MHS,2#0MHS,,Intermediate,
20MHT,20MHT,parsed,20,,MHT,2#0MHT,,Intermediate,
20MHU,20MHU,parsed,20,,MHU,2#0MHU,,Intermediate,
20MHW,20MHW,parsed,20,,MHW,2#0MHW,,Intermediate,
20MHX,20MHX,parsed,20,,MHX,2#0MHX,,Intermediate,
20MHY,20MHY,parsed,20,,MHY,2#0MHY,,Intermediate,
20MIA,20MIA,parsed,20,,MIA,2#0MIA,,Intermediate,
20MIB,20MIB,parsed,20,,MIB,2#0MIB,,Intermediate,
20MIC,20MIC,parsed,20,,MIC,2#0MIC,,Intermediate,
20MID,20MID,parsed,20,,MID,2#0MID,,Intermediate,
20MIE,20MIE,parsed,20,,MIE,2#0MIE,,Intermediate,
20MIF,20MIF,parsed,20,,MIF,2#0MIF,,Intermediate,
20MIG,20MIG,parsed,20,,MIG,2#0MIG,,Intermediate,
20MIH,20MIH,parsed,20,,MIH,2#0MIH,,Intermediate,
20MII,20MII,parsed,20,,MII,2#0MII,,Intermediate,
20MIJ,20MIJ,parsed,20,,MIJ,2#0MIJ,,Intermediate,
20MIK,20MIK,parsed,20,,MIK,2#0MIK,,Intermediate,
20MIL,20MIL,parsed,20,,MIL,2#0MIL,,Intermediate,
20MIM,20MIM,parsed,20,,MIM,2#0MIM,,Intermediate,
20MIN,20MIN,parsed,20,,MIN,2#0MIN,,Intermediate,forbidden-suffix
20MIO,20MIO,parsed,20,,MIO,2#0MIO,,Intermediate,
20MIP,20MIP,parsed,20,,MIP,2#0MIP,,Intermediate,
20MIQ,20MIQ,parsed,20,,MIQ,2#0MIQ,,Intermediate,
20MIR,20MIR,parsed,20,,MIR,2#0MIR,,Intermediate,
20MIS,20MIS,parsed,20,,MIS,2#0MIS,,Intermediate,
20MIT,20MIT,parsed,20,,MIT,2#0MIT,,Intermediate,
20MIU,20MIU,parsed,20,,MIU,2#0MIU,,Intermediate,
20MIV,20MIV,parsed,20,,MIV,2#0MIV,,Intermediate,
20MIW,20MIW,parsed,20,,MIW,2#0MIW,,Intermediate,
20MIX,20MIX,parsed,20,,MIX,2#0MIX,,Intermediate,
20MIY,20MIY,parsed,20,,MIY,2#0MIY,,Intermediate,
20MIZ,20MIZ,parsed,20,,MIZ,2#0MIZ,,Intermediate,
20MJA,20MJA,parsed,20,,MJA,2#0MJA,,Intermediate,
20MJB,20MJB,parsed,20,,MJB,2#0MJB,,Intermediate,
20MJC,20MJC,parsed,20,,MJC,2#0MJC,,Intermediate,
20MJD,20MJD,parsed,20,,MJD,2#0MJD,,Intermediate,
20MJE,20MJE,parsed,20,,MJE,2#0MJE,,Intermediate,
20MJF,20MJF,parsed,20,,MJF,2#0MJF,,Intermediate,
20MJG,20MJG,parsed,20,,MJG,2#0MJG,,Intermediate,
20MJH,20MJH,parsed,20,,MJH,2#0MJH,,Intermediate,
20MJI,20MJI,parsed,20,,MJI,2#0MJI,,Intermediate,
20MJJ,20MJJ,parsed,20,,MJJ,2#0MJJ,,Intermediate,
20MJK,20MJK,parsed,20,,MJK,2#0MJK,,Intermediate,
20MJL,20MJL,parsed,20,,MJL,2#0MJL,,Intermediate,
20MJM,20MJM,parsed,20,,MJM,2#0MJM,,Intermediate,
20MJN,20MJN,parsed,20,,MJN,2#0MJN,,Intermediate,
20MJO,20MJO,parsed,20,,MJO,2#0MJO,,Intermediate,
20MJP,20MJP,parsed,20,,MJP,2#0MJP,,Intermediate,
20MJR,20MJR,parsed,20,,MJR,2#0MJR,,Intermediate,
20MJS,20MJS,parsed,20,,MJS,2#0MJS,,Intermediate,
20MJT,20MJT,parsed,20,,MJT,2#0MJT,,Intermediate,
20MJU,20MJU,parsed,20,,MJU,2#0MJU,,Intermediate,
20MJV,20MJV,parsed,20,,MJV,2#0MJV,,Intermediate,
20MJW,20MJW,parsed,20,,MJW,2#0MJW,,Intermediate,
20MJX,20MJX,parsed,20,,MJX,2#0MJX,,Intermediate,
20MJY,20MJY,parsed,20,,MJY,2#0MJY,,Intermediate,
20MJZ,20MJZ,parsed,20,,MJZ,2#0MJZ,,Intermediate,
20MK,20MK,parsed,20,,MK,2#0MK,,Intermediate,
20MKA,20MKA,parsed,20,,MKA,2#0MKA,,Intermediate,
20MKB,20MKB,parsed,20,,MKB,2#0MKB,,Intermediate,
20MKC,20MKC,parsed,20,,MKC,2#0MKC,,Intermediate,
20MKD,20MKD,parsed,20,,MKD,2#0MKD,,Intermediate,
20MKE,20MKE,parsed,20,,MKE,2#0MKE,,Intermediate,
20MKF,20MKF,parsed,20,,MKF,2#0MKF,,Intermediate,
20MKG,20MKG,parsed,20,,MKG,2#0MKG,,Intermediate,
20MKH,20MKH,parsed,20,,MKH,2#0MKH,,Intermediate,
20MKI,20MKI,parsed,20,,MKI,2#0MKI,,Intermediate,
20MKJ,20MKJ,parsed,20,,MKJ,2#0MKJ,,Intermediate,
20MKK,20MKK,parsed,20,,MKK,2#0MKK,,Intermediate,
20MKL,20MKL,parsed,20,,MKL,2#0MKL,,Intermediate,
20MKM,20MKM,parsed,20,,MKM,2#0MKM,,Intermediate,
20MKN,20MKN,parsed,20,,MKN,2#0MKN,,Intermediate,
20MKO,20MKO,parsed,20,,MKO,2#0MKO,,Intermediate,
20MKP,20MKP,parsed,20,,MKP,2#0MKP,,Intermediate,
20MKQ,20MKQ,parsed,20,,MKQ,2#0MKQ,,Intermediate,
20MKR,20MKR,parsed,20,,MKR,2#0MKR,,Intermediate,
20MKS,20MKS,parsed,20,,MKS,2#0MKS,,Intermediate,
20MKT,20MKT,parsed,20,,MKT,2#0MKT,,Intermediate,
20MKU,20MKU,parsed,20,,MKU,2#0MKU,,Intermediate,
20MKV,20MKV,parsed,20,,MKV,2#0MKV,,Intermediate,
20MKW,20MKW,parsed,20,,MKW,2#0MKW,,Intermediate,
20MKX,20MKX,parsed,20,,MKX,2#0MKX,,Intermediate,
20MKY,20MKY,parsed,20,,MKY,2#0MKY,,Intermediate,
20MKZ,20MKZ,parsed,20,,MKZ,2#0MKZ,,Intermediate,
20MLA,20MLA,parsed,20,,MLA,2#0MLA,,Intermediate,
20MLB,20MLB,parsed,20,,MLB,2#0MLB,,Intermediate,
20MLC,20MLC,parsed,20,,MLC,2#0MLC,,Intermediate,
20MLD,20MLD,parsed,20,,MLD,2#0MLD,,Intermediate,
20MLE,20MLE,parsed,20,,MLE,2#0MLE,,Intermediate,
20MLF,20MLF,parsed,20,,MLF,2#0MLF,,Intermediate,
20MLG,20MLG,parsed,20,,MLG,2#0MLG,,Intermediate,
20MLH,20MLH,parsed,20,,MLH,2#0MLH,,Intermediate,
20MLJ,20MLJ,parsed,20,,MLJ,2#0MLJ,,Intermediate,
20MLK,20MLK,parsed,20,,MLK,2#0MLK,,Intermediate,
20MLL,20MLL,parsed,20,,MLL,2#0MLL,,Intermediate,
20MLM,20MLM,parsed,20,,MLM,2#0MLM,,Intermediate,
20MLN,20MLN,parsed,20,,MLN,2#0MLN,,Intermediate,
20MLO,20MLO,parsed,20,,MLO,2#0MLO,,Intermediate,
20MLP,20MLP,parsed,20,,MLP,2#0MLP,,Intermediate,
20MLR,20MLR,parsed,20,,MLR,2#0MLR,,Intermediate,
20MLS,20MLS,parsed,20,,MLS,2#0MLS,,Intermediate,
20MLT,20MLT,parsed,20,,MLT,2#0MLT,,Intermediate,
20MLV,20MLV,parsed,20,,MLV,2#0MLV,,Intermediate,
20MLW,20MLW,parsed,20,,MLW,2#0MLW,,Intermediate,
20MLX,20MLX,parsed,20,,MLX,2#0MLX,,Intermediate,
20MLY,20MLY,parsed,20,,MLY,2#0MLY,,Intermediate,
20MLZ,20MLZ,parsed,20,,MLZ,2#0MLZ,,Intermediate,
20MMA,20MMA,parsed,20,,MMA,2#0MMA,,Intermediate,
20MMB,20MMB,parsed,20,,MMB,2#0MMB,,Intermediate,
20MMC,20MMC,parsed,20,,MMC,2#0MMC,,Intermediate,
20MMD,20MMD,parsed,20,,MMD,2#0MMD,,Intermediate,
20MME,20MME,parsed,20,,MME,2#0MME,,Intermediate,
20MMF,20MMF,parsed,20,,MMF,2#0MMF,,Intermediate,
20MMG,20MMG,parsed,20,,MMG,2#0MMG,,Intermediate,
20MMH,20MMH,parsed,20,,MMH,2#0MMH,,Intermediate,
20MMI,20MMI,parsed,20,,MMI,2#0MMI,,Intermediate,
20MMJ,20MMJ,parsed,20,,MMJ,2#0MMJ,,Intermediate,
20MMK,20MMK,parsed,20,,MMK,2#0MMK,,Intermediate,
20MML,20MML,parsed,20,,MML,2#0MML,,Intermediate,
20MMM,20MMM,parsed,20,,MMM,2#0MMM,,Intermediate,
20MMN,20MMN,parsed,20,,MMN,2#0MMN,,Intermediate,
20MMO,20MMO,parsed,20,,MMO,2#0MMO,,Intermediate,
20MMP,20MMP,parsed,20,,MMP,2#0MMP,,Intermediate,
20MMR,20MMR,parsed,20,,MMR,2#0MMR,,Intermediate,
20MMS,20MMS,parsed,20,,MMS,2#0MMS,,Intermediate,
20MMT,20MMT,parsed,20,,MMT,2#0MMT,,Intermediate,
20MMU,20MMU,parsed,20,,MMU,2#0MMU,,Intermediate,
20MMV,20MMV,parsed,20,,MMV,2#0MMV,,Intermediate,
20MMW,20MMW,parsed,20,,MMW,2#0MMW,,Intermediate,
20MMX,20MMX,parsed,20,,MMX,2#0MMX,,Intermediate,
20MMY,20MMY,parsed,20,,MMY,2#0MMY,,Intermediate,
20MNA,20MNA,parsed,20,,MNA,2#0MNA,,Intermediate,
20MNB,20MNB,parsed,20,,MNB,2#0MNB,,Intermediate,
20MNC,20MNC,parsed,20,,MNC,2#0MNC,,Intermediate,
20MND,20MND,parsed,20,,MND,2#0MND,,Intermediate,
20MNE,20MNE,parsed,20,,MNE,2#0MNE,,Intermediate,
20MNF,20MNF,parsed,20,,MNF,2#0MNF,,Intermediate,
20MNG,20MNG,parsed,20,,MNG,2#0MNG,,Intermediate,
20MNH,20MNH,parsed,20,,MNH,2#0MNH,,Intermediate,
20MNI,20MNI,parsed,20,,MNI,2#0MNI,,Intermediate,
20MNJ,20MNJ,parsed,20,,MNJ,2#0MNJ,,Intermediate,
20MNK,20MNK,parsed,20,,MNK,2#0MNK,,Intermediate,
20MNL,20MNL,parsed,20,,MNL,2#0MNL,,Intermediate,
20MNM,20MNM,parsed,20,,MNM,2#0MNM,,Intermediate,
20MNN,20MNN,parsed,20,,MNN,2#0MNN,,Intermediate,
20MNO,20MNO,parsed,20,,MNO,2#0MNO,,Intermediate,
20MNP,20MNP,parsed,20,,MNP,2#0MNP,,Intermediate,
20MNR,20MNR,parsed,20,,MNR,2#0MNR,,Intermediate,
20MNS,20MNS,parsed,20,,MNS,2#0MNS,,Intermediate,
20MNT,20MNT,parsed,20,,MNT,2#0MNT,,Intermediate,
20MNU,20MNU,parsed,20,,MNU,2#0MNU,,Intermediate,
20MNV,20MNV,parsed,20,,MNV,2#0MNV,,Intermediate,
20MNX,20MNX,parsed,20,,MNX,2#0MNX,,Intermediate,
20MNY,20MNY,parsed,20,,MNY,2#0MNY,,Intermediate,
20MNZ,20MNZ,parsed,20,,MNZ,2#0MNZ,,Intermediate,
20MOA,20MOA,parsed,20,,MOA,2#0MOA,,Intermediate,
20MOB,20MOB,parsed,20,,MOB,2#0MOB,,Intermediate,
20MOC,20MOC,parsed,20,,MOC,2#0MOC,,Intermediate,
20MOD,20MOD,parsed,20,,MOD,2#0MOD,,Intermediate,
20MOE,20MOE,parsed,20,,MOE,2#0MOE,,Intermediate,
20MOF,20MOF,parsed,20,,MOF,2#0MOF,,Intermediate,
20MOG,20MOG,parsed,20,,MOG,2#0MOG,,Intermediate,
20MOH,20MOH,parsed,20,,MOH,2#0MOH,,Intermediate,
20MOI,20MOI,parsed,20,,MOI,2#0MOI,,Intermediate,
20MOK,20MOK,parsed,20,,MOK,2#0MOK,,Intermediate,
20MOL,20MOL,parsed,20,,MOL,2#0MOL,,Intermediate,
20MOM,20MOM,parsed,20,,MOM,2#0MOM,,Intermediate,
20MON,20MON,parsed,20,,MON,2#0MON,,Intermediate,
20MOP,20MOP,parsed,20,,MOP,2#0MOP,,Intermediate,
20MOR,20MOR,parsed,20,,MOR,2#0MOR,,Intermediate,
20MOS,20MOS,parsed,20,,MOS,2#0MOS,,Intermediate,
20MOT,20MOT,parsed,20,,MOT,2#0MOT,,Intermediate,
20MOU,20MOU,parsed,20,,MOU,2#0MOU,,Intermediate,
20MOV,20MOV,parsed,20,,MOV,2#0MOV,,Intermediate,
20MOW,20MOW,parsed,20,,MOW,2#0MOW,,Intermediate,
20MOX,20MOX,parsed,20,,MOX,2#0MOX,,Intermediate,
20MOY,20MOY,parsed,20,,MOY,2#0MOY,,Intermediate,
20MOZ,20MOZ,parsed,20,,MOZ,2#0MOZ,,Intermediate,
20MPA,20MPA,parsed,20,,MPA,2#0MPA,,Intermediate,
20MPB,20MPB,parsed,20,,MPB,2#0MPB,,Intermediate,
20MPC,20MPC,parsed,20,,MPC,2#0MPC,,Intermediate,
20MPD,20MPD,parsed,20,,MPD,2#0MPD,,Intermediate,
20MPE,20MPE,parsed,20,,MPE,2#0MPE,,Intermediate,
20MPF,20MPF,parsed,20,,MPF,2#0MPF,,Intermediate,
20MPG,20MPG,parsed,20,,MPG,2#0MPG,,Intermediate,
20MPH,20MPH,parsed,20,,MPH,2#0MPH,,Intermediate,
20MPI,20MPI,parsed,20,,MPI,2#0MPI,,Intermediate,
20MPJ,20MPJ,parsed,20,,MPJ,2#0MPJ,,Intermediate,
20MPK,20MPK,parsed,20,,MPK,2#0MPK,,Intermediate,
20MPL,20MPL,parsed,20,,MPL,2#0MPL,,Intermediate,
20MPM,20MPM,parsed,20,,MPM,2#0MPM,,Intermediate,
20MPN,20MPN,parsed,20,,MPN,2#0MPN,,Intermediate,
20MPO,20MPO,parsed,20,,MPO,2#0MPO,,Intermediate,
20MPP,20MPP,parsed,20,,MPP,2#0MPP,,Intermediate,
20MPQ,20MPQ,parsed,20,,MPQ,2#0MPQ,,Intermediate,
20MPR,20MPR,parsed,20,,MPR,2#0MPR,,Intermediate,
20MPS,20MPS,parsed,20,,MPS,2#0MPS,,Intermediate,
20MPT,20MPT,parsed,20,,MPT,2#0MPT,,Intermediate,
20MPU,20MPU,parsed,20,,MPU,2#0MPU,,Intermediate,
20MPW,20MPW,parsed,20,,MPW,2#0MPW,,Intermediate,
20MPX,20MPX,parsed,20,,MPX,2#0MPX,,Intermediate,
20MPY,20MPY,parsed,20,,MPY,2#0MPY,,Intermediate,
20MPZ,20MPZ,parsed,20,,MPZ,2#0MPZ,,Intermediate,
20MQA,20MQA,parsed,20,,MQA,2#0MQA,,Intermediate,
20MQB,20MQB,parsed,20,,MQB,2#0MQB,,Intermediate,
20MQC,20MQC,parsed,20,,MQC,2#0MQC,,Intermediate,
20MQK,20MQK,parsed,20,,MQK,2#0MQK,,Intermediate,
20MQM,20MQM,parsed,20,,MQM,2#0MQM,,Intermediate,
20MQN,20MQN,parsed,20,,MQN,2#0MQN,,Intermediate,
20MQS,20MQS,parsed,20,,MQS,2#0MQS,,Intermediate,
20MQT,20MQT,parsed,20,,MQT,2#0MQT,,Intermediate,
20MRA,20MRA,parsed,20,,MRA,2#0MRA,,Intermediate,
20MRB,20MRB,parsed,20,,MRB,2#0MRB,,Intermediate,
20MRC,20MRC,parsed,20,,MRC,2#0MRC,,Intermediate,
20MRD,20MRD,parsed,20,,MRD,2#0MRD,,Intermediate,
20MRE,20MRE,parsed,20,,MRE,2#0MRE,,Intermediate,
20MRF,20MRF,parsed,20,,MRF,2#0MRF,,Intermediate,
20MRG,20MRG,parsed,20,,MRG,2#0MRG,,Intermediate,
20MRH,20MRH,parsed,20,,MRH,2#0MRH,,Intermediate,
20MRI,20MRI,parsed,20,,MRI,2#0MRI,,Intermediate,
20MRJ,20MRJ,parsed,20,,MRJ,2#0MRJ,,Intermediate,
20MRK,20MRK,parsed,20,,MRK,2#0MRK,,Intermediate,
20MRL,20MRL,parsed,20,,MRL,2#0MRL,,Intermediate,
20MRM,20MRM,parsed,20,,MRM,2#0MRM,,Intermediate,
20MRN,20MRN,parsed,20,,MRN,2#0MRN,,Intermediate,
20MRO,20MRO,parsed,20,,MRO,2#0MRO,,Intermediate,
20MRP,20MRP,parsed,20,,MRP,2#0MRP,,Intermediate,
20MRQ,20MRQ,parsed,20,,MRQ,2#0MRQ,,Intermediate,
20MRR,20MRR,parsed,20,,MRR,2#0MRR,,Intermediate,
20MRS,20MRS,parsed,20,,MRS,2#0MRS,,Intermediate,
20MRT,20MRT,parsed,20,,MRT,2#0MRT,,Intermediate,
20MRU,20MRU,parsed,20,,MRU,2#0MRU,,Intermediate,
20MRV,20MRV,parsed,20,,MRV,2#0MRV,,Intermediate,
20MRW,20MRW,parsed,20,,MRW,2#0MRW,,Intermediate,
20MRX,20MRX,parsed,20,,MRX,2#0MRX,,Intermediate,
20MRY,20MRY,parsed,20,,MRY,2#0MRY,,Intermediate,
20MRZ,20MRZ,parsed,20,,MRZ,2#0MRZ,,Intermediate,
20MSA,20MSA,parsed,20,,MSA,2#0MSA,,Intermediate,
20MSB,20MSB,parsed,20,,MSB,2#0MSB,,Intermediate,
20MSC,20MSC,parsed,20,,MSC,2#0MSC,,Intermediate,
20MSD,20MSD,parsed,20,,MSD,2#0MSD,,Intermediate,
20MSE,20MSE,parsed,20,,MSE,2#0MSE,,Intermediate,
20MSF,20MSF,parsed,20,,MSF,2#0MSF,,Intermediate,
20MSG,20MSG,parsed,20,,MSG,2#0MSG,,Intermediate,forbidden-suffix
20MSH,20MSH,parsed,20,,MSH,2#0MSH,,Intermediate,
20MSI,20MSI,parsed,20,,MSI,2#0MSI,,Intermediate,forbidden-suffix
20MSJ,20MSJ,parsed,20,,MSJ,2#0MSJ,,Intermediate,
20MSK,20MSK,parsed,20,,MSK,2#0MSK,,Intermediate,
20MSL,20MSL,parsed,20,,MSL,2#0MSL,,Intermediate,
20MSM,20MSM,parsed,20,,MSM,2#0MSM,,Intermediate,
20MSN,20MSN,parsed,20,,MSN,2#0MSN,,Intermediate,
20MSO,20MSO,parsed,20,,MSO,2#0MSO,,Intermediate,
20MSP,20MSP,parsed,20,,MSP,2#0MSP,,Intermediate,
20MSR,20MSR,parsed,20,,MSR,2#0MSR,,Intermediate,
20MSS,20MSS,parsed,20,,MSS,2#0MSS,,Intermediate,
