callsign,product,status,type,created_date,last_modified_date,licence_version_last_modified_date,licence_version_original_start_date
",,",,Reserved,Call Sign - Amateur,,,,
20-Apr,,Allocated,Call Sign - Amateur,,,,
20-Aug,,Reserved,Call Sign - Amateur,,,,
20-Dec,,Allocated,Call Sign - Amateur,,,,
20-Feb,,Allocated,Call Sign - Amateur,,,,
20-Jan,,Allocated,Call Sign - Amateur,,,,
20-Jul,,Allocated,Call Sign - Amateur,,,,
20-Mar,,Allocated,Call Sign - Amateur,,,,
20-May,,Allocated,Call Sign - Amateur,,,,
20-Nov,,Reserved,Call Sign - Amateur,,,,
20-Oct,,Allocated,Call Sign - Amateur,,,,
20-Sep,,Allocated,Call Sign - Amateur,,,,
20AAA,,Reserved,Call Sign - Amateur,,,,
20AAB,,Reserved,Call Sign - Amateur,,,,
20AAC,,Allocated,Call Sign - Amateur,,,,
20AAD,,Allocated,Call Sign - Amateur,,,,
20AAE,,Allocated,Call Sign - Amateur,,,,
20AAF,,Allocated,Call Sign - Amateur,,,,
20AAG,,Allocated,Call Sign - Amateur,,,,
20AAH,,Allocated,Call Sign - Amateur,,,,
20AAI,,Allocated,Call Sign - Amateur,,,,
20AAJ,,Allocated,Call Sign - Amateur,,,,
20AAK,,Allocated,Call Sign - Amateur,,,,
20AAL,,Allocated,Call Sign - Amateur,,,,
20AAM,,Allocated,Call Sign - Amateur,,,,
20AAN,,Allocated,Call Sign - Amateur,,,,
20AAO,,Allocated,Call Sign - Amateur,,,,
20AAP,,Allocated,Call Sign - Amateur,,,,
20AAQ,,Allocated,Call Sign - Amateur,,,,
20AAR,,Allocated,Call Sign - Amateur,,,,
20AAS,,Allocated,Call Sign - Amateur,,,,
20AAT,,Reserved,Call Sign - Amateur,,,,
20AAU,,Reserved,Call Sign - Amateur,,,,
20AAV,,Reserved,Call Sign - Amateur,,,,
20AAW,,Reserved,Call Sign - Amateur,,,,
20AAX,,Allocated,Call Sign - Amateur,,,,
20AAY,,Reserved,Call Sign - Amateur,,,,
20AAZ,,Allocated,Call Sign - Amateur,,,,
20ABA,,Reserved,Call Sign - Amateur,,,,
20ABB,,Reserved,Call Sign - Amateur,,,,
20ABC,,Reserved,Call Sign - Amateur,,,,
20ABD,,Allocated,Call Sign - Amateur,,,,
20ABE,,Reserved,Call Sign - Amateur,,,,
20ABF,,Reserved,Call Sign - Amateur,,,,
20ABG,,Reserved,Call Sign - Amateur,,,,
20ABH,,Reserved,Call Sign - Amateur,,,,
20ABI,,Reserved,Call Sign - Amateur,,,,
20ABJ,,Reserved,Call Sign - Amateur,,,,
20ABK,,Reserved,Call Sign - Amateur,,,,
20ABL,,Allocated,Call Sign - Amateur,,,,
20ABM,,Reserved,Call Sign - Amateur,,,,
20ABN,,Reserved,Call Sign - Amateur,,,,
20ABO,,Reserved,Call Sign - Amateur,,,,
20ABP,,Reserved,Call Sign - Amateur,,,,
20ABQ,,Reserved,Call Sign - Amateur,,,,
20ABR,,Reserved,Call Sign - Amateur,,,,
20ABS,,Reserved,Call Sign - Amateur,,,,
20ABT,,Allocated,Call Sign - Amateur,,,,
20ABU,,Reserved,Call Sign - Amateur,,,,
20ABV,,Reserved,Call Sign - Amateur,,,,
20ABW,,Allocated,Call Sign - Amateur,,,,
20ABX,,Reserved,Call Sign - Amateur,,,,
20ABY,,Reserved,Call Sign - Amateur,,,,
20ABZ,,Reserved,Call Sign - Amateur,,,,
20ACA,,Allocated,Call Sign - Amateur,,,,
20ACB,,Reserved,Call Sign - Amateur,,,,
20ACC,,Reserved,Call Sign - Amateur,,,,
