callsign,status,licence_class,last_modified_date
20AAA,Reserved,Amateur Intermediate Radio Licence,2017-07-07
20AAB,Reserved,Amateur Intermediate Radio Licence,2017-07-07
20AAC,Allocated,Amateur Intermediate Radio Licence,2021-03-03
20AAD,Allocated,Amateur Intermediate Radio Licence,2021-04-28
20AAE,Allocated,Amateur Intermediate Radio Licence,2018-08-01
20AAF,Allocated,Amateur Intermediate Radio Licence,2016-08-01
20AAG,Allocated,Amateur Intermediate Radio Licence,2022-05-20
20AAH,Allocated,Amateur Intermediate Radio Licence,2018-11-16
20AAI,Allocated,Amateur Intermediate Radio Licence,2016-08-05
20AAJ,Allocated,Amateur Intermediate Radio Licence,2016-08-05
20AAK,Allocated,Amateur Intermediate Radio Licence,2016-08-05
20AAL,Allocated,Amateur Intermediate Radio Licence,2016-08-06
20AAM,Allocated,Amateur Intermediate Radio Licence,2017-03-21
20AAN,Allocated,Amateur Intermediate Radio Licence,2019-07-15
20AAO,Allocated,Amateur Intermediate Radio Licence,2016-08-06
20AAP,Allocated,Amateur Intermediate Radio Licence,2016-08-09
20AAQ,Allocated,Amateur Intermediate Radio Licence,2017-06-30
20AAR,Allocated,Amateur Intermediate Radio Licence,2016-08-11
20AAS,Allocated,Amateur Intermediate Radio Licence,2017-08-11
20AAT,Reserved,,2016-08-12
20AAU,Reserved,,2016-08-12
20AAV,Reserved,,2016-08-12
20AAW,Reserved,,2016-08-12
20AAX,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AAY,Reserved,,2016-08-12
20AAZ,Allocated,Amateur Intermediate Radio Licence,2018-02-27
20ABA,Reserved,,2016-08-12
20ABB,Reserved,,2016-08-12
20ABC,Reserved,,2016-08-12
20ABD,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ABE,Reserved,,2016-08-12
20ABF,Reserved,,2016-08-12
20ABG,Reserved,,2016-08-12
20ABH,Reserved,,2016-08-12
20ABI,Reserved,,2016-08-12
20ABJ,Reserved,,2016-08-12
20ABK,Reserved,,2016-08-12
20ABL,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ABM,Reserved,,2016-08-12
20ABN,Reserved,,2016-08-12
20ABO,Reserved,,2016-08-12
20ABP,Reserved,,2016-08-12
20ABQ,Reserved,,2016-08-12
20ABR,Reserved,,2016-08-12
20ABS,Reserved,,2016-08-12
20ABT,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ABU,Allocated,Amateur Intermediate Radio Licence,2022-10-24
20ABV,Reserved,,2016-08-12
20ABW,Allocated,Amateur Intermediate Radio Licence,2019-02-25
20ABX,Reserved,,2016-08-12
20ABY,Reserved,,2016-08-12
20ABZ,Reserved,,2016-08-12
20ACA,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACB,Reserved,,2016-08-12
20ACC,Reserved,,2016-08-12
20ACD,Reserved,Amateur Intermediate Radio Licence,2021-03-25
20ACE,Allocated,Amateur Intermediate Radio Licence,2019-06-06
20ACF,Reserved,,2016-08-12
20ACG,Reserved,,2016-08-12
20ACH,Reserved,,2016-08-12
20ACI,Reserved,,2016-08-12
20ACJ,Reserved,,2016-08-12
20ACK,Reserved,,2016-08-12
20ACL,Reserved,,2016-08-12
20ACM,Reserved,,2016-08-12
20ACN,Reserved,,2016-08-12
20ACO,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACP,Reserved,,2016-08-12
20ACQ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACR,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ACS,Allocated,Amateur Intermediate Radio Licence,2021-03-03
20ACT,Reserved,,2016-08-12
20ACU,Reserved,,2016-08-12
20ACV,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ACW,Reserved,,2016-08-12
20ACX,Reserved,,2016-08-12
20ACY,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20ACZ,Reserved,,2016-08-12
20ADA,Allocated,Amateur Intermediate Radio Licence,2017-01-18
20ADB,Reserved,,2016-08-12
20ADC,Reserved,,2016-08-12
20ADD,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ADE,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ADF,Reserved,,2016-08-12
20ADG,Reserved,,2016-08-12
20ADH,Reserved,,2016-08-12
20ADI,Reserved,,2016-08-12
20ADJ,Reserved,,2016-08-12
20ADK,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ADL,Allocated,Amateur Intermediate Radio Licence,2020-04-24
20ADM,Allocated,Amateur Intermediate Radio Licence,2020-01-05
20ADN,Allocated,Amateur Intermediate Radio Licence,2016-07-29
20ADO,Allocated,Amateur Intermediate Radio Licence,2023-06-26
20ADP,Reserved,,2016-08-12
20ADQ,Reserved,,2016-08-12
20ADR,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20ADT,Reserved,,2016-08-12
20ADU,Reserved,,2016-08-12
20ADV,Reserved,,2016-08-12
20ADW,Reserved,,2016-08-12
20ADX,Reserved,,2016-08-12
20ADY,Allocated,Amateur Intermediate Radio Licence,2020-11-02
20ADZ,Reserved,,2016-08-12
20AEA,Reserved,,2016-08-12
20AEB,Reserved,,2016-08-12
20AEC,Reserved,,2016-08-12
20AED,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AEE,Reserved,,2016-08-12
20AEF,Reserved,,2016-08-12
20AEG,Reserved,,2016-08-12
20AEH,Reserved,,2016-08-12
20AEI,Reserved,,2016-08-12
20AEJ,Reserved,,2016-08-12
20AEK,Reserved,,2016-08-12
20AEL,Reserved,,2016-08-12
20AEM,Reserved,,2016-08-12
20AEN,Reserved,,2016-08-12
20AEO,Reserved,,2016-08-12
20AEP,Reserved,,2016-08-12
20AEQ,Reserved,,2016-08-12
20AER,Allocated,Amateur Intermediate Radio Licence,2018-03-12
20AES,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AET,Reserved,,2016-08-12
20AEU,Reserved,,2016-08-12
20AEV,Reserved,,2016-08-12
20AEW,Reserved,,2016-08-12
20AEX,Reserved,,2016-08-12
20AEY,Reserved,,2016-08-12
20AEZ,Reserved,,2016-08-12
20AFA,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AFB,Reserved,,2016-08-12
20AFC,Reserved,,2016-08-12
20AFD,Reserved,,2016-08-12
20AFE,Reserved,,2016-08-12
20AFF,Reserved,,2016-08-12
20AFG,Reserved,,2016-08-12
20AFH,Reserved,,2016-08-12
20AFI,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20AFJ,Reserved,,2016-08-12
20AFK,Reserved,,2016-08-12
20AFL,Allocated,Amateur Intermediate Radio Licence,2021-10-06
20AFM,Reserved,,2016-08-12
20AFN,Reserved,,2016-08-12
20AFO,Allocated,Amateur Intermediate Radio Licence,2020-02-04
20AFP,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AFQ,Reserved,,2016-08-12
20AFR,Reserved,,2016-08-12
20AFS,Reserved,,2016-08-12
20AFT,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AFU,Reserved,,2016-08-12
20AFV,Reserved,,2016-08-12
20AFW,Reserved,,2016-08-12
20AFX,Reserved,,2016-08-12
20AFY,Reserved,,2016-08-12
20AFZ,Reserved,,2016-08-12
20AGA,Reserved,,2016-08-12
20AGB,Allocated,Amateur Intermediate Radio Licence,2019-12-23
20AGC,Reserved,,2016-08-12
20AGD,Reserved,,2016-08-12
20AGE,Reserved,,2016-08-12
20AGF,Reserved,,2016-08-12
20AGG,Reserved,,2016-08-12
20AGH,Reserved,,2016-08-12
20AGI,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AGJ,Reserved,,2016-08-12
20AGK,Reserved,,2016-08-12
20AGL,Reserved,,2016-08-12
20AGM,Reserved,,2016-08-12
20AGN,Reserved,,2016-08-12
20AGO,Reserved,,2016-08-12
20AGP,Reserved,,2016-08-12
20AGQ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AGR,Reserved,,2016-08-12
20AGS,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AGT,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AGU,Reserved,,2016-08-12
20AGV,Reserved,,2016-08-12
20AGW,Reserved,,2016-08-12
20AGX,Reserved,,2016-08-12
20AGY,Reserved,,2016-08-12
20AGZ,Reserved,,2016-08-12
20AHA,Reserved,,2016-08-12
20AHB,Allocated,Amateur Intermediate Radio Licence,2021-04-15
20AHC,Reserved,,2016-08-12
20AHD,Reserved,,2016-08-12
20AHE,Reserved,,2016-08-12
20AHF,Reserved,,2016-08-12
20AHG,Reserved,,2016-08-12
20AHH,Reserved,,2016-08-12
20AHI,Reserved,,2016-08-12
20AHJ,Reserved,,2016-08-12
20AHK,Reserved,,2016-08-12
20AHL,Reserved,,2016-08-12
20AHM,Reserved,,2016-08-12
20AHN,Reserved,,2016-08-12
20AHO,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AHP,Reserved,,2016-08-12
20AHQ,Reserved,,2016-08-12
20AHR,Reserved,,2016-08-12
20AHS,Reserved,,2016-08-12
20AHT,Reserved,,2016-08-12
20AHU,Reserved,,2016-08-12
20AHV,Reserved,,2016-08-12
20AHW,Reserved,,2016-08-12
20AHX,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AHY,Reserved,Amateur Intermediate Radio Licence,2018-08-02
20AHZ,Reserved,,2016-08-12
20AIA,Reserved,,2016-08-12
20AIB,Allocated,Amateur Intermediate Radio Licence,2020-12-04
20AIC,Reserved,,2016-08-12
20AIE,Allocated,Amateur Intermediate Radio Licence,2016-10-11
20AIF,Reserved,,2016-08-12
20AIG,Reserved,,2016-08-12
20AIH,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AII,Reserved,,2016-08-12
20AIJ,Reserved,,2016-08-12
20AIK,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AIL,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20AIM,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AIN,Reserved,,2016-08-12
20AIO,Reserved,,2016-08-12
20AIP,Reserved,,2016-08-12
20AIQ,Reserved,,2016-08-12
20AIR,Reserved,,2016-08-12
20AIS,Reserved,Amateur Intermediate Radio Licence,2016-08-02
20AIT,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AIU,Reserved,,2016-08-12
20AIV,Allocated,Amateur Intermediate Radio Licence,2021-03-02
20AIW,Reserved,,2016-08-12
20AIX,Reserved,,2016-08-12
20AIY,Reserved,,2016-08-12
20AIZ,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20AJA,Reserved,,2016-08-12
20AJB,Reserved,,2016-08-12
20AJC,Reserved,,2016-08-12
20AJD,Reserved,,2016-08-12
20AJE,Reserved,,2016-08-12
20AJF,Reserved,,2016-08-12
20AJG,Allocated,Amateur Intermediate Radio Licence,2021-07-22
20AJH,Reserved,,2016-08-12
20AJI,Reserved,,2016-08-12
20AJJ,Reserved,,2016-08-12
20AJK,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AJL,Reserved,,2016-08-12
20AJM,Reserved,,2016-08-12
20AJN,Reserved,,2016-08-12
20AJO,Reserved,,2016-08-12
20AJP,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AJQ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AJR,Reserved,,2016-08-12
20AJS,Allocated,Amateur Intermediate Radio Licence,2018-11-23
20AJT,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AJU,Reserved,,2016-08-12
20AJV,Reserved,,2016-08-12
20AJW,Reserved,,2016-08-12
20AJX,Allocated,Amateur Intermediate Radio Licence,2022-08-10
20AJY,Reserved,,2016-08-12
20AJZ,Allocated,Amateur Intermediate Radio Licence,2023-04-04
20AKA,Allocated,Amateur Intermediate Radio Licence,2022-07-16
20AKB,Reserved,,2016-08-12
20AKC,Reserved,,2016-08-12
20AKD,Reserved,,2016-08-12
20AKE,Reserved,,2016-08-12
20AKF,Reserved,,2016-08-12
20AKG,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AKH,Reserved,,2016-08-12
20AKI,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AKJ,Allocated,Amateur Intermediate Radio Licence,2022-12-14
20AKK,Allocated,Amateur Intermediate Radio Licence,2017-06-23
20AKL,Allocated,Amateur Intermediate Radio Licence,2017-02-20
20AKM,Reserved,,2016-08-02
20AKN,Allocated,Amateur Intermediate Radio Licence,2016-08-02
20AKO,Allocated,Amateur Intermediate Radio Licence,2016-08-02
20AKP,Reserved,,2016-08-02
20AKQ,Allocated,Amateur Intermediate Radio Licence,2022-05-13
20AKR,Reserved,Amateur Intermediate Radio Licence,2017-08-22
20AKS,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20AKT,Allocated,Amateur Intermediate Radio Licence,2018-02-01
20AKU,Allocated,Amateur Intermediate Radio Licence,2018-12-20
20AKV,Reserved,Amateur Intermediate Radio Licence,2016-08-10
20AKW,Reserved,,2016-08-02
20AKX,Reserved,Amateur Intermediate Radio Licence,2016-08-02
20AKY,Reserved,Amateur Intermediate Radio Licence,2023-05-15
20AKZ,Reserved,,2016-08-12
20ALA,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ALB,Allocated,Amateur Intermediate Radio Licence,2019-01-23
20ALC,Allocated,Amateur Intermediate Radio Licence,2017-10-24
20ALD,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ALE,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ALF,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ALG,Reserved,,2016-08-12
20ALH,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ALI,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ALJ,Allocated,Amateur Intermediate Radio Licence,2022-04-12
20ALK,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ALL,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20ALM,Reserved,Amateur Intermediate Radio Licence,2018-04-18
20ALN,Reserved,,2016-08-12
20ALO,Reserved,,2016-08-12
20ALP,Reserved,,2016-08-12
20ALQ,Reserved,,2016-08-12
20ALR,Reserved,,2016-08-12
20ALS,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ALT,Reserved,,2016-08-12
20ALU,Reserved,,2016-08-12
20ALV,Reserved,,2016-08-12
20ALW,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ALX,Reserved,,2016-08-12
20ALY,Reserved,,2016-08-12
20ALZ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AMA,Reserved,,2016-08-12
20AMB,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AMC,Reserved,,2016-08-12
20AMD,Allocated,Amateur Intermediate Radio Licence,2021-02-25
20AME,Reserved,,2016-08-12
20AMF,Reserved,,2016-08-12
20AMG,Reserved,,2016-08-12
20AMH,Reserved,,2016-08-12
20AMI,Reserved,,2016-08-12
20AMJ,Reserved,,2016-08-12
20AMK,Reserved,,2016-08-12
20AML,Reserved,,2016-08-12
20AMM,Reserved,,2016-08-12
20AMN,Allocated,Amateur Intermediate Radio Licence,2020-11-03
20AMO,Reserved,,2016-08-12
20AMP,Reserved,,2016-08-12
20AMQ,Reserved,,2016-08-12
20AMR,Reserved,,2016-08-12
20AMS,Allocated,Amateur Intermediate Radio Licence,2020-11-03
20AMT,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20AMU,Reserved,,2016-08-12
20AMV,Reserved,,2016-08-12
20AMW,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AMX,Reserved,,2016-08-12
20AMY,Reserved,,2016-08-12
20AMZ,Reserved,,2016-08-12
20ANA,Reserved,,2016-08-12
20ANB,Reserved,,2016-08-12
20ANC,Reserved,,2016-08-12
20AND,Allocated,Amateur Intermediate Radio Licence,2021-05-11
20ANE,Allocated,Amateur Intermediate Radio Licence,2023-07-18
20ANF,Reserved,,2016-08-12
20ANG,Reserved,,2016-08-12
20ANH,Reserved,,2016-08-12
20ANI,Reserved,,2016-08-12
20ANJ,Reserved,,2016-08-12
20ANK,Reserved,,2016-08-12
20ANL,Reserved,,2016-08-12
20ANM,Allocated,Amateur Intermediate Radio Licence,2023-07-27
20ANN,Reserved,,2016-08-12
20ANO,Reserved,,2016-08-12
20ANP,Reserved,,2016-08-12
20ANQ,Reserved,,2016-08-12
20ANR,Reserved,,2016-08-12
20ANS,Reserved,,2016-08-12
20ANT,Reserved,,2016-08-12
20ANU,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20ANV,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20ANW,Reserved,,2016-08-12
20ANX,Reserved,,2016-08-12
20ANY,Reserved,,2016-08-12
20ANZ,Reserved,,2016-08-12
20AOA,Reserved,,2016-08-12
20AOB,Reserved,,2016-08-12
20AOC,Reserved,,2016-08-12
20AOD,Reserved,,2016-08-12
20AOE,Reserved,,2016-08-12
20AOF,Reserved,,2016-08-12
20AOG,Reserved,,2016-08-12
20AOH,Reserved,,2016-08-12
20AOI,Reserved,,2016-08-12
20AOJ,Reserved,,2016-08-12
20AOK,Allocated,Amateur Intermediate Radio Licence,2023-07-21
20AOL,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AOM,Reserved,,2016-08-12
20AON,Reserved,,2016-08-12
20AOO,Allocated,Amateur Intermediate Radio Licence,2020-06-26
20AOP,Reserved,,2016-08-12
20AOQ,Reserved,,2016-08-12
20AOR,Reserved,,2016-08-12
20AOS,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AOT,Reserved,,2016-08-12
20AOU,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AOV,Reserved,,2016-08-12
20AOW,Reserved,,2016-08-12
20AOX,Reserved,,2016-08-12
20AOY,Reserved,,2016-08-12
20AOZ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20APA,Reserved,,2016-08-12
20APB,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20APC,Reserved,,2016-08-12
20APD,Reserved,,2016-08-12
20APE,Reserved,,2016-08-12
20APF,Reserved,,2016-08-12
20APG,Allocated,Amateur Intermediate Radio Licence,2023-02-12
20APH,Reserved,,2016-08-12
20API,Reserved,,2016-08-12
20APJ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20APK,Reserved,,2016-08-12
20APL,Reserved,,2016-08-12
20APM,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20APN,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20APO,Reserved,,2016-08-12
20APP,Reserved,,2016-08-12
20APQ,Reserved,,2016-08-17
20APR,Allocated,Amateur Intermediate Radio Licence,2023-03-16
20APS,Reserved,,2016-08-17
20APT,Reserved,Amateur Intermediate Radio Licence,2021-06-25
20APU,Reserved,,2016-08-12
20APV,Reserved,,2016-08-12
20APW,Reserved,,2016-08-12
20APX,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20APY,Allocated,Amateur Intermediate Radio Licence,2016-08-03
20APZ,Allocated,Amateur Intermediate Radio Licence,2021-01-05
20AQA,Reserved,,2016-08-12
20AQB,Reserved,,2016-08-12
20AQC,Reserved,,2016-08-12
20AQD,Reserved,,2016-08-12
20AQE,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AQF,Reserved,,2016-08-12
20AQG,Reserved,,2016-08-12
20AQH,Allocated,Amateur Intermediate Radio Licence,2023-01-16
20AQI,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AQJ,Reserved,,2016-08-12
20AQK,Reserved,,2016-08-12
20AQL,Reserved,,2016-08-12
20AQM,Reserved,,2016-08-12
20AQN,Reserved,,2016-08-12
20AQO,Reserved,,2016-08-12
20AQP,Reserved,,2016-08-12
20AQQ,Allocated,Amateur Intermediate Radio Licence,2020-05-14
20AQR,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AQS,Reserved,,2016-08-12
20AQT,Reserved,,2016-08-12
20AQU,Allocated,Amateur Intermediate Radio Licence,2017-03-21
20AQV,Reserved,,2016-08-12
20AQW,Reserved,,2016-08-12
20AQX,Allocated,Amateur Intermediate Radio Licence,2021-12-31
20AQY,Reserved,,2016-08-12
20AQZ,Reserved,,2016-08-12
20ARA,Allocated,Amateur Intermediate Radio Licence,2020-05-08
20ARB,Reserved,,2016-08-12
20ARC,Allocated,Amateur Intermediate Radio Licence,2021-03-01
20ARD,Reserved,,2016-08-12
20ARE,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ARF,Reserved,,2016-08-12
20ARG,Reserved,,2016-08-12
20ARH,Reserved,,2016-08-12
20ARI,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ARJ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ARK,Reserved,,2016-08-12
20ARL,Reserved,,2016-08-12
20ARM,Reserved,,2016-08-12
20ARN,Reserved,,2016-08-12
20ARO,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ARP,Reserved,,2016-08-12
20ARQ,Reserved,,2016-08-12
20ARR,Reserved,,2016-08-12
20ARS,Reserved,,2016-08-12
20ART,Reserved,,2016-08-12
20ARU,Reserved,,2016-08-12
20ARV,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ARW,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ARX,Reserved,,2016-08-12
20ARY,Reserved,,2016-08-12
20ARZ,Reserved,,2016-08-12
20ASA,Reserved,,2016-08-12
20ASB,Reserved,,2016-08-12
20ASC,Reserved,,2016-08-12
20ASD,Reserved,,2016-08-12
20ASE,Reserved,,2016-08-12
20ASF,Reserved,,2016-08-12
20ASG,Reserved,,2016-08-12
20ASH,Reserved,,2016-08-12
20ASI,Reserved,,2016-08-12
20ASJ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ASK,Reserved,,2016-08-12
20ASL,Reserved,,2016-08-12
20ASM,Reserved,,2016-08-12
20ASN,Reserved,,2016-08-12
20ASO,Reserved,,2016-08-12
20ASP,Reserved,,2016-08-12
20ASQ,Reserved,,2016-08-12
20ASR,Reserved,,2016-08-12
20AST,Allocated,Amateur Intermediate Radio Licence,2021-08-16
20ASU,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ASV,Reserved,,2016-08-02
20ASW,Allocated,Amateur Intermediate Radio Licence,2016-08-02
20ASX,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ASY,Reserved,,2016-08-12
20ASZ,Reserved,,2016-08-12
20ATA,Reserved,,2016-08-12
20ATB,Allocated,Amateur Intermediate Radio Licence,2022-09-30
20ATC,Reserved,,2016-08-12
20ATD,Reserved,,2016-08-12
20ATE,Reserved,,2016-08-12
20ATF,Allocated,Amateur Intermediate Radio Licence,2023-04-26
20ATG,Reserved,,2016-08-12
20ATH,Reserved,,2016-08-12
20ATI,Reserved,,2016-08-12
20ATJ,Reserved,,2016-08-12
20ATK,Reserved,,2016-08-12
20ATL,Reserved,,2016-08-12
20ATM,Reserved,,2016-08-12
20ATN,Reserved,,2016-08-12
20ATO,Reserved,Amateur Intermediate Radio Licence,2016-08-12
20ATP,Reserved,,2016-08-12
20ATQ,Reserved,,2016-08-12
20ATR,Reserved,,2016-08-12
20ATS,Reserved,,2016-08-12
20ATT,Allocated,Amateur Intermediate Radio Licence,2020-01-16
20ATU,Reserved,,2016-08-12
20ATV,Reserved,,2016-08-12
20ATW,Reserved,,2016-08-12
20ATX,Reserved,,2016-08-12
20ATY,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20ATZ,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AUA,Reserved,,2016-08-12
20AUB,Reserved,,2016-08-12
20AUC,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AUD,Reserved,,2016-08-12
20AUE,Reserved,,2016-08-12
20AUF,Reserved,,2016-08-17
20AUG,Reserved,Amateur Intermediate Radio Licence,2017-08-06
20AUH,Allocated,Amateur Intermediate Radio Licence,2016-08-17
20AUI,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AUJ,Reserved,,2016-08-12
20AUK,Reserved,,2016-08-12
20AUL,Reserved,,2016-08-12
20AUM,Allocated,Amateur Intermediate Radio Licence,2018-01-22
20AUN,Reserved,,2016-08-12
20AUO,Reserved,,2016-08-12
20AUP,Reserved,,2016-08-12
20AUQ,Reserved,,2016-08-12
20AUR,Reserved,,2016-08-12
20AUS,Reserved,,2016-08-12
20AUU,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AUV,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AUW,Reserved,,2016-08-12
20AUX,Reserved,,2016-08-12
20AUY,Reserved,,2016-08-12
20AUZ,Reserved,,2016-08-12
20AVA,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AVB,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AVC,Reserved,,2016-08-12
20AVD,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AVE,Reserved,,2016-08-12
20AVF,Reserved,,2016-08-12
20AVG,Reserved,,2016-08-12
20AVH,Reserved,,2016-08-12
20AVI,Reserved,,2016-08-12
20AVJ,Reserved,,2016-08-12
20AVK,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AVL,Reserved,Amateur Intermediate Radio Licence,2020-04-21
20AVM,Reserved,,2016-08-12
20AVN,Reserved,,2016-08-12
20AVO,Reserved,,2016-08-12
20AVP,Reserved,Amateur Intermediate Radio Licence,2021-03-15
20AVQ,Allocated,Amateur Intermediate Radio Licence,2020-05-01
20AVR,Reserved,,2016-08-02
20AVS,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AVT,Reserved,,2016-08-12
20AVU,Reserved,,2016-08-12
20AVV,Reserved,,2016-08-12
20AVW,Allocated,Amateur Intermediate Radio Licence,2023-01-07
20AVX,Reserved,,2016-08-12
20AVY,Reserved,,2016-08-12
20AVZ,Allocated,Amateur Intermediate Radio Licence,2020-05-10
20AWA,Allocated,Amateur Intermediate Radio Licence,2020-03-07
20AWB,Reserved,,2016-08-12
20AWC,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AWD,Reserved,,2016-08-12
20AWE,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AWF,Allocated,Amateur Intermediate Radio Licence,2020-02-05
20AWG,Allocated,Amateur Intermediate Radio Licence,2018-07-17
20AWH,Reserved,,2016-08-12
20AWI,Allocated,Amateur Intermediate Radio Licence,2016-08-12
20AWJ,Reserved,,2016-08-12
20AWK,Allocated,Amateur Intermediate Radio Licence,2020-05-22
20AWL,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20AWM,Allocated,Amateur Intermediate Radio Licence,2019-03-26
20AWN,Reserved,Amateur Intermediate Radio Licence,2021-04-20
20AWO,Allocated,Amateur Intermediate Radio Licence,2022-08-24
20AWP,Allocated,Amateur Intermediate Radio Licence,2022-08-24
20AWQ,Reserved,,2016-08-12
20AWR,Allocated,Amateur Intermediate Radio Licence,2020-04-28
20AWS,Allocated,Amateur Intermediate Radio Licence,2021-06-10
20AWT,Allocated,Amateur Intermediate Radio Licence,2017-02-08
20AWU,Reserved,Amateur Intermediate Radio Licence,2019-01-05
20AWV,Reserved,,2016-08-02
20AWW,Allocated,Amateur Intermediate Radio Licence,2016-08-02
20AWX,Allocated,Amateur Intermediate Radio Licence,2022-11-04
20AWY,Allocated,Amateur Intermediate Radio Licence,2016-08-02
20AWZ,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20AXA,Allocated,Amateur Intermediate Radio Licence,2016-07-23
20AXB,Allocated,Amateur Intermediate Radio Licence,2021-06-15
20AXC,Reserved,,2016-08-12
20AXD,Reserved,,2016-08-12
20AXE,Reserved,,2016-08-02
20AXF,Reserved,,2016-08-02
20AXG,Reserved,Amateur Intermediate Radio Licence,2016-08-02
20AXH,Reserved,,2016-08-02
20AXI,Reserved,,2016-08-02
20AXJ,Reserved,,2016-08-02
