Value,Product,Status,Type,Call Sign MMSI: Last Modified Date
20KHB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-12
20KJD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-05-12
20LRS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-06-15
20MDX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-21
20MZA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-12-14
20NAE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-11-15
20NPB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-05-25
20NTX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-05-20
20OAC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-08-05
20ODM,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2022-06-16
20OJX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-12-24
20PHY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-15
20SAC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-05-24
20SCI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-02-15
20TDN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-04
20TMM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-03-28
20TNT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-01-12
20TOM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-08-18
20UFO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-11-01
20UJR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-01-19
20URM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-09-05
20VXY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-02-22
20WGN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-16
20XBZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-07-27
20XCD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-08-26
20XGO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-03-29
20XXJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-08-25
20YCA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-07-14
20YLZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-04-20
21ACT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-29
21ADM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-06-09
21ADW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-21
21AEU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-04-28
21AFT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-01-24
21AGO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-12-14
21AJB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-03
21AJM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-03-10
21AKK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-06-02
21ALC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-07-26
21ALX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-08-21
21AOL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-07-25
21AQT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-06-07
21ART,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-21
21ARV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-03-29
21BDX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-10
21BFD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-02-09
21BGC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-01
21BGN,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
21BMB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-11-16
21BMD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-01-27
21BMM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-11-06
21BPC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-08-08
21BRY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-11-01
21BUC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-07
21BUF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-11-06
21BUV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-03-03
21BYH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-11-12
21BZF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-02
21CGS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-12-04
21CII,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-06
21CJL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-06-29
21CLU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-09-30
21CQG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-07-03
21CTF,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2023-07-21
21CUS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-01-31
21CUT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-09-12
21CYM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-07
21CYU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2016-10-11
21CZS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-06-11
21DAP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-10-12
21DAT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-04-06
21DCL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-09-26
21DDT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-24
21DFB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-09-27
21DFD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-02-23
21DFS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-06-15
21DHJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-21
21DIJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-06-01
21DJN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-08-03
21DKT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-03-13
21DOG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-06-11
21DSD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-25
21DTG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-29
21DUI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-01-23
21DWK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-22
21DWW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-06-03
21EAG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-01-11
21EBZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-10-04
21EKW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-07-09
21ENR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-06-14
21EQK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-05-20
21ERU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-04-26
21ESH,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2019-10-23
21EXB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-03-18
21EXG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,2020-01-03
21EXP,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
21FDC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2017-06-16
21FEX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-06-18
21FFX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-01-09
21FMS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-08-21
21FNP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-05-19
21FNR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,2020-06-12
21FOK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-03
21FPH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-02-28
21FTW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-04-20
21FUS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-07-03
21FWR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-03-16
21FZP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-07-28
21GCU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-11-11
21GFS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-02-04
21GJL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-08-28
21GJY,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2020-12-04
21GLQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-08-22
21GPO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-07-27
21GPR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-06
21GSH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-10-23
21GSK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-11-17
21GW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-10-16
21HDU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-03-19
21HHJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2017-09-25
21HHK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-04-30
21HJW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2018-08-22
21HOU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2019-10-16
21HQQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-09-17
21HWE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-01-06
21IEM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur,2020-06-16
21IGO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2017-02-24
21IKL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-02-18
21IXG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-14
21JBC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-01-30
21JGD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-03-30
21JPH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-11-05
21KAC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-08-16
21KFS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-09-08
21KLO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-22
21KOJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-01-17
21KWK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-03-10
21LBH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-09-12
21LCY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-17
21LEW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-08
21LEX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-05-23
21LMW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-17
21LSI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-08-04
21MCT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-11-11
21MHB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-01
21MJE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-09-07
21MPQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-04-29
21MRE,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur,2022-11-23
21MRK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-15
21NEW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-29
21NRJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-29
21NVK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-11-04
21OAT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-23
21ODB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-08
21OOO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-11-18
21PDH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-11-09
21PEW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-03-31
21PJE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-04-24
21PKY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-06-13
21RAN,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-29
21RBS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-24
21RJH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-04-08
21ROO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-01-11
21RSH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-06-13
