Value,Product,Status,Type,Call Sign MMSI: Last Modified Date
G0EHG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-02-19
G0EHH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-07-11
G0EHO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-01-12
G0EHQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-12-10
G0EHR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-11-05
G0EHV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EHY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIA,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-03-18
G0EIB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EID,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-01-25
G0EIF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-04-18
G0EIH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-01-03
G0EIK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-06-14
G0EIV,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0EIX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EIY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-03-02
G0EIZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EJC,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0EJD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-11-07
G0EJF,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-03-17
G0EJG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0EJI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-04-22
G0EJO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EJQ,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2019-04-26
G0EJR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EJT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EJU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EJV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EJW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EKC,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EKD,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2020-11-11
G0EKH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-06-25
G0EKJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EKK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EKL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EKM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-02-25
G0EKN,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2018-05-24
G0EKP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EKQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-04-21
G0EKS,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-06-11
G0EKV,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0EKX,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-06-03
G0ELB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-08-19
G0ELE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ELF,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ELG,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2019-04-26
G0ELH,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ELI,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ELJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-04-04
G0ELK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-06-05
G0ELL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-07-18
G0ELN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELQ,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-04-12
G0ELS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ELT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-09-03
G0ELV,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0ELX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ELY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ELZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-12-18
G0EMB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EMC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EME,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-01-05
G0EMF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-10-15
G0EMI,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0EMK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EML,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-05-26
G0EMM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0EMQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EMR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EMS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EMT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EMV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EMX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EMY,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ENA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-03-26
G0ENB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0END,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-06-16
G0ENJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-01-05
G0ENM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-07-13
G0ENN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-04-02
G0ENQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ENR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ENV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-04-18
G0ENW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ENY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ENZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EOF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EOG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-10-29
G0EOJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-07-28
G0EOL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EON,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOO,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EOP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-10-26
G0EOS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EOU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EOV,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EOX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EOZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EPA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EPC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EPI,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-03-25
G0EPL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-02-04
G0EPR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPT,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0EPU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EPV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EPX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-06
G0EPY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-09-25
G0EPZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-01-24
G0EQC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-13
G0EQD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-01-05
G0EQF,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EQG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EQP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-08-05
G0EQV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EQW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EQZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0ERB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ERF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-02-02
G0ERH,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ERI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-12-15
G0ERL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ERM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ERN,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ERS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ERT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-12-21
G0ERU,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ERV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-10-26
G0ERW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ERX,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-10-25
G0ERY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-09-03
G0ESA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-04-27
G0ESB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-07-13
G0ESF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESJ,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ESK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ESO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EST,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0ESU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ESV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-12-15
G0ESW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ESY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-06-16
G0ETA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0ETF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-09
G0ETG,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0ETI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-10-19
G0ETJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-06-27
G0ETL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0ETQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ETU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-12-16
G0ETV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-10-04
G0ETW,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-05-10
G0ETY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0ETZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-08-16
G0EUA,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EUB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EUC,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EUD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-03-04
G0EUF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EUG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EUH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-05-04
G0EUI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EUJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EUL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-12-19
G0EUM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-01-07
G0EUN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EUP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-11-04
G0EUR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0EUS,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EUT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EUV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EUZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EVA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-12-07
G0EVB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-02-10
G0EVD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-10-10
G0EVG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-01-22
G0EVJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EVM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0EVN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-09-11
G0EVR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-10-21
G0EVX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EVY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-21
G0EVZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EWD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EWE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EWH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-02-27
G0EWI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-10-12
G0EWJ,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EWK,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EWL,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EWM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWO,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EWP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWQ,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EWR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-01-06
G0EWW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-29
G0EWX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EWZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EXA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EXB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EXD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EXF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-11-07
G0EXH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EXJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-05-09
G0EXN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EXU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EXX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EXZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-02
G0EYA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EYE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EYF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EYG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EYH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-09-25
G0EYJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EYK,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EYL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EYM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EYN,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EYO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-01-12
G0EYP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EYQ,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EYR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-04-14
G0EYT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EYU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EYW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-01-16
G0EYX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EYZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-08-16
G0EZA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0EZB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-05-16
G0EZI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EZJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EZL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EZM,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EZN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-05-16
G0EZO,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0EZP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-04-02
G0EZR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EZT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EZU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-24
G0EZV,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-08-12
G0EZX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-08-12
G0EZY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-06-07
G0FAA,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2021-06-09
G0FAB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0FAD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0FAE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-07-29
G0FAF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0FAG,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-07-23
G0FAH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0FAI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-07-23
G0FAJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-04-28
G0FAL,Amateur Full Radio Licence,Reserved,Call Sign - Amateur,2016-12-06
