callsign,status,licence_class,licence_issued_date
G4IFJ,Allocated,Full,1903-05-03
G8UYK,Allocated,Full,1904-02-04
G6UGE,Allocated,Full,1904-02-16
G4IUZ,Reserved,Full,1909-10-16
G3ZEX,Allocated,Full,1920-03-03
G3HJH,Allocated,Full,1922-05-22
G4HAB,Allocated,Full,1926-05-05
G6NB,Reserved,Full,1932-01-26
G4TRZ,Allocated,Full,1933-05-26
G5MY,Allocated,Full,1935-02-01
G5IX,Reserved,Full,1935-06-05
G2ADN,Reserved,Full,1936-05-01
G8HB,Reserved,Full,1936-12-16
G2MJ,Reserved,Full,1937-01-02
G3UP,Reserved,Full,1937-01-16
G8SX,Reserved,Full,1937-02-01
G8QM,Allocated,Full,1937-10-26
G3VA,Reserved,Full,1938-02-02
G3QD,Reserved,Full,1938-02-17
G3GA,Reserved,Full,1938-02-23
G2AOZ,Reserved,Full,1938-06-09
G2AMG,Allocated,Full,1938-10-10
G2FQP,Reserved,Full,1938-11-01
G4CK,Allocated,Full,1939-01-30
G4LW,Reserved,Full,1939-02-12
G4DR,Allocated,Full,1939-02-16
G2HIY,Reserved,Full,1939-05-08
G2DKN,Reserved,Full,1939-05-10
G2HDU,Reserved,Full,1939-06-16
G2HMB,Reserved,Full,1939-07-27
G4YZO,Reserved,Full,1939-08-07
G2CQJ,Reserved,Full,1939-08-29
G4JZK,Reserved,Full,1943-07-15
G3JZW,Reserved,Full,1943-10-07
G3ENG,Allocated,Full,1946-01-01
G3SB,Reserved,Full,1946-01-24
G8IK,Allocated,Full,1946-02-01
G3WF,Allocated,Full,1946-02-01
G4LU,Reserved,Full,1946-02-25
G2CGL,Reserved,Full,1946-03-12
G4YK,Allocated,Full,1946-03-16
G2FUD,Reserved,Full,1946-03-21
G2FYV,Reserved,Full,1946-03-22
G2CMW,Reserved,Full,1946-03-25
G2FSA,Reserved,Full,1946-04-01
G3CRP,Reserved,Full,1946-04-18
G3AQB,Allocated,Full,1946-04-30
G3BGM,Reserved,Full,1946-05-01
G2ADR,Reserved,Full,1946-05-28
G3DRB,Reserved,Full,1946-06-06
G3AWW,Reserved,Full,1946-07-01
G3ABA,Reserved,Full,1946-07-02
G2FTK,Reserved,Full,1946-07-03
G3AAJ,Reserved,Full,1946-07-13
G3AAO,Reserved,Full,1946-07-14
G3ADS,Reserved,Full,1946-07-29
G3ADQ,Reserved,Full,1946-07-29
G3AER,Allocated,Full,1946-08-06
G2HKG,Reserved,Full,1946-08-15
G3AIK,Reserved,Full,1946-08-20
G3AJS,Reserved,Full,1946-08-23
G3AKI,Allocated,Full,1946-08-23
G3AKX,Reserved,Full,1946-09-06
G3AMG,Reserved,Full,1946-09-06
G3ANH,Reserved,Full,1946-09-08
G3AAZ,Reserved,Full,1946-09-14
G3AQM,Reserved,Full,1946-09-27
G3ASG,Allocated,Full,1946-10-02
G3ARS,Allocated,Full,1946-10-03
G2HFD,Reserved,Full,1946-10-14
G3AUS,Reserved,Full,1946-10-16
G2DYM,Reserved,Full,1946-10-18
G3AXX,Allocated,Full,1946-11-06
G3APL,Allocated,Full,1946-11-06
G3BHF,Allocated,Full,1946-11-19
G3BAP,Reserved,Full,1946-12-20
G3ESY,Allocated,Full,1946-12-24
G3CSY,Allocated,Full,1947-01-01
G3BHK,Reserved,Full,1947-01-22
G3BHW,Reserved,Full,1947-01-22
G3BKN,Reserved,Full,1947-02-07
G2HMK,Allocated,Full,1947-02-19
G3BMI,Allocated,Full,1947-02-27
G3BMX,Reserved,Full,1947-03-01
G3BPG,Allocated,Full,1947-03-25
G3BPQ,Allocated,Full,1947-03-25
G3BQE,Allocated,Full,1947-04-02
G3CTP,Allocated,Full,1947-04-02
G3BRA,Reserved,Full,1947-04-03
G3DNH,Reserved,Full,1947-04-07
G3CVK,Allocated,Full,1947-04-13
G3AME,Allocated,Full,1947-04-15
G3BSU,Reserved,Full,1947-04-24
G3BVA,Allocated,Full,1947-05-03
G3DSK,Reserved,Full,1947-05-11
G4CA,Reserved,Full,1947-05-31
G3CCM,Reserved,Full,1947-06-07
G3CCF,Reserved,Full,1947-06-09
G3CCX,Reserved,Full,1947-06-20
G3CFK,Reserved,Full,1947-07-12
G3CFV,Reserved,Full,1947-07-12
G3CIM,Allocated,Full,1947-08-01
G3AFB,Allocated,Full,1947-08-08
G3AHB,Reserved,Full,1947-08-15
G3CBA,Allocated,Full,1947-08-21
G3CLK,Reserved,Full,1947-08-29
G3CJD,Reserved,Full,1947-09-09
G2DZF,Reserved,Full,1947-09-10
G3CPT,Allocated,Full,1947-10-04
G3AST,Allocated,Full,1947-10-07
G3ASR,Allocated,Full,1947-10-13
G3AUE,Allocated,Full,1947-10-16
G3CSC,Reserved,Full,1947-10-18
G3COY,Reserved,Full,1947-10-29
G3CVW,Reserved,Full,1947-11-15
G3ALG,Allocated,Full,1947-11-17
G3DAV,Allocated,Full,1947-12-19
G3DCS,Reserved,Full,1948-01-12
G3DEB,Reserved,Full,1948-01-30
G3DFD,Reserved,Full,1948-02-03
G2FFN,Reserved,Full,1948-02-15
G3DIC,Reserved,Full,1948-02-25
G2HBA,Reserved,Full,1948-02-27
G3DJJ,Reserved,Full,1948-03-12
G3DNJ,Reserved,Full,1948-04-01
G3DCZ,Reserved,Full,1948-04-02
G3ENX,Reserved,Full,1948-04-10
G3DOJ,Reserved,Full,1948-04-12
G3DOV,Allocated,Full,1948-04-16
G3EJR,Allocated,Full,1948-04-21
G3DPX,Reserved,Full,1948-04-23
G3DMQ,Reserved,Full,1948-04-27
G3DQQ,Allocated,Full,1948-04-30
G3BRQ,Allocated,Full,1948-05-03
G3DQT,Allocated,Full,1948-05-06
G3DRV,Allocated,Full,1948-05-08
G3DSV,Reserved,Full,1948-05-14
G3BZB,Allocated,Full,1948-05-28
G3EDM,Reserved,Full,1948-06-03
G3DVL,Reserved,Full,1948-06-14
G3BQA,Reserved,Full,1948-06-17
G3DWQ,Reserved,Full,1948-06-29
G3CGE,Allocated,Full,1948-07-12
G3DXZ,Allocated,Full,1948-07-22
G3DZS,Reserved,Full,1948-07-29
G3EAO,Reserved,Full,1948-08-03
G3EBE,Reserved,Full,1948-08-06
G3FRE,Allocated,Full,1948-08-11
G3EDZ,Reserved,Full,1948-09-03
G3EFI,Reserved,Full,1948-09-09
G3EDS,Reserved,Full,1948-09-15
G3EFP,Reserved,Full,1948-09-17
G3EGF,Allocated,Full,1948-09-23
G3EHZ,Reserved,Full,1948-09-24
G3EIX,Reserved,Full,1948-09-29
G3ATX,Allocated,Full,1948-10-01
G3EJH,Allocated,Full,1948-10-05
G3CRH,Allocated,Full,1948-10-16
G3ENJ,Reserved,Full,1948-11-05
G3ERD,Allocated,Full,1948-11-20
G3EPG,Reserved,Full,1948-11-27
G5QK,Allocated,Full,1948-12-08
G3EUS,Reserved,Full,1949-01-19
G3EZX,Reserved,Full,1949-02-01
G3COI,Reserved,Full,1949-02-07
G2FCP,Allocated,Full,1949-02-14
G3FDG,Reserved,Full,1949-02-17
G3FDN,Reserved,Full,1949-02-19
G3DLH,Reserved,Full,1949-03-18
G3KYE,Allocated,Full,1949-04-18
G3GEA,Reserved,Full,1949-04-23
G3FIR,Allocated,Full,1949-05-04
G3FJN,Reserved,Full,1949-05-09
G3GIG,Reserved,Full,1949-05-10
G3DSZ,Allocated,Full,1949-05-19
G3FLV,Allocated,Full,1949-05-31
G3FVD,Reserved,Full,1949-06-10
G3FNO,Allocated,Full,1949-06-14
G3FPH,Allocated,Full,1949-07-09
G2CQX,Allocated,Full,1949-07-11
G3FPF,Reserved,Full,1949-07-12
G3AOK,Reserved,Full,1949-09-17
G3FWD,Allocated,Full,1949-09-19
G3FWI,Allocated,Full,1949-09-27
G3ELS,Allocated,Full,1949-10-18
G3FXN,Allocated,Full,1949-10-29
G3EOO,Allocated,Full,1949-11-15
G3GDU,Reserved,Full,1949-11-26
G3GBS,Allocated,Full,1949-11-29
G3GEF,Allocated,Full,1949-11-30
G3EQM,Allocated,Full,1949-12-02
G3GFT,Reserved,Full,1949-12-09
G3GGG,Allocated,Full,1949-12-16
G3GGO,Reserved,Full,1949-12-16
G3GGL,Reserved,Full,1949-12-16
G3GGK,Allocated,Full,1949-12-16
G3GGY,Reserved,Full,1949-12-19
G3GII,Reserved,Full,1950-01-10
G3EFK,Reserved,Full,1950-02-20
G3GLW,Allocated,Full,1950-03-04
G3GMN,Reserved,Full,1950-03-10
G3GMY,Allocated,Full,1950-03-20
G3GNK,Reserved,Full,1950-04-01
G3GNR,Reserved,Full,1950-04-01
G3GOT,Allocated,Full,1950-04-18
G3GQN,Reserved,Full,1950-05-12
G3HAT,Reserved,Full,1950-05-13
G3GRO,Reserved,Full,1950-05-26
G3GTW,Reserved,Full,1950-07-27
G3GUD,Reserved,Full,1950-08-10
G3HRH,Allocated,Full,1950-08-20
G3HBZ,Reserved,Full,1950-09-23
G3GXQ,Allocated,Full,1950-10-04
G3HBN,Reserved,Full,1950-10-13
G3GZH,Reserved,Full,1950-10-14
G3HAG,Reserved,Full,1950-10-21
G3HAV,Reserved,Full,1950-11-01
G3HCO,Allocated,Full,1950-11-04
G3HCT,Allocated,Full,1950-11-16
G3IMW,Allocated,Full,1950-12-02
G3BST,Allocated,Full,1951-01-01
G3HGL,Allocated,Full,1951-01-09
G3HGM,Reserved,Full,1951-01-09
G3IOW,Reserved,Full,1951-01-30
G3HKN,Allocated,Full,1951-04-04
G3HMO,Allocated,Full,1951-04-04
G3HKQ,Reserved,Full,1951-04-04
G3HMB,Allocated,Full,1951-04-23
G3HMF,Reserved,Full,1951-05-02
G3IIA,Allocated,Full,1951-05-05
G3JBH,Reserved,Full,1951-05-20
G3HOH,Reserved,Full,1951-06-21
G3HQG,Allocated,Full,1951-08-16
G3HWR,Reserved,Full,1951-08-19
G3HRD,Reserved,Full,1951-08-29
G3HRE,Allocated,Full,1951-08-31
G3HRN,Reserved,Full,1951-09-09
G3HTA,Allocated,Full,1951-09-13
G3HTP,Reserved,Full,1951-09-24
G3HUN,Reserved,Full,1951-10-02
G3HUJ,Reserved,Full,1951-10-03
G3HUL,Reserved,Full,1951-10-10
G3HUX,Allocated,Full,1951-10-13
G3JGY,Reserved,Full,1951-10-19
G3HVK,Allocated,Full,1951-10-20
G3HVX,Reserved,Full,1951-11-01
G3HWE,Reserved,Full,1951-11-07
G3HWQ,Reserved,Full,1951-11-10
G3HGD,Allocated,Full,1951-12-02
G3HYJ,Reserved,Full,1951-12-12
G3HYX,Allocated,Full,1951-12-13
G3HZR,Reserved,Full,1951-12-19
G3HZT,Allocated,Full,1951-12-19
G3GZX,Allocated,Full,1951-12-22
G3KDW,Allocated,Full,1952-01-01
G3IAF,Reserved,Full,1952-01-07
G3HWS,Reserved,Full,1952-01-10
G2BHG,Allocated,Full,1952-02-09
G3ICQ,Reserved,Full,1952-03-01
G3IWT,Reserved,Full,1952-03-27
G3JSF,Reserved,Full,1952-04-07
G3IFB,Reserved,Full,1952-04-20
G3JHL,Reserved,Full,1952-04-20
G3IGG,Reserved,Full,1952-04-22
G2AFV,Reserved,Full,1952-06-12
G3ITB,Allocated,Full,1952-06-14
G3IIV,Allocated,Full,1952-06-14
G2HCG,Allocated,Full,1952-06-22
G3CDJ,Reserved,Full,1952-06-24
G3IJI,Reserved,Full,1952-06-24
G3FNZ,Allocated,Full,1952-06-25
G3IJN,Allocated,Full,1952-06-27
G3IJW,Reserved,Full,1952-07-05
G3IZU,Reserved,Full,1952-07-07
G3IKB,Allocated,Full,1952-07-09
G3CGD,Allocated,Full,1952-07-10
G3FPI,Reserved,Full,1952-07-11
G3HPC,Allocated,Full,1952-07-13
G3GTL,Reserved,Full,1952-07-17
G3IKL,Allocated,Full,1952-07-23
G3HPD,Allocated,Full,1952-07-26
G3EAE,Allocated,Full,1952-07-30
G2FCA,Reserved,Full,1952-08-01
G3IMC,Reserved,Full,1952-08-23
G3IMG,Reserved,Full,1952-08-28
G3HQX,Allocated,Full,1952-08-29
G3EDT,Reserved,Full,1952-09-02
G3JRW,Reserved,Full,1952-09-05
G3ISU,Reserved,Full,1952-09-06
G3IMX,Allocated,Full,1952-09-06
G3IWC,Reserved,Full,1952-09-11
G3AMO,Reserved,Full,1952-09-11
G4BP,Allocated,Full,1952-09-12
G3HTB,Allocated,Full,1952-09-15
G3EFX,Allocated,Full,1952-09-18
G3INY,Allocated,Full,1952-09-19
G3INZ,Allocated,Full,1952-09-19
G3INR,Allocated,Full,1952-09-22
G3CNM,Reserved,Full,1952-09-25
G3JKF,Allocated,Full,1952-09-26
G3IOI,Allocated,Full,1952-09-29
G3IOJ,Allocated,Full,1952-09-29
G3EKD,Reserved,Full,1952-10-07
G3CQK,Reserved,Full,1952-10-11
G3GYC,Reserved,Full,1952-10-14
G3GZJ,Allocated,Full,1952-10-14
G3MBK,Allocated,Full,1952-10-18
G3HAN,Allocated,Full,1952-10-21
G3EMY,Reserved,Full,1952-11-02
G3IST,Allocated,Full,1952-11-09
G3IRX,Reserved,Full,1952-11-12
G3KQG,Allocated,Full,1952-11-14
G3AYZ,Reserved,Full,1952-11-15
G3JJW,Reserved,Full,1952-11-18
G3HXH,Reserved,Full,1952-11-20
G3ISP,Reserved,Full,1952-11-26
G3CXP,Allocated,Full,1952-12-02
G3CXT,Reserved,Full,1952-12-03
G3ITH,Allocated,Full,1952-12-05
G3HYH,Allocated,Full,1952-12-06
G3HEO,Reserved,Full,1952-12-09
G3ITF,Allocated,Full,1952-12-10
G3CAQ,Reserved,Full,1952-12-11
G3ISX,Allocated,Full,1952-12-11
G3BEC,Reserved,Full,1952-12-11
G3HFC,Allocated,Full,1952-12-20
G3HFW,Reserved,Full,1952-12-21
G3BEQ,Reserved,Full,1952-12-23
G3GHI,Reserved,Full,1952-12-30
G3JOA,Reserved,Full,1953-01-05
G3IUJ,Allocated,Full,1953-01-05
G3KDR,Reserved,Full,1953-01-13
G3IUY,Allocated,Full,1953-01-17
G3NGA,Reserved,Full,1953-01-23
G3IUZ,Allocated,Full,1953-01-23
G3IVB,Allocated,Full,1953-01-23
G3GJJ,Allocated,Full,1953-01-24
G3DEE,Reserved,Full,1953-01-24
G3BII,Allocated,Full,1953-01-25
G3IVF,Reserved,Full,1953-01-26
G3IVJ,Reserved,Full,1953-01-29
G3BJC,Reserved,Full,1953-01-30
G3IVQ,Reserved,Full,1953-01-31
G3IVM,Reserved,Full,1953-02-05
G2FBU,Reserved,Full,1953-02-06
G8CK,Reserved,Full,1953-02-07
G3FBU,Allocated,Full,1953-02-08
G3WQ,Reserved,Full,1953-02-08
G3ICB,Allocated,Full,1953-02-09
G3IWE,Allocated,Full,1953-02-11
G3IWM,Allocated,Full,1953-02-12
G3IWH,Allocated,Full,1953-02-12
G3GLA,Allocated,Full,1953-02-13
G3ICG,Allocated,Full,1953-02-14
G3HIF,Allocated,Full,1953-02-16
G3BLN,Reserved,Full,1953-02-20
G3IXG,Reserved,Full,1953-02-23
G3FFF,Allocated,Full,1953-03-01
G3DWI,Allocated,Full,1953-03-01
G3IJA,Allocated,Full,1953-03-03
G3BNF,Allocated,Full,1953-03-06
G3EKE,Allocated,Full,1953-03-10
G8TB,Reserved,Full,1953-03-14
G3IYF,Allocated,Full,1953-03-19
G3GNE,Reserved,Full,1953-03-23
G3ICZ,Allocated,Full,1953-03-28
G3GNX,Allocated,Full,1953-04-03
G3DNS,Allocated,Full,1953-04-07
G3IFX,Allocated,Full,1953-04-09
G3JFC,Allocated,Full,1953-04-10
G3IGZ,Allocated,Full,1953-04-10
G3IZD,Allocated,Full,1953-04-13
G3IYX,Reserved,Full,1953-04-13
G3IZF,Allocated,Full,1953-04-16
G3MOA,Allocated,Full,1953-04-21
G3FJI,Allocated,Full,1953-04-21
G3IZM,Allocated,Full,1953-04-22
G3GPG,Reserved,Full,1953-04-22
G3IGR,Allocated,Full,1953-04-26
G3IZW,Allocated,Full,1953-04-30
G3JAH,Reserved,Full,1953-05-07
G3JNB,Allocated,Full,1953-05-07
G3IZQ,Allocated,Full,1953-05-12
G3JAX,Reserved,Full,1953-05-14
G3BYG,Allocated,Full,1953-05-17
G3JAL,Allocated,Full,1953-05-19
G3JMG,Reserved,Full,1953-05-19
G3CMJ,Reserved,Full,1953-05-19
G3JBF,Allocated,Full,1953-05-22
G2FRY,Reserved,Full,1953-05-23
G3IHX,Allocated,Full,1953-05-28
G3JCC,Reserved,Full,1953-06-03
G3JTQ,Allocated,Full,1953-06-04
G3JCJ,Allocated,Full,1953-07-15
G2DBI,Reserved,Full,1953-07-16
G3MVU,Reserved,Full,1953-07-21
G3JAS,Reserved,Full,1953-07-24
G3JCU,Reserved,Full,1953-07-27
G3FRX,Reserved,Full,1953-08-19
G3HNE,Allocated,Full,1953-08-21
G3JDO,Allocated,Full,1953-08-21
G3JDT,Allocated,Full,1953-08-26
G3HMR,Allocated,Full,1953-09-06
G3JFR,Allocated,Full,1953-09-25
G3JFT,Allocated,Full,1953-09-29
G4UTQ,Allocated,Full,1953-10-04
G3JGC,Reserved,Full,1953-10-06
G3JGS,Reserved,Full,1953-10-16
G3JHI,Allocated,Full,1953-10-21
G3JHM,Reserved,Full,1953-10-24
G3JHU,Allocated,Full,1953-10-28
G3JKN,Reserved,Full,1953-10-30
G8IGQ,Reserved,Full,1953-11-01
G3JIG,Allocated,Full,1953-11-03
G3JKX,Allocated,Full,1953-11-06
G3JIX,Allocated,Full,1953-11-06
G3JKU,Reserved,Full,1953-11-10
G3JKM,Allocated,Full,1953-11-11
G3JJA,Reserved,Full,1953-11-11
G3JIP,Allocated,Full,1953-11-12
G3JJG,Reserved,Full,1953-11-12
G3IRA,Allocated,Full,1953-11-12
G3JJT,Allocated,Full,1953-11-15
G3JJZ,Reserved,Full,1953-11-19
G3JIJ,Allocated,Full,1953-11-21
G3JKE,Allocated,Full,1953-11-25
G3JKK,Reserved,Full,1953-11-25
G3JKY,Reserved,Full,1953-11-30
G3JFL,Allocated,Full,1953-11-30
G3JUF,Reserved,Full,1953-11-30
G3INL,Reserved,Full,1953-12-08
G3JLZ,Allocated,Full,1953-12-10
G3ITN,Allocated,Full,1953-12-11
G3JLN,Allocated,Full,1953-12-14
G3JME,Reserved,Full,1953-12-14
G3JMY,Reserved,Full,1953-12-18
G3JMZ,Allocated,Full,1953-12-18
G3JNJ,Allocated,Full,1953-12-21
G3JNP,Reserved,Full,1953-12-28
G3JNW,Reserved,Full,1954-01-05
G3JOR,Allocated,Full,1954-01-08
G3JPB,Allocated,Full,1954-01-16
G3JPG,Allocated,Full,1954-01-23
G3JPO,Allocated,Full,1954-01-27
G3JPM,Allocated,Full,1954-01-29
G3JPU,Allocated,Full,1954-01-29
G3JQC,Allocated,Full,1954-02-09
G3IVR,Allocated,Full,1954-02-11
G3KVP,Allocated,Full,1954-02-14
G3JQL,Allocated,Full,1954-02-20
G3JQN,Reserved,Full,1954-02-24
G3FUJ,Allocated,Full,1954-02-25
G3AKU,Reserved,Full,1954-02-25
G3JVM,Allocated,Full,1954-04-13
G3JSV,Allocated,Full,1954-05-07
G3CCL,Reserved,Full,1954-06-07
G3JUD,Reserved,Full,1954-06-15
G3JUL,Allocated,Full,1954-06-25
G3JUU,Allocated,Full,1954-07-02
G3JCB,Reserved,Full,1954-07-09
G3DXS,Reserved,Full,1954-07-10
G3JVF,Reserved,Full,1954-07-27
G3BRV,Reserved,Full,1954-08-06
G3JWN,Allocated,Full,1954-08-12
G3JXC,Allocated,Full,1954-08-20
G3JXG,Reserved,Full,1954-08-27
G3HAL,Allocated,Full,1954-09-03
G3JXN,Reserved,Full,1954-09-04
G3JXU,Reserved,Full,1954-09-09
G3CMH,Allocated,Full,1954-09-15
G3JYP,Reserved,Full,1954-09-22
G2HIO,Reserved,Full,1954-09-23
G3JZP,Allocated,Full,1954-10-01
G3KAE,Allocated,Full,1954-10-07
G3KAF,Allocated,Full,1954-10-07
G3KAG,Allocated,Full,1954-10-14
G3KAN,Allocated,Full,1954-10-15
G3KAU,Allocated,Full,1954-10-25
G3KAZ,Reserved,Full,1954-10-27
G3DIT,Allocated,Full,1954-11-08
G3KBS,Allocated,Full,1954-11-16
G3KBZ,Reserved,Full,1954-11-26
G3MFE,Reserved,Full,1954-12-02
G3KCT,Allocated,Full,1954-12-08
G3IGU,Allocated,Full,1954-12-08
G3NWL,Allocated,Full,1954-12-09
G2BFD,Reserved,Full,1954-12-09
G3KCY,Allocated,Full,1954-12-11
G3KDA,Reserved,Full,1954-12-17
G3JRD,Allocated,Full,1954-12-18
G3KDD,Allocated,Full,1954-12-22
G3KDO,Reserved,Full,1955-01-02
G3KDY,Allocated,Full,1955-01-20
G3DHY,Reserved,Full,1955-01-20
G3KEQ,Allocated,Full,1955-02-02
G3KDP,Allocated,Full,1955-02-02
G3KER,Allocated,Full,1955-02-05
G3IWV,Allocated,Full,1955-02-16
G3FDZ,Allocated,Full,1955-02-24
G3KFU,Allocated,Full,1955-03-05
G3HJK,Allocated,Full,1955-03-09
G3KGA,Reserved,Full,1955-03-15
G3KGB,Allocated,Full,1955-03-15
G3IWA,Reserved,Full,1955-03-25
G3KGI,Allocated,Full,1955-03-29
G3KJW,Allocated,Full,1955-04-06
G3DNQ,Allocated,Full,1955-04-07
G3KGT,Allocated,Full,1955-04-13
G3KGV,Allocated,Full,1955-04-14
G3HUR,Allocated,Full,1955-04-22
G3KHH,Allocated,Full,1955-05-04
G3ODQ,Reserved,Full,1955-05-06
G3KHR,Allocated,Full,1955-05-18
G3KIG,Reserved,Full,1955-06-10
G3KII,Allocated,Full,1955-06-10
G3KIP,Allocated,Full,1955-06-15
G3LMO,Allocated,Full,1955-07-03
G3KJG,Reserved,Full,1955-07-19
G3KJI,Allocated,Full,1955-07-21
G3KJK,Allocated,Full,1955-07-22
G3KJS,Allocated,Full,1955-07-29
G3JXB,Allocated,Full,1955-07-31
G3KKQ,Reserved,Full,1955-08-02
G3LEJ,Reserved,Full,1955-08-04
G3KJX,Allocated,Full,1955-08-06
G3KKC,Allocated,Full,1955-08-09
G3KKJ,Allocated,Full,1955-08-18
G3KKZ,Allocated,Full,1955-08-25
G3KLA,Reserved,Full,1955-08-25
G3KLL,Reserved,Full,1955-09-01
G3KLO,Reserved,Full,1955-09-02
G3KLV,Allocated,Full,1955-09-06
G3KMA,Allocated,Full,1955-09-13
G3KMM,Allocated,Full,1955-09-15
G3KMO,Allocated,Full,1955-09-16
G3KMQ,Allocated,Full,1955-09-16
G3KMS,Allocated,Full,1955-09-17
G3LGK,Allocated,Full,1955-09-18
G3KMY,Reserved,Full,1955-09-21
G3KNB,Reserved,Full,1955-09-21
G3KND,Allocated,Full,1955-09-23
G3KNI,Reserved,Full,1955-09-27
G3KOB,Allocated,Full,1955-10-07
G3KOD,Allocated,Full,1955-10-10
G3KNZ,Allocated,Full,1955-10-16
G3KOS,Allocated,Full,1955-10-20
21ENI,Allocated,Intermediate,1955-10-23
G3OCW,Allocated,Full,1955-10-26
G3KPP,Allocated,Full,1955-11-03
G3KPU,Allocated,Full,1955-11-04
G3KPV,Allocated,Full,1955-11-05
G3KQF,Allocated,Full,1955-11-12
G3KQD,Allocated,Full,1955-11-14
G3KQE,Reserved,Full,1955-11-14
G3KQR,Reserved,Full,1955-11-23
G3KQN,Reserved,Full,1955-11-25
G3MEP,Reserved,Full,1955-11-27
G3KQY,Allocated,Full,1955-11-28
G3KRW,Allocated,Full,1955-12-06
G3KRZ,Allocated,Full,1955-12-10
G3KRT,Allocated,Full,1955-12-13
G3KTC,Reserved,Full,1956-01-05
G3KTJ,Allocated,Full,1956-01-12
G3KTK,Reserved,Full,1956-01-12
G3KTL,Reserved,Full,1956-01-12
G3KTM,Allocated,Full,1956-01-13
G3KTR,Allocated,Full,1956-01-14
G3LOX,Reserved,Full,1956-02-15
G3KVE,Reserved,Full,1956-02-18
G3KVG,Allocated,Full,1956-02-20
G3KVX,Reserved,Full,1956-03-05
G3KVT,Allocated,Full,1956-03-06
G3KWA,Allocated,Full,1956-03-08
G3KWB,Allocated,Full,1956-03-08
G3KWC,Reserved,Full,1956-03-08
G3KWG,Reserved,Full,1956-03-09
G3KXI,Allocated,Full,1956-04-04
G3KYP,Reserved,Full,1956-04-05
G3KGM,Allocated,Full,1956-04-06
G3MMP,Allocated,Full,1956-04-07
G3KXS,Allocated,Full,1956-04-10
G3KXX,Allocated,Full,1956-04-13
G3KYZ,Allocated,Full,1956-05-10
G3KZB,Allocated,Full,1956-05-12
G3KZE,Allocated,Full,1956-05-15
G3KZN,Allocated,Full,1956-05-24
G3KZU,Allocated,Full,1956-05-28
G3LAU,Allocated,Full,1956-06-29
G3LAS,Allocated,Full,1956-06-29
G3LAZ,Allocated,Full,1956-06-30
G3LBA,Reserved,Full,1956-07-05
G3RCU,Allocated,Full,1956-07-12
G3MSS,Reserved,Full,1956-07-14
G3LCB,Reserved,Full,1956-07-23
G3MWO,Allocated,Full,1956-07-25
G3LCH,Allocated,Full,1956-07-26
G3LCQ,Allocated,Full,1956-07-31
G3LCT,Allocated,Full,1956-08-01
G3LCY,Allocated,Full,1956-08-02
G3LBC,Reserved,Full,1956-08-07
G3LDJ,Allocated,Full,1956-08-09
G3LDH,Reserved,Full,1956-08-10
G3LDR,Reserved,Full,1956-08-16
G3KWY,Allocated,Full,1956-08-19
G3LDY,Allocated,Full,1956-08-20
G3LET,Allocated,Full,1956-08-22
G3LEO,Allocated,Full,1956-08-23
G3LEQ,Reserved,Full,1956-08-27
G3LEW,Allocated,Full,1956-08-29
G3LFD,Allocated,Full,1956-09-03
G3LFH,Reserved,Full,1956-09-04
G3LFF,Reserved,Full,1956-09-04
G3LFX,Allocated,Full,1956-09-17
G3LGA,Allocated,Full,1956-09-17
G3LGM,Reserved,Full,1956-09-18
G3LGS,Reserved,Full,1956-09-19
G3LFZ,Allocated,Full,1956-09-21
G3LGW,Allocated,Full,1956-09-21
G3LGX,Reserved,Full,1956-09-21
G3LHG,Allocated,Full,1956-09-25
G3LHN,Allocated,Full,1956-09-27
G3LHV,Reserved,Full,1956-10-02
G3LIA,Reserved,Full,1956-10-03
G3LJD,Allocated,Full,1956-10-18
G3LIZ,Reserved,Full,1956-10-19
G3LIV,Allocated,Full,1956-10-19
G3LJS,Allocated,Full,1956-10-26
G3IJU,Allocated,Full,1956-10-30
G3LJQ,Reserved,Full,1956-11-05
G3LLD,Allocated,Full,1956-11-26
G3LLJ,Allocated,Full,1956-12-05
G3LLP,Allocated,Full,1956-12-14
G3LLS,Reserved,Full,1956-12-14
G3LLX,Reserved,Full,1956-12-17
G3LLZ,Allocated,Full,1956-12-18
G3LMM,Reserved,Full,1956-12-21
G3LUN,Allocated,Full,1957-01-01
G3LMQ,Allocated,Full,1957-01-01
G3LNC,Reserved,Full,1957-01-11
G3LNG,Reserved,Full,1957-01-15
G3LNI,Reserved,Full,1957-01-16
G3LNS,Allocated,Full,1957-01-25
G3LNL,Allocated,Full,1957-01-25
G3LNN,Allocated,Full,1957-01-25
G3LNP,Allocated,Full,1957-01-25
G3LNK,Reserved,Full,1957-01-25
G3LNR,Allocated,Full,1957-01-26
G3LOF,Allocated,Full,1957-02-01
G3LOV,Allocated,Full,1957-02-15
G3KVR,Allocated,Full,1957-03-01
G3LPN,Allocated,Full,1957-03-07
G3LPO,Reserved,Full,1957-03-11
G3LPU,Allocated,Full,1957-03-13
G3LPS,Allocated,Full,1957-03-13
G3LPT,Allocated,Full,1957-03-13
G3LPV,Allocated,Full,1957-03-13
G3KWW,Allocated,Full,1957-03-23
G3LQH,Reserved,Full,1957-03-25
G3LQN,Reserved,Full,1957-03-29
G3LQY,Allocated,Full,1957-04-10
G3LRG,Allocated,Full,1957-04-15
G3LRI,Allocated,Full,1957-04-17
G3LRL,Allocated,Full,1957-04-24
