Call Sign,Status,Licence Class,Licence Issued Dat
G4IFJ,Allocated,Full,03/05/1903
G8UYK,Allocated,Full,04/02/1904
G6UGE,Allocated,Full,16/02/1904
G4IUZ,Reserved,Full,16/10/1909
G3ZEX,Allocated,Full,03/03/1920
G3HJH,Allocated,Full,22/05/1922
G4HAB,Allocated,Full,05/05/1926
G6NB,Reserved,Full,26/01/1932
G4TRZ,Allocated,Full,26/05/1933
G5MY,Allocated,Full,01/02/1935
G5IX,Reserved,Full,05/06/1935
G2ADN,Reserved,Full,01/05/1936
G8HB,Reserved,Full,16/12/1936
G2MJ,Reserved,Full,02/01/1937
G3UP,Reserved,Full,16/01/1937
G8SX,Reserved,Full,01/02/1937
G8QM,Allocated,Full,26/10/1937
G3VA,Reserved,Full,02/02/1938
G3QD,Reserved,Full,17/02/1938
G3GA,Reserved,Full,23/02/1938
G2AOZ,Reserved,Full,09/06/1938
G2AMG,Allocated,Full,10/10/1938
G2FQP,Reserved,Full,01/11/1938
G4CK,Allocated,Full,30/01/1939
G4LW,Reserved,Full,12/02/1939
G4DR,Allocated,Full,16/02/1939
G2HIY,Reserved,Full,08/05/1939
G2DKN,Reserved,Full,10/05/1939
G2HDU,Reserved,Full,16/06/1939
G2HMB,Reserved,Full,27/07/1939
G4YZO,Reserved,Full,07/08/1939
G2CQJ,Reserved,Full,29/08/1939
G4JZK,Reserved,Full,15/07/1943
G3JZW,Reserved,Full,07/10/1943
G3ENG,Allocated,Full,01/01/1946
G3SB,Reserved,Full,24/01/1946
G8IK,Allocated,Full,01/02/1946
G3WF,Allocated,Full,01/02/1946
G4LU,Reserved,Full,25/02/1946
G2CGL,Reserved,Full,12/03/1946
G4YK,Allocated,Full,16/03/1946
G2FUD,Reserved,Full,21/03/1946
G2FYV,Reserved,Full,22/03/1946
G2CMW,Reserved,Full,25/03/1946
G2FSA,Reserved,Full,01/04/1946
G3CRP,Reserved,Full,18/04/1946
G3AQB,Allocated,Full,30/04/1946
G3BGM,Reserved,Full,01/05/1946
G2ADR,Reserved,Full,28/05/1946
G3DRB,Reserved,Full,06/06/1946
G3AWW,Reserved,Full,01/07/1946
G3ABA,Reserved,Full,02/07/1946
G2FTK,Reserved,Full,03/07/1946
G3AAJ,Reserved,Full,13/07/1946
G3AAO,Reserved,Full,14/07/1946
G3ADS,Reserved,Full,29/07/1946
G3ADQ,Reserved,Full,29/07/1946
G3AER,Allocated,Full,06/08/1946
G2HKG,Reserved,Full,15/08/1946
G3AIK,Reserved,Full,20/08/1946
G3AJS,Reserved,Full,23/08/1946
G3AKI,Allocated,Full,23/08/1946
G3AKX,Reserved,Full,06/09/1946
G3AMG,Reserved,Full,06/09/1946
G3ANH,Reserved,Full,08/09/1946
G3AAZ,Reserved,Full,14/09/1946
G3AQM,Reserved,Full,27/09/1946
G3ASG,Allocated,Full,02/10/1946
G3ARS,Allocated,Full,03/10/1946
G2HFD,Reserved,Full,14/10/1946
G3AUS,Reserved,Full,16/10/1946
G2DYM,Reserved,Full,18/10/1946
G3AXX,Allocated,Full,06/11/1946
G3APL,Allocated,Full,06/11/1946
G3BHF,Allocated,Full,19/11/1946
G3BAP,Reserved,Full,20/12/1946
G3ESY,Allocated,Full,24/12/1946
G3CSY,Allocated,Full,01/01/1947
G3BHK,Reserved,Full,22/01/1947
G3BHW,Reserved,Full,22/01/1947
G3BKN,Reserved,Full,07/02/1947
G2HMK,Allocated,Full,19/02/1947
G3BMI,Allocated,Full,27/02/1947
G3BMX,Reserved,Full,01/03/1947
G3BPG,Allocated,Full,25/03/1947
G3BPQ,Allocated,Full,25/03/1947
G3BQE,Allocated,Full,02/04/1947
G3CTP,Allocated,Full,02/04/1947
G3BRA,Reserved,Full,03/04/1947
G3DNH,Reserved,Full,07/04/1947
G3CVK,Allocated,Full,13/04/1947
G3AME,Allocated,Full,15/04/1947
G3BSU,Reserved,Full,24/04/1947
G3BVA,Allocated,Full,03/05/1947
G3DSK,Reserved,Full,11/05/1947
G4CA,Reserved,Full,31/05/1947
G3CCM,Reserved,Full,07/06/1947
G3CCF,Reserved,Full,09/06/1947
G3CCX,Reserved,Full,20/06/1947
G3CFK,Reserved,Full,12/07/1947
G3CFV,Reserved,Full,12/07/1947
G3CIM,Allocated,Full,01/08/1947
G3AFB,Allocated,Full,08/08/1947
G3AHB,Reserved,Full,15/08/1947
G3CBA,Allocated,Full,21/08/1947
G3CLK,Reserved,Full,29/08/1947
G3CJD,Reserved,Full,09/09/1947
G2DZF,Reserved,Full,10/09/1947
G3CPT,Allocated,Full,04/10/1947
G3AST,Allocated,Full,07/10/1947
G3ASR,Allocated,Full,13/10/1947
G3AUE,Allocated,Full,16/10/1947
G3CSC,Reserved,Full,18/10/1947
G3COY,Reserved,Full,29/10/1947
G3CVW,Reserved,Full,15/11/1947
G3ALG,Allocated,Full,17/11/1947
G3DAV,Allocated,Full,19/12/1947
G3DCS,Reserved,Full,12/01/1948
G3DEB,Reserved,Full,30/01/1948
G3DFD,Reserved,Full,03/02/1948
G2FFN,Reserved,Full,15/02/1948
G3DIC,Reserved,Full,25/02/1948
G2HBA,Reserved,Full,27/02/1948
G3DJJ,Reserved,Full,12/03/1948
G3DNJ,Reserved,Full,01/04/1948
G3DCZ,Reserved,Full,02/04/1948
G3ENX,Reserved,Full,10/04/1948
G3DOJ,Reserved,Full,12/04/1948
G3DOV,Allocated,Full,16/04/1948
G3EJR,Allocated,Full,21/04/1948
G3DPX,Reserved,Full,23/04/1948
G3DMQ,Reserved,Full,27/04/1948
G3DQQ,Allocated,Full,30/04/1948
G3BRQ,Allocated,Full,03/05/1948
G3DQT,Allocated,Full,06/05/1948
G3DRV,Allocated,Full,08/05/1948
G3DSV,Reserved,Full,14/05/1948
G3BZB,Allocated,Full,28/05/1948
G3EDM,Reserved,Full,03/06/1948
G3DVL,Reserved,Full,14/06/1948
G3BQA,Reserved,Full,17/06/1948
G3DWQ,Reserved,Full,29/06/1948
G3CGE,Allocated,Full,12/07/1948
G3DXZ,Allocated,Full,22/07/1948
G3DZS,Reserved,Full,29/07/1948
G3EAO,Reserved,Full,03/08/1948
G3EBE,Reserved,Full,06/08/1948
G3FRE,Allocated,Full,11/08/1948
G3EDZ,Reserved,Full,03/09/1948
G3EFI,Reserved,Full,09/09/1948
G3EDS,Reserved,Full,15/09/1948
G3EFP,Reserved,Full,17/09/1948
G3EGF,Allocated,Full,23/09/1948
G3EHZ,Reserved,Full,24/09/1948
G3EIX,Reserved,Full,29/09/1948
G3ATX,Allocated,Full,01/10/1948
G3EJH,Allocated,Full,05/10/1948
G3CRH,Allocated,Full,16/10/1948
G3ENJ,Reserved,Full,05/11/1948
G3ERD,Allocated,Full,20/11/1948
G3EPG,Reserved,Full,27/11/1948
G5QK,Allocated,Full,08/12/1948
G3EUS,Reserved,Full,19/01/1949
G3EZX,Reserved,Full,01/02/1949
G3COI,Reserved,Full,07/02/1949
G2FCP,Allocated,Full,14/02/1949
G3FDG,Reserved,Full,17/02/1949
G3FDN,Reserved,Full,19/02/1949
G3DLH,Reserved,Full,18/03/1949
G3KYE,Allocated,Full,18/04/1949
G3GEA,Reserved,Full,23/04/1949
G3FIR,Allocated,Full,04/05/1949
G3FJN,Reserved,Full,09/05/1949
G3GIG,Reserved,Full,10/05/1949
G3DSZ,Allocated,Full,19/05/1949
G3FLV,Allocated,Full,31/05/1949
G3FVD,Reserved,Full,10/06/1949
G3FNO,Allocated,Full,14/06/1949
G3FPH,Allocated,Full,09/07/1949
G2CQX,Allocated,Full,11/07/1949
G3FPF,Reserved,Full,12/07/1949
G3AOK,Reserved,Full,17/09/1949
G3FWD,Allocated,Full,19/09/1949
G3FWI,Allocated,Full,27/09/1949
G3ELS,Allocated,Full,18/10/1949
G3FXN,Allocated,Full,29/10/1949
G3EOO,Allocated,Full,15/11/1949
G3GDU,Reserved,Full,26/11/1949
G3GBS,Allocated,Full,29/11/1949
G3GEF,Allocated,Full,30/11/1949
G3EQM,Allocated,Full,02/12/1949
G3GFT,Reserved,Full,09/12/1949
G3GGG,Allocated,Full,16/12/1949
G3GGO,Reserved,Full,16/12/1949
G3GGL,Reserved,Full,16/12/1949
G3GGK,Allocated,Full,16/12/1949
G3GGY,Reserved,Full,19/12/1949
G3GII,Reserved,Full,10/01/1950
G3EFK,Reserved,Full,20/02/1950
G3GLW,Allocated,Full,04/03/1950
G3GMN,Reserved,Full,10/03/1950
G3GMY,Allocated,Full,20/03/1950
G3GNK,Reserved,Full,01/04/1950
G3GNR,Reserved,Full,01/04/1950
G3GOT,Allocated,Full,18/04/1950
G3GQN,Reserved,Full,12/05/1950
G3HAT,Reserved,Full,13/05/1950
G3GRO,Reserved,Full,26/05/1950
G3GTW,Reserved,Full,27/07/1950
G3GUD,Reserved,Full,10/08/1950
G3HRH,Allocated,Full,20/08/1950
G3HBZ,Reserved,Full,23/09/1950
G3GXQ,Allocated,Full,04/10/1950
G3HBN,Reserved,Full,13/10/1950
G3GZH,Reserved,Full,14/10/1950
G3HAG,Reserved,Full,21/10/1950
G3HAV,Reserved,Full,01/11/1950
G3HCO,Allocated,Full,04/11/1950
G3HCT,Allocated,Full,16/11/1950
G3IMW,Allocated,Full,02/12/1950
G3BST,Allocated,Full,01/01/1951
G3HGL,Allocated,Full,09/01/1951
G3HGM,Reserved,Full,09/01/1951
G3IOW,Reserved,Full,30/01/1951
G3HKN,Allocated,Full,04/04/1951
G3HMO,Allocated,Full,04/04/1951
G3HKQ,Reserved,Full,04/04/1951
G3HMB,Allocated,Full,23/04/1951
G3HMF,Reserved,Full,02/05/1951
G3IIA,Allocated,Full,05/05/1951
G3JBH,Reserved,Full,20/05/1951
G3HOH,Reserved,Full,21/06/1951
G3HQG,Allocated,Full,16/08/1951
G3HWR,Reserved,Full,19/08/1951
G3HRD,Reserved,Full,29/08/1951
G3HRE,Allocated,Full,31/08/1951
G3HRN,Reserved,Full,09/09/1951
G3HTA,Allocated,Full,13/09/1951
G3HTP,Reserved,Full,24/09/1951
G3HUN,Reserved,Full,02/10/1951
G3HUJ,Reserved,Full,03/10/1951
G3HUL,Reserved,Full,10/10/1951
G3HUX,Allocated,Full,13/10/1951
G3JGY,Reserved,Full,19/10/1951
G3HVK,Allocated,Full,20/10/1951
G3HVX,Reserved,Full,01/11/1951
G3HWE,Reserved,Full,07/11/1951
G3HWQ,Reserved,Full,10/11/1951
G3HGD,Allocated,Full,02/12/1951
G3HYJ,Reserved,Full,12/12/1951
G3HYX,Allocated,Full,13/12/1951
G3HZR,Reserved,Full,19/12/1951
G3HZT,Allocated,Full,19/12/1951
G3GZX,Allocated,Full,22/12/1951
G3KDW,Allocated,Full,01/01/1952
G3IAF,Reserved,Full,07/01/1952
G3HWS,Reserved,Full,10/01/1952
G2BHG,Allocated,Full,09/02/1952
G3ICQ,Reserved,Full,01/03/1952
G3IWT,Reserved,Full,27/03/1952
G3JSF,Reserved,Full,07/04/1952
G3IFB,Reserved,Full,20/04/1952
G3JHL,Reserved,Full,20/04/1952
G3IGG,Reserved,Full,22/04/1952
G2AFV,Reserved,Full,12/06/1952
G3ITB,Allocated,Full,14/06/1952
G3IIV,Allocated,Full,14/06/1952
G2HCG,Allocated,Full,22/06/1952
G3CDJ,Reserved,Full,24/06/1952
G3IJI,Reserved,Full,24/06/1952
G3FNZ,Allocated,Full,25/06/1952
G3IJN,Allocated,Full,27/06/1952
G3IJW,Reserved,Full,05/07/1952
G3IZU,Reserved,Full,07/07/1952
G3IKB,Allocated,Full,09/07/1952
G3CGD,Allocated,Full,10/07/1952
G3FPI,Reserved,Full,11/07/1952
G3HPC,Allocated,Full,13/07/1952
G3GTL,Reserved,Full,17/07/1952
G3IKL,Allocated,Full,23/07/1952
G3HPD,Allocated,Full,26/07/1952
G3EAE,Allocated,Full,30/07/1952
G2FCA,Reserved,Full,01/08/1952
G3IMC,Reserved,Full,23/08/1952
G3IMG,Reserved,Full,28/08/1952
G3HQX,Allocated,Full,29/08/1952
G3EDT,Reserved,Full,02/09/1952
G3JRW,Reserved,Full,05/09/1952
G3ISU,Reserved,Full,06/09/1952
G3IMX,Allocated,Full,06/09/1952
G3IWC,Reserved,Full,11/09/1952
G3AMO,Reserved,Full,11/09/1952
G4BP,Allocated,Full,12/09/1952
G3HTB,Allocated,Full,15/09/1952
G3EFX,Allocated,Full,18/09/1952
G3INY,Allocated,Full,19/09/1952
G3INZ,Allocated,Full,19/09/1952
G3INR,Allocated,Full,22/09/1952
G3CNM,Reserved,Full,25/09/1952
G3JKF,Allocated,Full,26/09/1952
G3IOI,Allocated,Full,29/09/1952
G3IOJ,Allocated,Full,29/09/1952
G3EKD,Reserved,Full,07/10/1952
G3CQK,Reserved,Full,11/10/1952
G3GYC,Reserved,Full,14/10/1952
G3GZJ,Allocated,Full,14/10/1952
G3MBK,Allocated,Full,18/10/1952
G3HAN,Allocated,Full,21/10/1952
G3EMY,Reserved,Full,02/11/1952
G3IST,Allocated,Full,09/11/1952
G3IRX,Reserved,Full,12/11/1952
G3KQG,Allocated,Full,14/11/1952
G3AYZ,Reserved,Full,15/11/1952
G3JJW,Reserved,Full,18/11/1952
G3HXH,Reserved,Full,20/11/1952
G3ISP,Reserved,Full,26/11/1952
G3CXP,Allocated,Full,02/12/1952
G3CXT,Reserved,Full,03/12/1952
G3ITH,Allocated,Full,05/12/1952
G3HYH,Allocated,Full,06/12/1952
G3HEO,Reserved,Full,09/12/1952
G3ITF,Allocated,Full,10/12/1952
G3CAQ,Reserved,Full,11/12/1952
G3ISX,Allocated,Full,11/12/1952
G3BEC,Reserved,Full,11/12/1952
G3HFC,Allocated,Full,20/12/1952
G3HFW,Reserved,Full,21/12/1952
G3BEQ,Reserved,Full,23/12/1952
G3GHI,Reserved,Full,30/12/1952
G3JOA,Reserved,Full,05/01/1953
G3IUJ,Allocated,Full,05/01/1953
G3KDR,Reserved,Full,13/01/1953
G3IUY,Allocated,Full,17/01/1953
G3NGA,Reserved,Full,23/01/1953
G3IUZ,Allocated,Full,23/01/1953
G3IVB,Allocated,Full,23/01/1953
G3GJJ,Allocated,Full,24/01/1953
G3DEE,Reserved,Full,24/01/1953
G3BII,Allocated,Full,25/01/1953
G3IVF,Reserved,Full,26/01/1953
G3IVJ,Reserved,Full,29/01/1953
G3BJC,Reserved,Full,30/01/1953
G3IVQ,Reserved,Full,31/01/1953
G3IVM,Reserved,Full,05/02/1953
G2FBU,Reserved,Full,06/02/1953
G8CK,Reserved,Full,07/02/1953
G3FBU,Allocated,Full,08/02/1953
G3WQ,Reserved,Full,08/02/1953
G3ICB,Allocated,Full,09/02/1953
G3IWE,Allocated,Full,11/02/1953
G3IWM,Allocated,Full,12/02/1953
G3IWH,Allocated,Full,12/02/1953
G3GLA,Allocated,Full,13/02/1953
G3ICG,Allocated,Full,14/02/1953
G3HIF,Allocated,Full,16/02/1953
G3BLN,Reserved,Full,20/02/1953
G3IXG,Reserved,Full,23/02/1953
G3FFF,Allocated,Full,01/03/1953
G3DWI,Allocated,Full,01/03/1953
G3IJA,Allocated,Full,03/03/1953
G3BNF,Allocated,Full,06/03/1953
G3EKE,Allocated,Full,10/03/1953
G8TB,Reserved,Full,14/03/1953
G3IYF,Allocated,Full,19/03/1953
G3GNE,Reserved,Full,23/03/1953
G3ICZ,Allocated,Full,28/03/1953
G3GNX,Allocated,Full,03/04/1953
G3DNS,Allocated,Full,07/04/1953
G3IFX,Allocated,Full,09/04/1953
G3JFC,Allocated,Full,10/04/1953
G3IGZ,Allocated,Full,10/04/1953
G3IZD,Allocated,Full,13/04/1953
G3IYX,Reserved,Full,13/04/1953
G3IZF,Allocated,Full,16/04/1953
G3MOA,Allocated,Full,21/04/1953
G3FJI,Allocated,Full,21/04/1953
G3IZM,Allocated,Full,22/04/1953
G3GPG,Reserved,Full,22/04/1953
G3IGR,Allocated,Full,26/04/1953
G3IZW,Allocated,Full,30/04/1953
G3JAH,Reserved,Full,07/05/1953
G3JNB,Allocated,Full,07/05/1953
G3IZQ,Allocated,Full,12/05/1953
G3JAX,Reserved,Full,14/05/1953
G3BYG,Allocated,Full,17/05/1953
G3JAL,Allocated,Full,19/05/1953
G3JMG,Reserved,Full,19/05/1953
G3CMJ,Reserved,Full,19/05/1953
G3JBF,Allocated,Full,22/05/1953
G2FRY,Reserved,Full,23/05/1953
G3IHX,Allocated,Full,28/05/1953
G3JCC,Reserved,Full,03/06/1953
G3JTQ,Allocated,Full,04/06/1953
G3JCJ,Allocated,Full,15/07/1953
G2DBI,Reserved,Full,16/07/1953
G3MVU,Reserved,Full,21/07/1953
G3JAS,Reserved,Full,24/07/1953
G3JCU,Reserved,Full,27/07/1953
G3FRX,Reserved,Full,19/08/1953
G3HNE,Allocated,Full,21/08/1953
G3JDO,Allocated,Full,21/08/1953
G3JDT,Allocated,Full,26/08/1953
G3HMR,Allocated,Full,06/09/1953
G3JFR,Allocated,Full,25/09/1953
G3JFT,Allocated,Full,29/09/1953
G4UTQ,Allocated,Full,04/10/1953
G3JGC,Reserved,Full,06/10/1953
G3JGS,Reserved,Full,16/10/1953
G3JHI,Allocated,Full,21/10/1953
G3JHM,Reserved,Full,24/10/1953
G3JHU,Allocated,Full,28/10/1953
G3JKN,Reserved,Full,30/10/1953
G8IGQ,Reserved,Full,01/11/1953
G3JIG,Allocated,Full,03/11/1953
G3JKX,Allocated,Full,06/11/1953
G3JIX,Allocated,Full,06/11/1953
G3JKU,Reserved,Full,10/11/1953
G3JKM,Allocated,Full,11/11/1953
G3JJA,Reserved,Full,11/11/1953
G3JIP,Allocated,Full,12/11/1953
G3JJG,Reserved,Full,12/11/1953
G3IRA,Allocated,Full,12/11/1953
G3JJT,Allocated,Full,15/11/1953
G3JJZ,Reserved,Full,19/11/1953
G3JIJ,Allocated,Full,21/11/1953
G3JKE,Allocated,Full,25/11/1953
G3JKK,Reserved,Full,25/11/1953
G3JKY,Reserved,Full,30/11/1953
G3JFL,Allocated,Full,30/11/1953
G3JUF,Reserved,Full,30/11/1953
G3INL,Reserved,Full,08/12/1953
G3JLZ,Allocated,Full,10/12/1953
G3ITN,Allocated,Full,11/12/1953
G3JLN,Allocated,Full,14/12/1953
G3JME,Reserved,Full,14/12/1953
G3JMY,Reserved,Full,18/12/1953
G3JMZ,Allocated,Full,18/12/1953
G3JNJ,Allocated,Full,21/12/1953
G3JNP,Reserved,Full,28/12/1953
G3JNW,Reserved,Full,05/01/1954
G3JOR,Allocated,Full,08/01/1954
G3JPB,Allocated,Full,16/01/1954
G3JPG,Allocated,Full,23/01/1954
G3JPO,Allocated,Full,27/01/1954
G3JPM,Allocated,Full,29/01/1954
G3JPU,Allocated,Full,29/01/1954
G3JQC,Allocated,Full,09/02/1954
G3IVR,Allocated,Full,11/02/1954
G3KVP,Allocated,Full,14/02/1954
G3JQL,Allocated,Full,20/02/1954
G3JQN,Reserved,Full,24/02/1954
G3FUJ,Allocated,Full,25/02/1954
G3AKU,Reserved,Full,25/02/1954
G3JVM,Allocated,Full,13/04/1954
G3JSV,Allocated,Full,07/05/1954
G3CCL,Reserved,Full,07/06/1954
G3JUD,Reserved,Full,15/06/1954
G3JUL,Allocated,Full,25/06/1954
G3JUU,Allocated,Full,02/07/1954
G3JCB,Reserved,Full,09/07/1954
G3DXS,Reserved,Full,10/07/1954
G3JVF,Reserved,Full,27/07/1954
G3BRV,Reserved,Full,06/08/1954
G3JWN,Allocated,Full,12/08/1954
G3JXC,Allocated,Full,20/08/1954
G3JXG,Reserved,Full,27/08/1954
G3HAL,Allocated,Full,03/09/1954
G3JXN,Reserved,Full,04/09/1954
G3JXU,Reserved,Full,09/09/1954
G3CMH,Allocated,Full,15/09/1954
G3JYP,Reserved,Full,22/09/1954
G2HIO,Reserved,Full,23/09/1954
G3JZP,Allocated,Full,01/10/1954
G3KAE,Allocated,Full,07/10/1954
G3KAF,Allocated,Full,07/10/1954
G3KAG,Allocated,Full,14/10/1954
G3KAN,Allocated,Full,15/10/1954
G3KAU,Allocated,Full,25/10/1954
G3KAZ,Reserved,Full,27/10/1954
G3DIT,Allocated,Full,08/11/1954
G3KBS,Allocated,Full,16/11/1954
G3KBZ,Reserved,Full,26/11/1954
G3MFE,Reserved,Full,02/12/1954
G3KCT,Allocated,Full,08/12/1954
G3IGU,Allocated,Full,08/12/1954
G3NWL,Allocated,Full,09/12/1954
G2BFD,Reserved,Full,09/12/1954
G3KCY,Allocated,Full,11/12/1954
G3KDA,Reserved,Full,17/12/1954
G3JRD,Allocated,Full,18/12/1954
G3KDD,Allocated,Full,22/12/1954
G3KDO,Reserved,Full,02/01/1955
G3KDY,Allocated,Full,20/01/1955
G3DHY,Reserved,Full,20/01/1955
G3KEQ,Allocated,Full,02/02/1955
G3KDP,Allocated,Full,02/02/1955
G3KER,Allocated,Full,05/02/1955
G3IWV,Allocated,Full,16/02/1955
G3FDZ,Allocated,Full,24/02/1955
G3KFU,Allocated,Full,05/03/1955
G3HJK,Allocated,Full,09/03/1955
G3KGA,Reserved,Full,15/03/1955
G3KGB,Allocated,Full,15/03/1955
G3IWA,Reserved,Full,25/03/1955
G3KGI,Allocated,Full,29/03/1955
G3KJW,Allocated,Full,06/04/1955
G3DNQ,Allocated,Full,07/04/1955
G3KGT,Allocated,Full,13/04/1955
G3KGV,Allocated,Full,14/04/1955
G3HUR,Allocated,Full,22/04/1955
G3KHH,Allocated,Full,04/05/1955
G3ODQ,Reserved,Full,06/05/1955
G3KHR,Allocated,Full,18/05/1955
G3KIG,Reserved,Full,10/06/1955
G3KII,Allocated,Full,10/06/1955
G3KIP,Allocated,Full,15/06/1955
G3LMO,Allocated,Full,03/07/1955
G3KJG,Reserved,Full,19/07/1955
G3KJI,Allocated,Full,21/07/1955
G3KJK,Allocated,Full,22/07/1955
G3KJS,Allocated,Full,29/07/1955
G3JXB,Allocated,Full,31/07/1955
G3KKQ,Reserved,Full,02/08/1955
G3LEJ,Reserved,Full,04/08/1955
G3KJX,Allocated,Full,06/08/1955
G3KKC,Allocated,Full,09/08/1955
G3KKJ,Allocated,Full,18/08/1955
G3KKZ,Allocated,Full,25/08/1955
G3KLA,Reserved,Full,25/08/1955
G3KLL,Reserved,Full,01/09/1955
G3KLO,Reserved,Full,02/09/1955
G3KLV,Allocated,Full,06/09/1955
G3KMA,Allocated,Full,13/09/1955
G3KMM,Allocated,Full,15/09/1955
G3KMO,Allocated,Full,16/09/1955
G3KMQ,Allocated,Full,16/09/1955
G3KMS,Allocated,Full,17/09/1955
G3LGK,Allocated,Full,18/09/1955
G3KMY,Reserved,Full,21/09/1955
G3KNB,Reserved,Full,21/09/1955
G3KND,Allocated,Full,23/09/1955
G3KNI,Reserved,Full,27/09/1955
G3KOB,Allocated,Full,07/10/1955
G3KOD,Allocated,Full,10/10/1955
G3KNZ,Allocated,Full,16/10/1955
G3KOS,Allocated,Full,20/10/1955
21ENI,Allocated,Intermediate,23/10/1955
G3OCW,Allocated,Full,26/10/1955
G3KPP,Allocated,Full,03/11/1955
G3KPU,Allocated,Full,04/11/1955
G3KPV,Allocated,Full,05/11/1955
G3KQF,Allocated,Full,12/11/1955
G3KQD,Allocated,Full,14/11/1955
G3KQE,Reserved,Full,14/11/1955
G3KQR,Reserved,Full,23/11/1955
G3KQN,Reserved,Full,25/11/1955
G3MEP,Reserved,Full,27/11/1955
G3KQY,Allocated,Full,28/11/1955
G3KRW,Allocated,Full,06/12/1955
G3KRZ,Allocated,Full,10/12/1955
G3KRT,Allocated,Full,13/12/1955
G3KTC,Reserved,Full,05/01/1956
G3KTJ,Allocated,Full,12/01/1956
G3KTK,Reserved,Full,12/01/1956
G3KTL,Reserved,Full,12/01/1956
G3KTM,Allocated,Full,13/01/1956
G3KTR,Allocated,Full,14/01/1956
G3LOX,Reserved,Full,15/02/1956
G3KVE,Reserved,Full,18/02/1956
G3KVG,Allocated,Full,20/02/1956
G3KVX,Reserved,Full,05/03/1956
G3KVT,Allocated,Full,06/03/1956
G3KWA,Allocated,Full,08/03/1956
G3KWB,Allocated,Full,08/03/1956
G3KWC,Reserved,Full,08/03/1956
G3KWG,Reserved,Full,09/03/1956
G3KXI,Allocated,Full,04/04/1956
G3KYP,Reserved,Full,05/04/1956
G3KGM,Allocated,Full,06/04/1956
G3MMP,Allocated,Full,07/04/1956
G3KXS,Allocated,Full,10/04/1956
G3KXX,Allocated,Full,13/04/1956
G3KYZ,Allocated,Full,10/05/1956
G3KZB,Allocated,Full,12/05/1956
G3KZE,Allocated,Full,15/05/1956
G3KZN,Allocated,Full,24/05/1956
G3KZU,Allocated,Full,28/05/1956
G3LAU,Allocated,Full,29/06/1956
G3LAS,Allocated,Full,29/06/1956
G3LAZ,Allocated,Full,30/06/1956
G3LBA,Reserved,Full,05/07/1956
G3RCU,Allocated,Full,12/07/1956
G3MSS,Reserved,Full,14/07/1956
G3LCB,Reserved,Full,23/07/1956
G3MWO,Allocated,Full,25/07/1956
G3LCH,Allocated,Full,26/07/1956
G3LCQ,Allocated,Full,31/07/1956
G3LCT,Allocated,Full,01/08/1956
G3LCY,Allocated,Full,02/08/1956
G3LBC,Reserved,Full,07/08/1956
G3LDJ,Allocated,Full,09/08/1956
G3LDH,Reserved,Full,10/08/1956
G3LDR,Reserved,Full,16/08/1956
G3KWY,Allocated,Full,19/08/1956
G3LDY,Allocated,Full,20/08/1956
G3LET,Allocated,Full,22/08/1956
G3LEO,Allocated,Full,23/08/1956
G3LEQ,Reserved,Full,27/08/1956
G3LEW,Allocated,Full,29/08/1956
G3LFD,Allocated,Full,03/09/1956
G3LFH,Reserved,Full,04/09/1956
G3LFF,Reserved,Full,04/09/1956
G3LFX,Allocated,Full,17/09/1956
G3LGA,Allocated,Full,17/09/1956
G3LGM,Reserved,Full,18/09/1956
G3LGS,Reserved,Full,19/09/1956
G3LFZ,Allocated,Full,21/09/1956
G3LGW,Allocated,Full,21/09/1956
G3LGX,Reserved,Full,21/09/1956
G3LHG,Allocated,Full,25/09/1956
G3LHN,Allocated,Full,27/09/1956
G3LHV,Reserved,Full,02/10/1956
G3LIA,Reserved,Full,03/10/1956
G3LJD,Allocated,Full,18/10/1956
G3LIZ,Reserved,Full,19/10/1956
G3LIV,Allocated,Full,19/10/1956
G3LJS,Allocated,Full,26/10/1956
G3IJU,Allocated,Full,30/10/1956
G3LJQ,Reserved,Full,05/11/1956
G3LLD,Allocated,Full,26/11/1956
G3LLJ,Allocated,Full,05/12/1956
G3LLP,Allocated,Full,14/12/1956
G3LLS,Reserved,Full,14/12/1956
G3LLX,Reserved,Full,17/12/1956
G3LLZ,Allocated,Full,18/12/1956
G3LMM,Reserved,Full,21/12/1956
G3LUN,Allocated,Full,01/01/1957
G3LMQ,Allocated,Full,01/01/1957
G3LNC,Reserved,Full,11/01/1957
G3LNG,Reserved,Full,15/01/1957
G3LNI,Reserved,Full,16/01/1957
G3LNS,Allocated,Full,25/01/1957
G3LNL,Allocated,Full,25/01/1957
G3LNN,Allocated,Full,25/01/1957
G3LNP,Allocated,Full,25/01/1957
G3LNK,Reserved,Full,25/01/1957
G3LNR,Allocated,Full,26/01/1957
G3LOF,Allocated,Full,01/02/1957
G3LOV,Allocated,Full,15/02/1957
G3KVR,Allocated,Full,01/03/1957
G3LPN,Allocated,Full,07/03/1957
G3LPO,Reserved,Full,11/03/1957
G3LPU,Allocated,Full,13/03/1957
G3LPS,Allocated,Full,13/03/1957
G3LPT,Allocated,Full,13/03/1957
G3LPV,Allocated,Full,13/03/1957
G3KWW,Allocated,Full,23/03/1957
G3LQH,Reserved,Full,25/03/1957
G3LQN,Reserved,Full,29/03/1957
G3LQY,Allocated,Full,10/04/1957
G3LRG,Allocated,Full,15/04/1957
G3LRI,Allocated,Full,17/04/1957
G3LRL,Allocated,Full,24/04/1957
