callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20-Apr,unparseable,,,,,,,excel-date-shape;lowercase
20-Aug,unparseable,,,,,,,excel-date-shape;lowercase
20-Dec,unparseable,,,,,,,excel-date-shape;lowercase
20-Feb,unparseable,,,,,,,excel-date-shape;lowercase
20-Jan,unparseable,,,,,,,excel-date-shape;lowercase
20-Jul,unparseable,,,,,,,excel-date-shape;lowercase
20-Jun,unparseable,,,,,,,excel-date-shape;lowercase
20-Mar,unparseable,,,,,,,excel-date-shape;lowercase
20-May,unparseable,,,,,,,excel-date-shape;lowercase
20-Nov,unparseable,,,,,,,excel-date-shape;lowercase
20-Oct,unparseable,,,,,,,excel-date-shape;lowercase
20-Sep,unparseable,,,,,,,excel-date-shape;lowercase
20AAA,parsed,2#0,,AAA,2#0AAA,,Intermediate,
20AAB,parsed,2#0,,AAB,2#0AAB,,Intermediate,
20AAC,parsed,2#0,,AAC,2#0AAC,,Intermediate,
20AAD,parsed,2#0,,AAD,2#0AAD,,Intermediate,
20AAE,parsed,2#0,,AAE,2#0AAE,,Intermediate,
20AAF,parsed,2#0,,AAF,2#0AAF,,Intermediate,
20AAG,parsed,2#0,,AAG,2#0AAG,,Intermediate,
20AAH,parsed,2#0,,AAH,2#0AAH,,Intermediate,
20AAI,parsed,2#0,,AAI,2#0AAI,,Intermediate,
20AAJ,parsed,2#0,,AAJ,2#0AAJ,,Intermediate,
20AAK,parsed,2#0,,AAK,2#0AAK,,Intermediate,
20AAL,parsed,2#0,,AAL,2#0AAL,,Intermediate,
20AAM,parsed,2#0,,AAM,2#0AAM,,Intermediate,
20AAN,parsed,2#0,,AAN,2#0AAN,,Intermediate,
20AAO,parsed,2#0,,AAO,2#0AAO,,Intermediate,
20AAP,parsed,2#0,,AAP,2#0AAP,,Intermediate,
20AAQ,parsed,2#0,,AAQ,2#0AAQ,,Intermediate,
20AAR,parsed,2#0,,AAR,2#0AAR,,Intermediate,
20AAS,parsed,2#0,,AAS,2#0AAS,,Intermediate,
20AAT,parsed,2#0,,AAT,2#0AAT,,Intermediate,
20AAU,parsed,2#0,,AAU,2#0AAU,,Intermediate,
20AAV,parsed,2#0,,AAV,2#0AAV,,Intermediate,
20AAW,parsed,2#0,,AAW,2#0AAW,,Intermediate,
20AAX,parsed,2#0,,AAX,2#0AAX,,Intermediate,
20AAY,parsed,2#0,,AAY,2#0AAY,,Intermediate,
20AAZ,parsed,2#0,,AAZ,2#0AAZ,,Intermediate,
20ABA,parsed,2#0,,ABA,2#0ABA,,Intermediate,
20ABB,parsed,2#0,,ABB,2#0ABB,,Intermediate,
20ABC,parsed,2#0,,ABC,2#0ABC,,Intermediate,
20ABD,parsed,2#0,,ABD,2#0ABD,,Intermediate,
20ABE,parsed,2#0,,ABE,2#0ABE,,Intermediate,
20ABF,parsed,2#0,,ABF,2#0ABF,,Intermediate,
20ABG,parsed,2#0,,ABG,2#0ABG,,Intermediate,
20ABH,parsed,2#0,,ABH,2#0ABH,,Intermediate,
20ABI,parsed,2#0,,ABI,2#0ABI,,Intermediate,
20ABJ,parsed,2#0,,ABJ,2#0ABJ,,Intermediate,
20ABK,parsed,2#0,,ABK,2#0ABK,,Intermediate,
20ABL,parsed,2#0,,ABL,2#0ABL,,Intermediate,
20ABM,parsed,2#0,,ABM,2#0ABM,,Intermediate,
20ABN,parsed,2#0,,ABN,2#0ABN,,Intermediate,
20ABO,parsed,2#0,,ABO,2#0ABO,,Intermediate,
20ABP,parsed,2#0,,ABP,2#0ABP,,Intermediate,
20ABQ,parsed,2#0,,ABQ,2#0ABQ,,Intermediate,
20ABR,parsed,2#0,,ABR,2#0ABR,,Intermediate,
20ABS,parsed,2#0,,ABS,2#0ABS,,Intermediate,
20ABT,parsed,2#0,,ABT,2#0ABT,,Intermediate,
20ABU,parsed,2#0,,ABU,2#0ABU,,Intermediate,
20ABV,parsed,2#0,,ABV,2#0ABV,,Intermediate,
20ABW,parsed,2#0,,ABW,2#0ABW,,Intermediate,
20ABX,parsed,2#0,,ABX,2#0ABX,,Intermediate,
20ABY,parsed,2#0,,ABY,2#0ABY,,Intermediate,
20ABZ,parsed,2#0,,ABZ,2#0ABZ,,Intermediate,
20ACA,parsed,2#0,,ACA,2#0ACA,,Intermediate,
20ACB,parsed,2#0,,ACB,2#0ACB,,Intermediate,
20ACC,parsed,2#0,,ACC,2#0ACC,,Intermediate,
20ACD,parsed,2#0,,ACD,2#0ACD,,Intermediate,
20ACE,parsed,2#0,,ACE,2#0ACE,,Intermediate,
20ACF,parsed,2#0,,ACF,2#0ACF,,Intermediate,
20ACG,parsed,2#0,,ACG,2#0ACG,,Intermediate,
20ACH,parsed,2#0,,ACH,2#0ACH,,Intermediate,
20ACI,parsed,2#0,,ACI,2#0ACI,,Intermediate,
20ACJ,parsed,2#0,,ACJ,2#0ACJ,,Intermediate,
20ACK,parsed,2#0,,ACK,2#0ACK,,Intermediate,
20ACL,parsed,2#0,,ACL,2#0ACL,,Intermediate,
20ACM,parsed,2#0,,ACM,2#0ACM,,Intermediate,
